policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,workload,contact_model,task_count,training_seed_count,training_q_states,ua_training_seed_count,ua_training_q_states,normalized_value
QoS-Multihop-projected,230.1247981663269,14981.414949676564,260,57.62082672952525,7049544.0,2576488.0,63.45170694728623,0.0140707677437603,64.11693998276647,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0202180774067528,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,1.0
DelayCost-adapted,220.4898819820096,14981.414949676564,260,57.62082672952525,7049544.0,2634592.0,62.62748342304126,0.0140707677437603,73.71055072065003,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0148503854199169,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.958131777795831
Heuristic-TVD,228.9975015602955,14648.030346395324,260,56.33857825536664,7049544.0,2727664.0,61.30722781501896,0.0140707677437603,53.09068557786535,0,0,149,11,100,0,57.30769230769231,4.230769230769231,38.46153846153846,0.0,351.96965360467186,351.96965360467186,0.0,0.0148311537206889,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9951013684096024
Deadline-Energy,200.81586048097788,6228.200201980231,260,23.95461616146243,7065848.0,5319128.0,24.720599707211367,10.410413341251108,53.936175627047085,0,0,65,0,195,0,25.0,0.0,75.0,0.0,8771.799798019729,8771.799798019729,0.0,0.0106515374052553,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9033839046426518
Energy-WSRPT,220.7395326847729,14947.680484752593,260,57.49107878750997,7065848.0,2591456.0,63.32420397381886,0.0140707677437603,67.95973022367367,0,0,156,0,104,0,60.0,0.0,40.0,0.0,52.31951524740708,52.31951524740708,0.0,0.014037307678686,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.993011908860922
ActiveInf-inspired,212.2119558686699,14981.414949676564,260,57.62082672952525,7065848.0,2554296.0,63.85011395659799,0.0140707677437603,72.46611090618755,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0319538468969627,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9546500203984266
LEO-DRL-inspired,212.2119558686699,14981.414949676564,260,57.62082672952525,7065848.0,2554296.0,63.85011395659799,0.0140707677437603,72.46611090618755,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0578903859534945,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9546500203984266
Hierarchical-RA-inspired,212.2119558686699,14981.414949676564,260,57.62082672952525,7065848.0,2554296.0,63.85011395659799,0.0140707677437603,72.46611090618755,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0162646153162663,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9546500203984266
DRL-UA-inspired,217.57480759557524,14997.569740054754,260,57.68296053867213,7065848.0,2458488.0,65.20604462479238,0.0140707677437603,66.13892823247059,0,0,153,10,97,0,58.84615384615385,3.8461538461538463,37.30769230769231,0.0,2.430259945242838,2.430259945242838,0.0,0.0640642316564201,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9787751762574692
QoS-Multihop-projected,220.7395342013584,14981.414949676564,260,57.62082672952525,7065848.0,2577768.0,63.517924529370006,0.0140707677437603,67.95971867823094,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0194323080135151,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9930119156833856
DelayCost-adapted,212.2119558686699,14981.414949676564,260,57.62082672952525,7065848.0,2554296.0,63.85011395659799,0.0140707677437603,72.46611090618755,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0147369222339385,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9546500203984266
Heuristic-TVD,222.29293598098124,14811.317740889115,260,56.96660669572737,7065848.0,2654944.0,62.42568478687909,0.0140707677437603,60.74254209721188,0,0,150,13,97,0,57.69230769230769,5.0,37.30769230769231,0.0,188.68225911088047,188.68225911088047,0.0,0.0148673063869444,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,1.0
Deadline-Energy,204.8694254374037,6611.474060563629,260,25.42874638678319,7146288.0,5239104.0,26.68775733639617,7.628029359834667,55.08837856728339,0,0,69,0,191,0,26.53846153846154,0.0,73.46153846153847,0.0,8388.525939436327,8388.525939436327,0.0,0.0105269231985752,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.8900305195650164
Energy-WSRPT,230.1824711231288,14947.680484752593,260,57.49107878750997,7146288.0,2739752.0,61.66188656264623,0.0140707677437603,64.7519118962266,0,0,156,0,104,0,60.0,0.0,40.0,0.0,52.31951524740708,52.31951524740708,0.0,0.0141392310839504,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9999999947824036
ActiveInf-inspired,222.6175912698256,14981.414949676564,260,57.62082672952525,7146288.0,2700608.0,62.20963946597171,0.0140707677437603,70.0015159137356,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0307115389240117,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9671352862886532
LEO-DRL-inspired,222.0418203143077,14981.414949676564,260,57.62082672952525,7146288.0,2693408.0,62.31039107295984,0.0140707677437603,70.00152517583656,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0586096162665993,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9646339187878856
Hierarchical-RA-inspired,222.7244921896272,14981.414949676564,260,57.62082672952525,7146288.0,2698632.0,62.23729018477845,0.0140707677437603,70.00152517583656,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0159553852147207,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9675997044466572
DRL-UA-inspired,225.79463723908407,14997.569740054756,260,57.68296053867214,7146288.0,2636176.0,63.11125440228549,0.0140707677437603,64.703247454518,0,0,153,10,97,0,58.84615384615385,3.8461538461538463,37.30769230769231,0.0,2.430259945242838,2.430259945242838,0.0,0.0626715376991062,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9809375794744905
QoS-Multihop-projected,230.18247232412807,14981.414949676564,260,57.62082672952525,7146288.0,2728512.0,61.8191710157777,0.0140707677437603,64.7519118962266,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0191307690469189,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,1.0
DelayCost-adapted,222.7244921896272,14981.414949676564,260,57.62082672952525,7146288.0,2698632.0,62.23729018477845,0.0140707677437603,70.00152517583656,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0149984610078927,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9675997044466572
Heuristic-TVD,225.298331912274,14355.19002233171,260,55.212269316660425,7146288.0,2884096.0,59.642040734994175,0.0140707677437603,64.70322391045248,0,0,147,8,105,0,56.53846153846154,3.076923076923077,40.38461538461539,0.0,644.8099776682861,644.8099776682861,0.0,0.014867692012698,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9787814408171942
Deadline-Energy,201.94468826296625,5749.107878750984,260,22.11195337981148,7135576.0,5528200.0,22.526226334075904,9.583644930200414,54.84003337259474,0,0,60,0,200,0,23.07692307692308,0.0,76.92307692307692,0.0,9250.89212124898,9250.89212124898,0.0,0.0109249993469207,,,,,4,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.885283948215328
Energy-WSRPT,223.6025929116998,14947.680484752593,260,57.49107878750997,7135576.0,2627648.0,63.17539046602545,0.0140707677437603,74.85789840612543,0,0,156,0,104,0,60.0,0.0,40.0,0.0,52.31951524740708,52.31951524740708,0.0,0.0135030765355063,,,,,4,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,tle,260,10,12,10,36,0.9802277444717312
