policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,ground_latency_s,normalized_value
Deadline-Energy,3856.879439805607,72710.54138586667,260,279.6559284071795,143751290598.0329,96634432667.29465,32.77665037630138,11.325929860212394,73.14807775617477,0,0,79,1,180,0,30.384615384615383,0.38461538461538464,69.23076923076923,0.0,77289.45861413333,77289.45861413333,0.0,0.009933461282903759,,,,,4,0.0,0.976602024845582
Priority-Aware,3747.2334643115846,79116.98688778667,260,304.29610341456413,143751290598.0329,78843845988.82722,45.15259956218708,14.598307059213402,722.8285196627825,0,0,88,14,158,0,33.84615384615385,5.384615384615385,60.76923076923077,0.0,70883.01311221336,70883.01311221336,0.0,0.0014603846536304515,,,,,4,0.0,0.9488385224196342
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.01358230645284773,,,,,4,0.0,1.0
All-Downlink,2624.3317650948316,0.0,259,0.0,145966253614.7567,142154292336.35153,2.611536011923654,32.73609921005294,77.76358537846562,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002788460383621546,,,,,5,0.0,0.6665479805185078
Deadline-Energy,3736.392823105972,55724.94501317332,260,214.32671158912814,145966253614.7567,115042162606.88376,21.185781125471483,16.026909080403055,71.36271956499577,0,0,59,1,200,0,22.692307692307693,0.38461538461538464,76.92307692307692,0.0,94275.05498682667,94275.05498682667,0.0,0.009648077069029499,,,,,5,0.0,0.948997807285672
Priority-Aware,3721.6376738607496,81787.42338042668,260,314.5670130016411,145966253614.7567,97435093163.56842,33.24820583480533,16.058096002124003,74.03864247899895,0,0,85,9,166,0,32.69230769230769,3.4615384615384617,63.84615384615385,0.0,68212.57661957334,68212.57661957334,0.0,0.0014469241320442122,,,,,5,0.0,0.9452501809137079
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.013494614260987593,,,,,5,0.0,1.0
All-Downlink,2656.6870243738504,0.0,257,0.0,136511684238.74997,125544697380.47523,8.033734928575198,35.892371621477345,112.48918967135168,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003126926738052414,,,,,6,0.0,0.6716396615968278
Deadline-Energy,3774.4549894033107,59623.26823472,260,229.32026244123077,136511684238.74997,94917012113.92496,30.46967910239732,14.60893868356937,73.92129724806482,0,0,66,1,193,0,25.384615384615383,0.38461538461538464,74.23076923076923,0.0,90376.73176528004,90376.73176528004,0.0,0.009658076921298813,,,,,6,0.0,0.954223681049816
Priority-Aware,3607.574591128856,72969.55644367999,260,280.65214016799996,136511684238.74997,79932607445.38664,41.446325352202265,21.359685439153196,77.95723821033201,0,0,77,17,166,0,29.615384615384617,6.538461538461538,63.84615384615385,0.0,77030.44355632007,77030.44355632007,0.0,0.001351922401227057,,,,,6,0.0,0.9120344833024391
Heuristic-TVD,3955.5243328804604,149715.49098826657,257,582.550548592477,136511684238.74997,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.013698846249518773,,,,,6,0.0,1.0
All-Downlink,2565.0205224621127,0.0,254,0.0,139247165035.33093,133818130750.98091,3.8988472641238503,34.17696786011753,78.97394509599184,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002823068196168886,,,,,7,0.0,0.6246863561089259
Deadline-Energy,3883.0840761585364,71262.57109365333,260,274.08681189866667,139247165035.33093,99881808965.40207,28.270131072284855,11.838968943251544,68.4461327724551,0,0,71,0,189,0,27.307692307692307,0.0,72.6923076923077,0.0,78737.42890634667,78737.42890634667,0.0,0.009347307227122096,,,,,7,0.0,0.9456882004482678
Priority-Aware,3909.780591382479,101200.58414975999,260,389.2330159606154,139247165035.33093,77464709916.8403,44.36891415549802,9.247300119530852,72.90775365767003,0,0,101,16,143,0,38.84615384615385,6.153846153846154,55.0,0.0,48799.41585024003,48799.41585024003,0.0,0.0014269224126250125,,,,,7,0.0,0.9521898828597767
Heuristic-TVD,4106.0933977159775,149688.3898704532,258,580.1875576374155,139247165035.33093,47359515028.27628,65.98888385536623,1.0218073941260437,59.41933453479224,0,0,169,1,90,0,65.0,0.38461538461538464,34.61538461538461,0.0,311.6101295466981,311.6101295466981,0.0,0.013271923951553898,,,,,7,0.0,1.0
All-Downlink,2533.5936614346742,0.0,256,0.0,147675122448.8456,136992547483.91032,7.233835183468839,31.06743035179552,79.44232709372092,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003638466855940911,,,,,8,0.0,0.6601360598268278
Deadline-Energy,3807.586330320566,73051.95887727995,260,280.96907260492287,147675122448.8456,107986139264.03853,26.87587626585871,10.647973555536677,74.23923498141562,0,0,72,1,187,0,27.692307692307693,0.38461538461538464,71.92307692307692,0.0,76948.04112272005,76948.04112272005,0.0,0.009522692618282655,,,,,8,0.0,0.9920789887534683
Priority-Aware,3757.5334994027057,87253.41095210667,259,336.88575657184043,147675122448.8456,91277240214.14523,38.19050988377308,11.816140087959745,78.44504524348606,0,0,85,8,167,0,32.69230769230769,3.076923076923077,64.23076923076923,0.0,62746.589047893365,62746.589047893365,0.0,0.0015153849604897774,,,,,8,0.0,0.9790375610422131
Heuristic-TVD,3837.9870690586226,149719.9602573866,257,582.567938744695,147675122448.8456,61385932170.2414,58.43177161305191,1.1445659766542424,75.53968085804092,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,280.0397426132629,280.0397426132629,0.0,0.014632691230732374,,,,,8,0.0,1.0
All-Downlink,2555.748586379738,0.0,256,0.0,145047080871.27374,138274748222.04004,4.669058217892719,37.4960716972247,80.08159020947357,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00027615359823147836,,,,,9,0.0,0.6355344334468682
Deadline-Energy,3987.9015633096137,64223.37783562667,260,247.0129916754872,145047080871.27374,102072848551.6437,29.62778158753072,10.752650312716167,66.8191582745461,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,85776.62216437332,85776.62216437332,0.0,0.009280000141678521,,,,,9,0.0,0.9916659151008066
Priority-Aware,3933.4652272263816,80627.39004437336,260,310.10534632451294,145047080871.27374,88415641780.66504,39.04348763893285,11.438537449130916,76.80100423138477,0,0,88,6,166,0,33.84615384615385,2.3076923076923075,63.84615384615385,0.0,69372.60995562666,69372.60995562666,0.0,0.0014330775369531834,,,,,9,0.0,0.9781293073937917
Heuristic-TVD,4021.416388909796,149539.87916986653,257,581.8672341239943,145047080871.27374,40555041023.97266,72.04008465364124,0.9832486245364028,70.43976702267629,0,0,172,1,87,0,66.15384615384616,0.38461538461538464,33.46153846153846,0.0,460.12083013330334,460.12083013330334,0.0,0.014798461947625933,,,,,9,0.0,1.0
All-Downlink,2600.8950156231695,0.0,254,0.0,141896346105.7374,127474006832.71404,10.163996233050444,35.64635869272364,737.0964838811525,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002888460025692788,,,,,0,10.0,0.6705377243202156
Deadline-Energy,3740.085534756823,58049.70900277334,260,223.26811154912824,141896346105.7374,105779966974.30736,25.452649150329123,15.582434630086816,71.60898084633307,0,0,65,0,195,0,25.0,0.0,75.0,0.0,91950.2909972267,91950.2909972267,0.0,0.00920923081978869,,,,,0,10.0,0.9642328614474723
Priority-Aware,3615.7349382971847,71807.82541055996,259,277.2502911604632,141896346105.7374,89315751073.92041,37.05563707231426,20.798047414638134,110.50578875496083,0,0,78,12,170,0,30.0,4.615384615384615,65.38461538461539,0.0,78192.17458944001,78192.17458944001,0.0,0.001423460735867803,,,,,0,10.0,0.9321739873033619
Heuristic-TVD,3878.8198207042424,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.3986871323737,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.01346577012624878,,,,,0,10.0,1.0
All-Downlink,2559.3041587645553,0.0,257,0.0,138183152908.2682,131685291155.26335,4.702354531828057,39.73674511580904,112.05921810224538,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00027923032086199295,,,,,1,10.0,0.6482921342114156
Deadline-Energy,3850.54124534084,69168.98741205335,260,266.03456696943596,138183152908.2682,97623791629.69403,29.35188583046674,10.450777795198459,72.42166742394988,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,80831.01258794659,80831.01258794659,0.0,0.009311153217612837,,,,,1,10.0,0.97537277594083
Priority-Aware,3728.7064419933713,81370.69273706671,260,312.96420283487197,138183152908.2682,83081342987.12921,39.87592464163695,13.101173064156441,79.46959385901765,0,0,87,10,163,0,33.46153846153846,3.8461538461538463,62.69230769230769,0.0,68629.3072629333,68629.3072629333,0.0,0.0014388454683984702,,,,,1,10.0,0.9445110495559964
Heuristic-TVD,3947.7637066778548,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.46959385901765,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.013276154193310784,,,,,1,10.0,1.0
All-Downlink,2550.9216946204874,0.0,253,0.0,143551818802.25815,133655118349.42921,6.894165838791344,37.91309354956775,754.1774653139232,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002934616462040979,,,,,2,10.0,0.6659372700756488
Deadline-Energy,3767.670606076227,71163.84858981332,260,273.70710996082045,143551818802.25815,100349432288.78314,30.09532507072311,13.027636036833094,71.60103179938108,0,0,71,1,188,0,27.307692307692307,0.38461538461538464,72.3076923076923,0.0,78836.15141018668,78836.15141018668,0.0,0.009433075655789044,,,,,2,10.0,0.9835787132336685
Priority-Aware,3582.2854534938765,70468.98847098667,260,271.03457104225646,143551818802.25815,81765352376.60277,43.0412285550808,21.569040089054518,78.57388556705456,0,0,74,15,171,0,28.46153846153846,5.769230769230769,65.76923076923077,0.0,79531.01152901343,79531.01152901343,0.0,0.0013823080315397908,,,,,2,10.0,0.9351825265990117
Heuristic-TVD,3830.5735528673877,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7947306752147294,111.49284691925413,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.013658463005692912,,,,,2,10.0,1.0
All-Downlink,2518.199859894844,0.0,255,0.0,145714942829.99643,141823142641.82233,2.670831221966452,40.80125050637856,79.82664979910463,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003161540147490226,,,,,3,10.0,0.6321533791320741
Deadline-Energy,3840.9041580159933,71697.5270752,260,275.75971952000003,145714942829.99643,109056964346.36604,25.157322764350077,15.593352747956487,77.2213072012367,0,0,73,0,187,0,28.076923076923077,0.0,71.92307692307692,0.0,78302.47292479995,78302.47292479995,0.0,0.00943807748486646,,,,,3,10.0,0.9641969174415074
Priority-Aware,3774.859050865713,77461.86944597335,260,297.9302670998975,145714942829.99643,96411603040.62616,33.83547276060204,16.93651431051262,78.34699587578407,0,0,81,12,167,0,31.153846153846153,4.615384615384615,64.23076923076923,0.0,72538.1305540266,72538.1305540266,0.0,0.0015200006041245966,,,,,3,10.0,0.9476173606219255
Heuristic-TVD,3983.526693082381,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0119201252555892,68.12660118267651,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.014176538388710469,,,,,3,10.0,1.0
All-Downlink,2443.1802594404085,0.0,259,0.0,143751290598.0329,136549823818.19585,5.009671043562514,36.38928978767663,727.0757399996118,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002846158727502021,,,,,4,10.0,0.6190487594106291
Deadline-Energy,3851.2804666976003,72710.54138586667,260,279.6559284071795,143751290598.0329,96634432667.29465,32.77665037630138,11.49259652687906,73.31474442284144,0,0,79,1,180,0,30.384615384615383,0.38461538461538464,69.23076923076923,0.0,77289.45861413333,77289.45861413333,0.0,0.00949807850142511,,,,,4,10.0,0.975830737760465
Priority-Aware,3745.73169025917,79116.98688778667,260,304.29610341456413,143751290598.0329,78843845988.82722,45.15259956218708,14.764973725880068,722.9951863294491,0,0,88,14,158,0,33.84615384615385,5.384615384615385,60.76923076923077,0.0,70883.01311221336,70883.01311221336,0.0,0.002185386144377005,,,,,4,10.0,0.9490869725965776
Heuristic-TVD,3946.6685334552,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.9951863294491,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.013893461436964571,,,,,4,10.0,1.0
All-Downlink,2616.9097118577492,0.0,259,0.0,145966253614.7567,142154292336.35153,2.611536011923654,32.9027658767196,77.93025204513229,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00028000056492881133,,,,,5,10.0,0.6652373021812961
Deadline-Energy,3729.573076698116,55724.94501317332,260,214.32671158912814,145966253614.7567,115042162606.88376,21.185781125471483,16.19357574706972,71.52938623166244,0,0,59,1,200,0,22.692307692307693,0.38461538461538464,76.92307692307692,0.0,94275.05498682667,94275.05498682667,0.0,0.009249232243746519,,,,,5,10.0,0.948084345664852
Priority-Aware,3719.9756539241243,81787.42338042668,260,314.5670130016411,145966253614.7567,97435093163.56842,33.24820583480533,16.224762668790667,74.20530914566562,0,0,85,9,166,0,32.69230769230769,3.4615384615384617,63.84615384615385,0.0,68212.57661957334,68212.57661957334,0.0,0.0013588460905549044,,,,,5,10.0,0.9456446116514339
Heuristic-TVD,3933.7988162674724,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.87650489873783,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.013981538918764832,,,,,5,10.0,1.0
All-Downlink,2649.6861436152785,0.0,257,0.0,136511684238.74997,125544697380.47523,8.033734928575198,36.059038288144016,112.65585633801834,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00029230846289115457,,,,,6,10.0,0.6702260088487795
Deadline-Energy,3768.6062256519485,59623.26823472,260,229.32026244123077,136511684238.74997,94917012113.92496,30.46967910239732,14.775605350236038,74.08796391473149,0,0,66,1,193,0,25.384615384615383,0.38461538461538464,74.23076923076923,0.0,90376.73176528004,90376.73176528004,0.0,0.00959615281317383,,,,,6,10.0,0.953251733465722
Priority-Aware,3605.8054736680897,72969.55644367999,260,280.65214016799996,136511684238.74997,79932607445.38664,41.446325352202265,21.526352105819864,78.12390487699868,0,0,77,17,166,0,29.615384615384617,6.538461538461538,63.84615384615385,0.0,77030.44355632007,77030.44355632007,0.0,0.0014407699032185169,,,,,6,10.0,0.912072026766254
Heuristic-TVD,3953.4218437248337,149715.49098826657,257,582.550548592477,136511684238.74997,41220788579.558304,69.80420481263285,1.1445659766542198,75.38040154167788,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.01383038515296693,,,,,6,10.0,1.0
All-Downlink,2556.9440524039214,0.0,254,0.0,139247165035.33093,133818130750.98091,3.8988472641238503,34.3436345267842,79.1406117626585,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.000320385040070575,,,,,7,10.0,0.6232754740195583
Deadline-Energy,3875.8730774234537,71262.57109365333,260,274.08681189866667,139247165035.33093,99881808965.40207,28.270131072284855,12.005635609918212,68.61279943912176,0,0,71,0,189,0,27.307692307692307,0.0,72.6923076923077,0.0,78737.42890634667,78737.42890634667,0.0,0.00960115453031344,,,,,7,10.0,0.9447749266549585
Priority-Aware,3908.278105547313,101200.58414975999,260,389.2330159606154,139247165035.33093,77464709916.8403,44.36891415549802,9.413966786197518,73.07442032433669,0,0,101,16,143,0,38.84615384615385,6.153846153846154,55.0,0.0,48799.41585024003,48799.41585024003,0.0,0.0014630769818233182,,,,,7,10.0,0.952673910305198
Heuristic-TVD,4102.430079454217,149688.3898704532,258,580.1875576374155,139247165035.33093,47359515028.27628,65.98888385536623,1.0218073941260437,59.586001201458906,0,0,169,1,90,0,65.0,0.38461538461538464,34.61538461538461,0.0,311.6101295466981,311.6101295466981,0.0,0.013379615959890474,,,,,7,10.0,1.0
All-Downlink,2527.283952096074,0.0,256,0.0,147675122448.8456,136992547483.91032,7.233835183468839,31.234097018462187,79.60899376038759,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002884612723182027,,,,,8,10.0,0.658990653688249
Deadline-Energy,3802.390368546317,73051.95887727995,260,280.96907260492287,147675122448.8456,107986139264.03853,26.87587626585871,10.814640222203344,74.40590164808229,0,0,72,1,187,0,27.692307692307693,0.38461538461538464,71.92307692307692,0.0,76948.04112272005,76948.04112272005,0.0,0.00955769131766059,,,,,8,10.0,0.9914753395509968
Priority-Aware,3755.868874741721,87253.41095210667,259,336.88575657184043,147675122448.8456,91277240214.14523,38.19050988377308,11.982806754626411,78.61171191015272,0,0,85,8,167,0,32.69230769230769,3.076923076923077,64.23076923076923,0.0,62746.589047893365,62746.589047893365,0.0,0.0014969217143236445,,,,,8,10.0,0.9793448349484497
Heuristic-TVD,3835.0831501954267,149719.9602573866,257,582.567938744695,147675122448.8456,61385932170.2414,58.43177161305191,1.1445659766542424,75.70634752470758,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,280.0397426132629,280.0397426132629,0.0,0.01345884554141846,,,,,8,10.0,1.0
All-Downlink,2549.756965746071,0.0,256,0.0,145047080871.27374,138274748222.04004,4.669058217892719,37.662738363891364,80.24825687614025,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002957691322080791,,,,,9,10.0,0.6343676235298842
Deadline-Energy,3982.8945058951795,64223.37783562667,260,247.0129916754872,145047080871.27374,102072848551.6437,29.62778158753072,10.919316979382831,66.98582494121277,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,85776.62216437332,85776.62216437332,0.0,0.00974884695516756,,,,,9,10.0,0.9909255495398388
Priority-Aware,3931.8752147181704,80627.39004437336,260,310.10534632451294,145047080871.27374,88415641780.66504,39.04348763893285,11.60520411579758,76.96767089805142,0,0,88,6,166,0,33.84615384615385,2.3076923076923075,63.84615384615385,0.0,69372.60995562666,69372.60995562666,0.0,0.0014507699793634506,,,,,9,10.0,0.9782321881987636
Heuristic-TVD,4019.3680622572874,149539.87916986653,257,581.8672341239943,145047080871.27374,40555041023.97266,72.04008465364124,0.9832486245364028,70.60643368934296,0,0,172,1,87,0,66.15384615384616,0.38461538461538464,33.46153846153846,0.0,460.12083013330334,460.12083013330334,0.0,0.014196539436502812,,,,,9,10.0,1.0
All-Downlink,2564.6880835807683,0.0,254,0.0,141896346105.7374,127474006832.71404,10.163996233050444,36.479692026056966,737.9298172144859,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.00045115358751410473,,,,,0,60.0,0.6642489390587519
Deadline-Energy,3706.215425643864,58049.70900277334,260,223.26811154912824,141896346105.7374,105779966974.30736,25.452649150329123,16.415767963420148,72.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,91950.2909972267,91950.2909972267,0.0,0.010753077983211439,,,,,0,60.0,0.9599021729651934
Priority-Aware,3607.0535134112447,71807.82541055996,259,277.2502911604632,141896346105.7374,89315751073.92041,37.05563707231426,21.631380747971463,111.33912208829416,0,0,78,12,170,0,30.0,4.615384615384615,65.38461538461539,0.0,78192.17458944001,78192.17458944001,0.0,0.001415769824793992,,,,,0,60.0,0.9342194416353117
Heuristic-TVD,3861.034520002335,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.079645548510598,77.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.013975769196314594,,,,,0,60.0,1.0
All-Downlink,2525.1445436938534,0.0,257,0.0,138183152908.2682,131685291155.26335,4.702354531828057,40.57007844914237,112.89255143557872,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003169223558730804,,,,,1,60.0,0.6421046055169606
Deadline-Energy,3818.877455930366,69168.98741205335,260,266.03456696943596,138183152908.2682,97623791629.69403,29.35188583046674,11.28411112853179,73.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,80831.01258794659,80831.01258794659,0.0,0.009786923944305342,,,,,1,60.0,0.9710805698159173
Priority-Aware,3720.180264617363,81370.69273706671,260,312.96420283487197,138183152908.2682,83081342987.12921,39.87592464163695,13.934506397489773,80.30292719235098,0,0,87,10,163,0,33.46153846153846,3.8461538461538463,62.69230769230769,0.0,68629.3072629333,68629.3072629333,0.0,0.0014780770960407187,,,,,1,60.0,0.9459834238913665
Heuristic-TVD,3932.6061859669285,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,1.0426731538048444,80.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.015162692132155197,,,,,1,60.0,1.0
