hardware_profile,policy,normalized_value,energy_j,median_latency_min,p95_latency_min,on_pct,pre_pct,down_pct,drop_pct
OrinAGX-literature,All-Downlink,0.7481391116569382,0.0,36.10223450594903,283.8152861211708,0.0,0.0,100.0,0.0
OrinAGX-literature,All-On-Board,0.24141230765630226,149637.90964875842,1096.3033556086152,1747.6573415529856,22.269230769230766,0.0,0.0,77.73076923076923
OrinAGX-literature,Deadline-Energy,1.0,149433.37429635832,17.18079878440694,208.01401994154995,22.384615384615383,3.692307692307692,73.92307692307692,0.0
OrinAGX-literature,Fixed-Threshold,0.6996874291064314,149991.3772654876,22.987703570700983,283.7907734642488,21.884615384615383,35.92307692307692,42.19230769230769,0.0
OrinAGX-literature,Heuristic-TVD,0.9192656005693621,149402.68074095366,16.899955627230657,275.5038379098921,26.384615384615387,1.8846153846153846,71.73076923076923,0.0
OrinAGX-literature,Priority-Aware,0.8930755777668553,149786.8943716734,23.2365494294473,283.54909478753024,22.307692307692307,11.807692307692308,65.88461538461539,0.0
RTX4090-measured,All-Downlink,0.6500417076365597,0.0,36.10223450594903,283.8152861211708,0.0,0.0,100.0,0.0
RTX4090-measured,All-On-Board,0.6519425958734106,149830.0798496533,1.2248184330754905,1207.9798961534566,59.65384615384615,0.0,0.0,40.34615384615385
RTX4090-measured,Deadline-Energy,0.9699591240315119,66667.673452016,12.91889049790974,72.01229412018863,26.923076923076923,0.19230769230769232,72.88461538461539,0.0
RTX4090-measured,Fixed-Threshold,0.805021618099806,101101.63913264006,6.37971747638237,76.32339395463956,40.73076923076923,34.76923076923077,24.5,0.0
RTX4090-measured,Heuristic-TVD,1.0,149766.0469967359,1.0129635526829972,139.99719376120296,64.0,0.07692307692307693,35.92307692307692,0.0
RTX4090-measured,Priority-Aware,0.9474119119126481,80406.472792272,15.625617436880717,144.9207800874805,32.46153846153847,4.576923076923077,62.96153846153847,0.0
