policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,tasks,windows,requested_windows,wall_s,decisions_per_s
Heuristic-TVD,2764.1790490577323,149857.69455370674,229,654.4004128982826,141896346105.7374,4930082253.179248,96.52557490838737,1.1894509169151737,1023.9433874954823,0,0,159,10,91,0,61.15384615384616,3.8461538461538463,35.0,0.0,142.30544629332167,142.30544629332167,0.0,0.013061538181948261,,,,,0,260,16,16,0.41205660000559874,630.9812778061735
Heuristic-TVD,3018.865150001332,149960.9742770666,236,635.4278571062143,138183152908.2682,5358463909.220323,96.12220173266888,1.0796455485105374,1053.876925887744,0,0,169,7,84,0,65.0,2.6923076923076925,32.30769230769231,0.0,39.02572293331173,39.02572293331173,0.0,0.013738078548787879,,,,,1,260,16,16,0.41568439998081885,625.474518678106
Heuristic-TVD,2807.1153785776223,149908.73029183992,231,648.9555423889174,143551818802.25815,5630541059.220349,96.07769437810022,1.1445659766542122,1130.8805994450556,0,0,162,8,90,0,62.30769230769231,3.076923076923077,34.61538461538461,0.0,91.2697081600088,91.2697081600088,0.0,0.014036152592430321,,,,,2,260,16,16,0.42525229998864233,611.4017490486098
Heuristic-TVD,2843.4105731592135,149887.53780549325,234,640.5450333568087,145714942829.99643,4972111367.429459,96.58778209642483,1.1445659766542424,1122.4247404406049,0,0,163,7,90,0,62.69230769230769,2.6923076923076925,34.61538461538461,0.0,112.46219450670242,112.46219450670242,0.0,0.013062692036888061,,,,,3,260,16,16,0.41947789999539964,619.8181119979179
Heuristic-TVD,2815.1609720056995,149888.02321317326,229,654.5328524592719,143751290598.0329,4950455913.688981,96.55623550015159,1.1894509169151775,1025.851603192544,0,0,161,7,92,0,61.92307692307693,2.6923076923076925,35.38461538461539,0.0,111.9767868266976,111.9767868266976,0.0,0.013806538257855348,,,,,4,260,16,16,0.42173050000565127,616.5074615104099
Heuristic-TVD,2761.6402531859667,149826.25360592004,230,651.4184939387827,145966253614.7567,5758390673.048422,96.0549849499828,1.1040289644706718,1118.7946675777835,0,0,161,5,94,0,61.92307692307693,1.9230769230769231,36.15384615384615,0.0,173.74639408000644,173.74639408000644,0.0,0.01491384665804127,,,,,5,260,16,16,0.43174589998670854,602.2060661328902
Heuristic-TVD,2990.7904904292845,149927.33948181313,234,640.7151259906544,136511684238.74997,5426451272.370197,96.02491808475551,1.1894509169151812,1013.3608924587185,0,0,163,8,89,0,62.69230769230769,3.076923076923077,34.23076923076923,0.0,72.66051818666494,72.66051818666494,0.0,0.01342538497948016,,,,,6,260,16,16,0.4323283999983687,601.3946805275366
Heuristic-TVD,2986.6804509115896,149713.46935258646,227,659.5307019937729,139247165035.33093,5248702692.645626,96.23065741315891,1.1445659766542424,1060.9426748247479,0,0,166,7,87,0,63.84615384615384,2.6923076923076925,33.46153846153846,0.0,286.53064741337744,286.53064741337744,0.0,0.014110770336209008,,,,,7,260,16,16,0.43339339998783544,599.9168423130064
Heuristic-TVD,2630.909461381275,149980.28599743993,230,652.0881999888693,147675122448.8456,5446760843.934901,96.31165984248861,1.2567783273065893,1133.553294647811,0,0,153,6,101,0,58.84615384615385,2.307692307692308,38.84615384615385,0.0,19.714002559926257,19.714002559926257,0.0,0.014051152594709912,,,,,8,260,16,16,0.4445166999939829,584.904909092323
Heuristic-TVD,3043.415115367225,149791.88134911988,231,648.4497028100428,145047080871.27374,4651453770.252051,96.79314210095677,1.1121057625824051,1021.7637397709556,0,0,169,12,79,0,65.0,4.615384615384616,30.384615384615383,0.0,208.11865087995693,208.11865087995693,0.0,0.01492807742369433,,,,,9,260,16,16,0.4386347000254318,592.7483620993171
Heuristic-TVD,3433.35213552947,149626.39870784,245,610.7199947258775,141896346105.7374,17650243269.79801,87.56117140842689,1.1121057625823596,815.262888826306,0,0,171,16,73,0,65.76923076923077,6.153846153846154,28.076923076923077,0.0,373.60129216000087,373.60129216000087,0.0,0.019801154513306055,,,,,0,260,64,64,0.4455673999909777,583.5256349662582
