policy,n,normalized_value_mean,normalized_value_ci95,total_value_mean,total_value_ci95,energy_j_mean,energy_j_ci95,on_pct_mean,on_pct_ci95,pre_pct_mean,pre_pct_ci95,down_pct_mean,down_pct_ci95
Deadline-Energy,10,0.8965281450999173,0.01005985793654292,199.74854836948043,2.343314447300639,6285.691280767742,390.14283446696226,25.230769230769234,1.5660336124989969,0.0,0.0,74.76923076923076,1.5660336124989962
Energy-WSRPT,10,0.9869343978628085,0.005645265763953083,219.91698009830097,2.625057399580133,14947.68048475259,2.3768128206332524e-12,60.0,0.0,0.0,0.0,40.0,0.0
ActiveInf-inspired,10,0.9546704681365158,0.0050306631026633825,212.70691450715768,1.5737476462402922,14981.414949676566,1.1884064103166262e-12,60.0,0.0,0.3846153846153846,0.0,39.61538461538462,4.642212540299321e-15
LEO-DRL-inspired,10,0.9530986642641283,0.0051982942052803596,212.35542312375088,1.5256077030001922,14981.414949676566,1.1884064103166262e-12,60.0,0.0,0.3846153846153846,0.0,39.61538461538462,4.642212540299321e-15
Hierarchical-RA-inspired,10,0.9546704681365158,0.0050306631026633825,212.70691450715768,1.5737476462402922,14981.414949676566,1.1884064103166262e-12,60.0,0.0,0.3846153846153846,0.0,39.61538461538462,4.642212540299321e-15
DRL-UA-inspired,10,0.9762810185343188,0.005392859037894797,217.52497031824927,1.814462944640574,14986.37241455235,6.278847658838657,58.92307692307693,0.3517948717948721,3.5,0.9565235376646561,37.57692307692308,0.6056887885810299
QoS-Multihop-projected,10,0.9869344024355515,0.005645265633574783,219.9169811174308,2.625057398810075,14981.414949676566,1.1884064103166262e-12,60.0,0.0,0.3846153846153846,0.0,39.61538461538462,4.642212540299321e-15
DelayCost-adapted,10,0.9546704681365158,0.0050306631026633825,212.70691450715768,1.5737476462402922,14981.414949676566,1.1884064103166262e-12,60.0,0.0,0.3846153846153846,0.0,39.61538461538462,4.642212540299321e-15
Heuristic-TVD,10,0.9986396243461151,0.0026281697213114638,222.511552625901,1.792258373437906,14872.720759181631,105.84079819678354,57.884615384615394,0.4388452362215776,5.153846153846155,0.6072505155960349,36.96153846153847,0.6302121784566548
