policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,contact_model,window_count,capacity_gbit,normalized_value
All-On-Board,2606.552789094082,149988.82686965325,159,943.3259551550518,143551818802.25815,0.0,100.0,1.1445659766542349,1232.274889842713,0,101,159,0,0,101,61.15384615384615,0.0,0.0,38.84615384615385,11.173130346692119,11.173130346692119,0.0,0.0003330777802218038,,,,,2,fixed-window,16,296.4693387431484,0.6800971285730003
Fixed-Threshold,3079.685258293876,94538.50614015998,258,366.4283183727131,143551818802.25815,43453490187.54808,69.72975295603531,7.619225395042789,77.43346582313498,0,0,103,90,67,0,39.61538461538461,34.61538461538461,25.76923076923077,0.0,55461.493859840106,55461.493859840106,0.0,0.0010023083842287844,,,,,2,fixed-window,16,296.4693387431484,0.8035460128939919
Deadline-Energy,3772.396708012707,71163.84858981332,260,273.70710996082045,143551818802.25815,100349432288.78314,30.09532507072311,12.860969370166428,71.43436513271442,0,0,71,1,188,0,27.307692307692307,0.38461538461538464,72.3076923076923,0.0,78836.15141018668,78836.15141018668,0.0,0.00930115593991314,,,,,2,fixed-window,16,296.4693387431484,0.9842870551834726
Priority-Aware,3584.112271606004,70468.98847098667,260,271.03457104225646,143551818802.25815,81765352376.60277,43.0412285550808,21.402373422387853,78.4072189003879,0,0,74,15,171,0,28.46153846153846,5.769230769230769,65.76923076923077,0.0,79531.01152901343,79531.01152901343,0.0,0.001314614424840189,,,,,2,fixed-window,16,296.4693387431484,0.9351602141346522
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.01313576951640873,,,,,2,fixed-window,16,296.4693387431484,1.0
All-Downlink,2439.959400077973,0.0,255,0.0,143551818802.25815,138178452945.40167,3.7431541457919493,47.604833362824806,142.65312484394,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0002734620536032778,,,,,2,tle-derived,25,188.74183308892847,0.6131473948525019
All-On-Board,2606.552789094082,149988.82686965325,159,943.3259551550518,143551818802.25815,0.0,100.0,1.1445659766542349,1232.274889842713,0,101,159,0,0,101,61.15384615384615,0.0,0.0,38.84615384615385,11.173130346692119,11.173130346692119,0.0,0.00033192291784171876,,,,,2,tle-derived,25,188.74183308892847,0.6550113301588076
Fixed-Threshold,3093.021842720554,94538.50614015998,260,363.6096390006153,143551818802.25815,44723401481.83977,68.84511679824412,6.305016900334582,79.96340984159451,0,0,103,90,67,0,39.61538461538461,34.61538461538461,25.76923076923077,0.0,55461.493859840106,55461.493859840106,0.0,0.0009734621226715927,,,,,2,tle-derived,25,188.74183308892847,0.777258131846533
Deadline-Energy,3676.171568022325,56348.64672000001,260,216.72556430769237,143551818802.25815,104771777132.48755,27.014664107593024,15.516571081644845,88.41497607482745,0,0,61,0,199,0,23.46153846153846,0.0,76.53846153846153,0.0,93651.35328000001,93651.35328000001,0.0,0.010218845832591446,,,,,2,tle-derived,25,188.74183308892847,0.9238002156477253
Priority-Aware,3625.4428050977635,70468.98847098667,260,271.03457104225646,143551818802.25815,86387443184.34837,39.8214220445743,18.258418327027176,93.94083687546333,0,0,74,15,171,0,28.46153846153846,5.769230769230769,65.76923076923077,0.0,79531.01152901343,79531.01152901343,0.0,0.0013334615057549225,,,,,2,tle-derived,25,188.74183308892847,0.9110523769622574
