seed,policy,task_count,oracle_value,policy_value,optimality_gap_pct,mean_decision_ms,oom_count,energy_violation_count
0,QoS-Multihop-projected,8,119.08685014311666,119.05022430084927,0.030755572276352602,0.016562495147809386,0,0
0,PBR-adapted,8,119.08685014311666,119.08685014311666,0.0,3.4082500060321763,0,0
0,PeakMem-inspired,8,119.08685014311666,118.19618598507316,0.7479114251263851,0.015899997379165143,0,0
0,Heuristic-TVD,8,119.08685014311666,119.01250857274889,0.062426347055477435,0.011675001587718725,0,0
1,QoS-Multihop-projected,8,149.96570627054157,149.96570627054157,0.0,0.01452499782317318,0,0
1,PBR-adapted,8,149.96570627054157,149.96570627054157,0.0,3.1159000027400907,0,0
1,PeakMem-inspired,8,149.96570627054157,149.96570627054157,0.0,0.015462494047824293,0,0
1,Heuristic-TVD,8,149.96570627054157,149.89485478556807,0.047245124725838826,0.013412500265985727,0,0
2,QoS-Multihop-projected,8,157.2385482672305,157.2385482672305,0.0,0.014762503269594163,0,0
2,PBR-adapted,8,157.2385482672305,157.2385482672305,0.0,3.0846374975226354,0,0
2,PeakMem-inspired,8,157.2385482672305,157.2385482672305,0.0,0.014962504792492837,0,0
2,Heuristic-TVD,8,157.2385482672305,156.48364237802227,0.48010230158399303,0.01950000660144724,0,0
3,QoS-Multihop-projected,8,154.3275484362003,154.3275484362003,0.0,0.015749999874969944,0,0
3,PBR-adapted,8,154.3275484362003,154.3275484362003,0.0,3.307837494503474,0,0
3,PeakMem-inspired,8,154.3275484362003,154.23364965442175,0.06084382388627964,0.014900007954565808,0,0
3,Heuristic-TVD,8,154.3275484362003,154.29061319541927,0.023933018540943728,0.01107500065700151,0,0
4,QoS-Multihop-projected,8,144.71106631289024,144.71106631289024,0.0,0.014087505405768752,0,0
4,PBR-adapted,8,144.71106631289024,144.71106631289024,0.0,3.2863374981388915,0,0
4,PeakMem-inspired,8,144.71106631289024,143.29453327793422,0.9788698757102857,0.014937500964151695,0,0
4,Heuristic-TVD,8,144.71106631289024,144.51392139663167,0.13623347632053545,0.010649990144884214,0,0
5,QoS-Multihop-projected,8,111.60434455610452,111.60434455610452,0.0,0.015512501704506576,0,0
5,PBR-adapted,8,111.60434455610452,111.60434455610452,0.0,3.079949998209486,0,0
5,PeakMem-inspired,8,111.60434455610452,111.42991845838792,0.15628970217097543,0.015349996829172596,0,0
5,Heuristic-TVD,8,111.60434455610452,111.60434455610452,0.0,0.011899999663000926,0,0
6,QoS-Multihop-projected,8,115.41943822928947,115.41943822928947,0.0,0.01432500357623212,0,0
6,PBR-adapted,8,115.41943822928947,115.41943822928947,0.0,3.179937499226071,0,0
6,PeakMem-inspired,8,115.41943822928947,114.37008931095004,0.909161346163219,0.014587509213015437,0,0
6,Heuristic-TVD,8,115.41943822928947,115.41391884078044,0.0047820268350850185,0.010737505363067612,0,0
7,QoS-Multihop-projected,8,134.3325267783899,134.3325267783899,0.0,0.014225002814782783,0,0
7,PBR-adapted,8,134.3325267783899,134.3325267783899,0.0,3.4344999985478353,0,0
7,PeakMem-inspired,8,134.3325267783899,134.32367622438406,0.0065885412997904865,0.014850000297883525,0,0
7,Heuristic-TVD,8,134.3325267783899,134.32367622438406,0.0065885412997904865,0.010287498298566788,0,0
8,QoS-Multihop-projected,8,138.87694296270948,138.87694296270948,0.0,0.0144875084515661,0,0
8,PBR-adapted,8,138.87694296270948,138.87694296270948,0.0,3.2225125105469488,0,0
8,PeakMem-inspired,8,138.87694296270948,138.87694296270948,0.0,0.015600002370774746,0,0
8,Heuristic-TVD,8,138.87694296270948,138.87694296270948,0.0,0.011950000043725595,0,0
9,QoS-Multihop-projected,8,116.94182359005329,116.94182359005329,0.0,0.016499998309882358,0,0
9,PBR-adapted,8,116.94182359005329,116.94182359005329,0.0,3.2152625026355963,0,0
9,PeakMem-inspired,8,116.94182359005329,116.94182359005329,0.0,0.015849996998440474,0,0
9,Heuristic-TVD,8,116.94182359005329,116.88864992356054,0.04547018753457882,0.011162504961248487,0,0
