policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,variant,normalized_value
Fixed-Threshold,3067.7537128503677,98632.12012848012,259,380.8189966350584,138183152908.2682,43894861169.01148,66.6668457927793,4.033877747579391,79.0500106006302,0,0,106.0,97.0,57.0,0.0,40.76923076923077,37.30769230769231,21.923076923076923,0.0,51367.879871519785,51367.879871519785,0.0,0.0011038461637396652,,,,,1,24,main,0.7764709953814897
Deadline-Energy,3857.038359997837,69168.98741205335,260,266.03456696943596,138183152908.2682,97623791629.69403,25.86583454139093,10.28411112853179,72.25500075728323,0,0,72.0,0.0,188.0,0.0,27.692307692307693,0.0,72.3076923076923,0.0,80831.01258794659,80831.01258794659,0.0,0.010060001267657544,,,,,1,24,main,0.9762447363577478
Priority-Aware,3730.4177721467545,81370.69273706671,260,312.96420283487197,138183152908.2682,83081342987.12921,36.9091701447717,12.934506397489773,79.30292719235098,0,0,87.0,10.0,163.0,0.0,33.46153846153846,3.8461538461538463,62.69230769230769,0.0,68629.3072629333,68629.3072629333,0.0,0.0015680771097182655,,,,,1,24,main,0.9441961356266385
Energy-WSRPT,3545.68728302179,149958.24434954658,257,583.4951142005704,138183152908.2682,35534348773.2781,73.01570398520714,0.7956735252066817,111.78914483510077,0,0,161.0,22.0,77.0,0.0,61.92307692307692,8.461538461538462,29.615384615384617,0.0,41.75565045332473,41.75565045332473,0.0,0.01589769280354421,,,,,1,24,main,0.897439492103617
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,70.1650678624749,0.9832486245364028,79.30292719235098,0,0,169.0,0.0,91.0,0.0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.01531576898951943,,,,,1,24,main,1.0
MILP-Ref,2761.4883355703632,,260,,138183152908.2682,,,,,0,0,,,,,,,,,,,,,,,,,1,24,main,0.6989529790715893
All-Downlink,2556.686277673104,0.0,253,0.0,143551818802.25815,133655118349.42921,0.0,37.746426882901076,754.0107986472566,0,0,0.0,0.0,260.0,0.0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003007692822183554,,,,,2,24,main,0.6670860468979014
All-On-Board,2606.552789094082,149988.82686965325,159,943.3259551550518,143551818802.25815,0.0,100.0,1.1445659766542349,1232.274889842713,0,101,159.0,0.0,0.0,101.0,61.15384615384615,0.0,0.0,38.84615384615385,11.173130346692119,11.173130346692119,0.0,0.00036384556621599657,,,,,2,24,main,0.6800971285730003
Fixed-Threshold,3079.685258293876,94538.50614015998,258,366.4283183727131,143551818802.25815,43453490187.54808,67.48834558363649,7.619225395042789,77.43346582313498,0,0,103.0,90.0,67.0,0.0,39.61538461538461,34.61538461538461,25.76923076923077,0.0,55461.493859840106,55461.493859840106,0.0,0.0010715387851143112,,,,,2,24,main,0.8035460128939919
Deadline-Energy,3772.396708012707,71163.84858981332,260,273.70710996082045,143551818802.25815,100349432288.78314,24.919125037599656,12.860969370166428,71.43436513271442,0,0,71.0,1.0,188.0,0.0,27.307692307692307,0.38461538461538464,72.3076923076923,0.0,78836.15141018668,78836.15141018668,0.0,0.01124269194686069,,,,,2,24,main,0.9842870551834726
Priority-Aware,3584.112271606004,70468.98847098667,260,271.03457104225646,143551818802.25815,81765352376.60277,38.82362801637371,21.402373422387853,78.4072189003879,0,0,74.0,15.0,171.0,0.0,28.46153846153846,5.769230769230769,65.76923076923077,0.0,79531.01152901343,79531.01152901343,0.0,0.0014392315419032597,,,,,2,24,main,0.9351602141346522
Energy-WSRPT,3321.5130395923347,149908.74235413317,253,592.5246733364947,143551818802.25815,37769024481.34253,71.74143052075354,0.721079132218559,754.0107986472566,0,0,156.0,26.0,78.0,0.0,60.0,10.0,30.0,0.0,91.25764586669428,91.25764586669428,0.0,0.0149311548179517,,,,,2,24,main,0.866643288482806
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,68.46064926206226,0.7668729075820011,111.32618025258745,0,0,167.0,0.0,93.0,0.0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.016673075711318795,,,,,2,24,main,1.0
MILP-Ref,3125.8384178319557,,260,,143551818802.25815,,,,,0,0,,,,,,,,,,,,,,,,,2,24,main,0.815588213384905
All-Downlink,2523.31517969433,0.0,255,0.0,145714942829.99643,141823142641.82233,0.0,40.634583839711894,79.65998313243796,0,0,0.0,0.0,260.0,0.0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003134617984939653,,,,,3,24,main,0.6330957870596586
All-On-Board,2622.849838318015,149676.17291999998,158,947.3175501265822,145714942829.99643,0.0,100.0,1.1894509169151812,1204.4435298936867,0,102,158.0,0.0,0.0,102.0,60.76923076923077,0.0,0.0,39.23076923076923,323.82708000001776,323.82708000001776,0.0,0.00039500088090650167,,,,,3,24,main,0.6580688754586711
Fixed-Threshold,3266.09456742782,110267.08696949345,257,429.0548131108695,145714942829.99643,53173078967.439766,62.50747376136656,4.809570752939726,78.33749969722065,0,0,109.0,78.0,73.0,0.0,41.92307692307692,30.0,28.076923076923077,0.0,39732.913030506636,39732.913030506636,0.0,0.0010703843704854639,,,,,3,24,main,0.8194579604706674
Deadline-Energy,3844.9481927810575,71697.5270752,260,275.75971952000003,145714942829.99643,109056964346.36604,23.10354832441419,15.42668608128982,77.05464053457004,0,0,73.0,0.0,187.0,0.0,28.076923076923077,0.0,71.92307692307692,0.0,78302.47292479995,78302.47292479995,0.0,0.01046115245956641,,,,,3,24,main,0.9646914194077069
Priority-Aware,3776.5955203922576,77461.86944597335,260,297.9302670998975,145714942829.99643,96411603040.62616,32.01983735185172,16.769847643845956,78.1803292091174,0,0,81.0,12.0,167.0,0.0,31.153846153846153,4.615384615384615,64.23076923076923,0.0,72538.1305540266,72538.1305540266,0.0,0.0014776913583493577,,,,,3,24,main,0.9475418420295608
Energy-WSRPT,3623.277603213673,149949.53697776,255,588.0373999127843,145714942829.99643,39833274930.7004,71.91341681709855,0.9823328932730268,77.65385075632592,0,0,159.0,19.0,82.0,0.0,61.15384615384615,7.3076923076923075,31.53846153846154,0.0,50.463022240007376,50.463022240007376,0.0,0.014581538450259428,,,,,3,24,main,0.909074619136588
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,65.90716645930894,1.0025280093312177,67.95993451600984,0,0,165.0,0.0,95.0,0.0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.015036152819028268,,,,,3,24,main,1.0
MILP-Ref,3146.7736424683976,,260,,145714942829.99643,,,,,0,0,,,,,,,,,,,,,,,,,3,24,main,0.789520529147077
