policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,profile_label,profile_source,memory_gb,quant_used,normalized_value
Energy-WSRPT,3321.5130395923347,149908.74235413317,253,592.5246733364947,143551818802.25815,37769024481.34253,73.68962316432288,0.721079132218559,754.0107986472566,0,0,156,26,78,0,60.0,10.0,30.0,0.0,91.25764586669428,91.25764586669428,0.0,0.012559615312896382,,,,,2,RTX4090 measured,measured,16,INT4,0.866643288482806
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076924,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.014780769617153475,,,,,2,RTX4090 measured,measured,16,INT4,1.0
Deadline-Energy,3844.9481927810575,71697.5270752,260,275.75971952000003,145714942829.99643,109056964346.36604,25.157322764350077,15.42668608128982,77.05464053457004,0,0,73,0,187,0,28.076923076923077,0.0,71.92307692307692,0.0,78302.47292479995,78302.47292479995,0.0,0.009443846311814223,,,,,3,RTX4090 measured,measured,16,INT4,0.9646914194077069
Priority-Aware,3776.5955203922576,77461.86944597335,260,297.9302670998975,145714942829.99643,96411603040.62616,33.83547276060204,16.769847643845956,78.1803292091174,0,0,81,12,167,0,31.153846153846153,4.615384615384616,64.23076923076924,0.0,72538.1305540266,72538.1305540266,0.0,0.00134077115664975,,,,,3,RTX4090 measured,measured,16,INT4,0.9475418420295608
Energy-WSRPT,3623.277603213673,149949.53697776,255,588.0373999127843,145714942829.99643,39833274930.7004,72.66356204993106,0.9823328932730268,77.65385075632592,0,0,159,19,82,0,61.15384615384616,7.307692307692308,31.538461538461537,0.0,50.463022240007376,50.463022240007376,0.0,0.011884230256188087,,,,,3,RTX4090 measured,measured,16,INT4,0.909074619136588
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846153,0.0,78.66936704002819,78.66936704002819,0.0,0.013681537194105867,,,,,3,RTX4090 measured,measured,16,INT4,1.0
Deadline-Energy,3856.879439805607,72710.54138586667,260,279.6559284071795,143751290598.0329,96634432667.29465,32.77665037630138,11.325929860212394,73.14807775617477,0,0,79,1,180,0,30.384615384615383,0.38461538461538464,69.23076923076923,0.0,77289.45861413333,77289.45861413333,0.0,0.009394615391591707,,,,,4,RTX4090 measured,measured,16,INT4,0.976602024845582
Priority-Aware,3747.2334643115846,79116.98688778667,260,304.29610341456413,143751290598.0329,78843845988.82722,45.15259956218708,14.598307059213402,722.8285196627825,0,0,88,14,158,0,33.84615384615385,5.384615384615385,60.76923076923077,0.0,70883.01311221336,70883.01311221336,0.0,0.0013946148101240396,,,,,4,RTX4090 measured,measured,16,INT4,0.9488385224196342
Energy-WSRPT,3385.3319243306705,149904.75896778662,259,578.7828531574773,143751290598.0329,45158969510.27501,68.5853467315632,1.1445659766542424,726.9090733329451,0,0,153,12,95,0,58.84615384615385,4.615384615384616,36.53846153846153,0.0,95.24103221335204,95.24103221335204,0.0,0.01186922969421945,,,,,4,RTX4090 measured,measured,16,INT4,0.8572012850477788
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.8285196627825,0,0,167,0,93,0,64.23076923076924,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.012800384138245136,,,,,4,RTX4090 measured,measured,16,INT4,1.0
