policy,n,normalized_value_mean,normalized_value_ci95,total_value_mean,total_value_ci95,energy_j_mean,energy_j_ci95,median_latency_min_mean,median_latency_min_ci95,mean_decision_ms_mean,mean_decision_ms_ci95
Deadline-Energy,10,0.9699591240315119,0.010487389168797188,3826.7720138921723,47.05563370100038,66667.673452016,4130.859172709681,12.91889049790974,1.3941941952452108,0.00982515384049079,0.00019195531784009588
Energy-WSRPT,10,0.8744505166895458,0.011172063142729633,3450.300959797491,57.701905913149396,149886.64729377063,55.463014647065926,0.9823815285683335,0.0820190743528206,0.012307345952229671,0.0006489735489875149
ActiveInf-inspired,10,0.8916974434558419,0.011559398718222518,3518.8138395010637,70.50495938156355,149992.22435973314,3.6068952743947307,1.1683184197225587,0.044245660041122015,0.030115307969166477,0.0008445900157339505
LEO-DRL-inspired,10,0.9188454152112044,0.011474718996621546,3625.265384407867,54.36966710789619,149989.23776182387,2.5535302026607907,1.1224235950776422,0.04122134533936218,0.05669503847737074,0.0009999611357566017
Hierarchical-RA-inspired,10,0.8941916118079609,0.011659544680620837,3528.547109907733,68.4962974427226,149992.22435973314,3.6068952743947307,1.1683184197225587,0.044245660041122015,0.01593073106890252,0.0005204765919206278
DRL-UA-inspired,10,0.9287044034858656,0.0050121881034999195,3664.358472482483,43.826012067901864,149955.66702018658,41.65228116968651,1.1145740894697984,0.04169282139616263,0.06093703839444335,0.0012584399419865654
QoS-Multihop-projected,10,0.9186646008937508,0.009404462969948487,3624.842003528471,56.64438736459114,149989.51118932787,2.889035593027194,1.0407958121313647,0.05596748170509119,0.017688115913188036,0.0004371547067684533
DelayCost-adapted,10,0.8947222340347034,0.011209234363794283,3530.617844012339,66.81018715740765,149990.21896227184,2.931684396691282,1.1573378828821022,0.047146297023521425,0.014278923324756993,0.0005386537888533812
Heuristic-TVD,10,1.0,0.0,3945.9184883814496,51.298114607438535,149766.0469967359,89.07655517156861,1.012963552682997,0.06608346580290782,0.01413465374543397,0.00039177031868730875
