policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,beta,lambda_energy,lambda_bandwidth,epsilon,is_default,normalized_value
Heuristic-TVD,3520.647346519578,149829.60367605338,254,589.880329433281,141896346105.7374,45972249471.07817,67.6015269365563,1.1894509169151812,736.9298172144859,0,0,154,0,106,0,59.23076923076923,0.0,40.76923076923077,0.0,170.3963239466707,170.3963239466707,0.0,0.012770384245623764,,,,,0,0.0,2.0,0.2,0.015,0,0.906800849966189
Heuristic-TVD,3692.7818841804165,149873.04095210662,257,583.163583471232,138183152908.2682,43495640546.08537,68.52319575096134,1.0796455485105374,111.78914483510077,0,0,161,0,99,0,61.92307692307692,0.0,38.07692307692308,0.0,126.959047893307,126.959047893307,0.0,0.01292846013362018,,,,,1,0.0,2.0,0.2,0.015,0,0.934670215971199
Heuristic-TVD,3573.2701343002464,149948.8237132799,253,592.6830976809483,143551818802.25815,45347271289.7284,68.41052125421412,1.0025280093312177,754.0107986472566,0,0,160,0,100,0,61.53846153846154,0.0,38.46153846153846,0.0,51.17628672002547,51.17628672002547,0.0,0.013787308573507918,,,,,2,0.0,2.0,0.2,0.015,0,0.9323313029074973
Heuristic-TVD,3790.3497463140666,149886.2555313066,255,587.789237377673,145714942829.99643,45579324246.00025,68.72021265576242,1.0229726817230433,77.65385075632592,0,0,164,0,96,0,63.07692307692308,0.0,36.92307692307692,0.0,113.74446869335003,113.74446869335003,0.0,0.01454038305942399,,,,,3,0.0,2.0,0.2,0.015,0,0.950992755556114
Heuristic-TVD,3616.3476720559565,149872.6084985599,259,578.6587200716598,143751290598.0329,42800961265.91084,70.22568556577778,1.1445659766542424,726.9090733329451,0,0,158,0,102,0,60.76923076923077,0.0,39.23076923076923,0.0,127.39150144004338,127.39150144004338,0.0,0.013306152966554062,,,,,4,0.0,2.0,0.2,0.015,0,0.9156968772800063
Heuristic-TVD,3610.9731367963655,149618.4244260267,259,577.6773143862034,145966253614.7567,51704451028.90957,64.57780497307878,1.1040289644706718,70.14701649298937,0,0,157,0,103,0,60.38461538461539,0.0,39.61538461538461,0.0,381.5755739733413,381.5755739733413,0.0,0.013384615102460464,,,,,5,0.0,2.0,0.2,0.015,0,0.914288073297622
Heuristic-TVD,3691.970514732352,149993.08113365326,258,581.3685315257878,136511684238.74997,47176914709.04969,65.44111592195993,1.1894509169151812,77.97047621988175,0,0,158,0,102,0,60.76923076923077,0.0,39.23076923076923,0.0,6.918866346668153,6.918866346668153,0.0,0.012938076375016512,,,,,6,0.0,2.0,0.2,0.015,0,0.9333706998191602
Heuristic-TVD,3733.7066231473777,149671.20460021324,254,589.2567110244615,139247165035.33093,57109678569.38033,58.98682852545687,1.1894509169151812,69.26924140178392,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,328.7953997866998,328.7953997866998,0.0,0.012753077093153618,,,,,7,0.0,2.0,0.2,0.015,0,0.9093087422766027
Heuristic-TVD,3550.05844567001,149993.62549845327,256,585.9125996033331,147675122448.8456,56769873151.02374,61.55759195616126,1.2567783273065893,78.71920664394437,0,0,152,0,108,0,58.46153846153846,0.0,41.53846153846154,0.0,6.374501546586089,6.374501546586089,0.0,0.01188922939875808,,,,,8,0.0,2.0,0.2,0.015,0,0.9249792617307501
Heuristic-TVD,3679.0948090777847,149732.52284085326,256,584.892667347083,145047080871.27374,47425171997.71476,67.30360120807697,1.0796455485105754,79.09861167966864,0,0,163,0,97,0,62.69230769230769,0.0,37.30769230769231,0.0,267.47715914662786,267.47715914662786,0.0,0.013816154499251682,,,,,9,0.0,2.0,0.2,0.015,0,0.9148753705843392
Heuristic-TVD,3465.84467519962,149814.12936176002,254,589.819406936063,141896346105.7374,46615944001.88493,67.14788979333692,1.1894509169151812,736.9298172144859,0,0,152,1,107,0,58.46153846153846,0.38461538461538464,41.15384615384615,0.0,185.87063824000438,185.87063824000438,0.0,0.013033076090953099,,,,,0,0.0,2.0,0.45,0.015,0,0.8926855171759046
Heuristic-TVD,3646.268793602998,149905.04416527995,257,583.2881095925289,138183152908.2682,43175808788.27688,68.75465070844142,1.0796455485105374,111.78914483510077,0,0,161,1,98,0,61.92307692307692,0.38461538461538464,37.69230769230769,0.0,94.95583471997406,94.95583471997406,0.0,0.013011155085853087,,,,,1,0.0,2.0,0.45,0.015,0,0.9228974111376061
Heuristic-TVD,3503.876401087591,149988.82686965325,253,592.8412129235306,143551818802.25815,46598836653.9086,67.53866510176493,1.0218073941260324,754.0107986472566,0,0,159,0,101,0,61.15384615384615,0.0,38.84615384615385,0.0,11.173130346692119,11.173130346692119,0.0,0.012290770246181637,,,,,2,0.0,2.0,0.45,0.015,0,0.9142252131722919
