policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,variant,rho,eta,eta_model,normalized_value
Heuristic-TVD,3400.471285137352,107130.83507269336,260,412.0416733565129,141896346105.7374,6513660511.101394,95.40956431235546,0.9832486245364028,60.88083206689866,0,0,139,121,0,0,53.46153846153846,46.53846153846154,0.0,0.0,42869.164927306534,42869.164927306534,0.0,0.014539615501864599,,,,,0,PRE,0.1,0.5923024947075771,conservative,0.8758475212510247
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.011462307100793203,,,,,0,No PRE,0.1,0.5923024947075771,conservative,1.0
Heuristic-TVD,3484.097841946289,111799.58180165359,260,429.9983915448215,138183152908.2682,6192113915.869998,95.51890821308689,0.9832486245364028,57.3240390884699,0,0,143,117,0,0,55.0,45.0,0.0,0.0,38200.418198346604,38200.418198346604,0.0,0.015482307599785809,,,,,1,PRE,0.1,0.5923024947075771,conservative,0.8818507522329543
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.010873076434318837,,,,,1,No PRE,0.1,0.5923024947075771,conservative,1.0
Heuristic-TVD,3420.501773354025,117759.47407248011,260,452.9210541249235,143551818802.25815,6542988177.501752,95.44207225509648,0.9991573331073595,45.790108959236164,0,0,141,119,0,0,54.23076923076923,45.76923076923077,0.0,0.0,32240.525927520026,32240.525927520026,0.0,0.015176539286935272,,,,,2,PRE,0.1,0.5923024947075771,conservative,0.892471253246873
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.010812694941145869,,,,,2,No PRE,0.1,0.5923024947075771,conservative,1.0
Heuristic-TVD,3402.9269632461546,109414.40836496025,260,420.82464755753944,145714942829.99643,7440146855.3475485,94.89403988990487,1.0796455485105374,67.33903695888958,0,0,133,127,0,0,51.15384615384615,48.84615384615385,0.0,0.0,40585.59163503996,40585.59163503996,0.0,0.016874615371657107,,,,,3,PRE,0.1,0.5923024947075771,conservative,0.8537889921321031
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.010651923590697922,,,,,3,No PRE,0.1,0.5923024947075771,conservative,1.0
Heuristic-TVD,3429.353967518944,109871.3922667201,260,422.58227794892343,143751290598.0329,5994635235.897172,95.82985640618715,1.136045899587153,61.533206315997575,0,0,139,121,0,0,53.46153846153846,46.53846153846154,0.0,0.0,40128.607733280056,40128.607733280056,0.0,0.014785386939855436,,,,,4,PRE,0.1,0.5923024947075771,conservative,0.8683481246590461
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.010965000211189572,,,,,4,No PRE,0.1,0.5923024947075771,conservative,1.0
Heuristic-TVD,3305.883868936306,96954.22071440003,260,372.90084890153855,145966253614.7567,8267164032.700059,94.33624976460705,1.0507264713183,64.0661855278282,0,0,123,137,0,0,47.30769230769231,52.69230769230769,0.0,0.0,53045.77928559982,53045.77928559982,0.0,0.014490000299142243,,,,,5,PRE,0.1,0.5923024947075771,conservative,0.839653829586817
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.009920384372190501,,,,,5,No PRE,0.1,0.5923024947075771,conservative,1.0
Heuristic-TVD,3379.708927331867,103902.5287317334,260,399.62511050666694,136511684238.74997,5972813947.572333,95.62468664797493,1.1445659766542198,64.81205155307872,0,0,134,126,0,0,51.53846153846154,48.46153846153846,0.0,0.0,46097.47126826658,46097.47126826658,0.0,0.013971922789306309,,,,,6,PRE,0.1,0.5923024947075771,conservative,0.8544275405507927
Heuristic-TVD,3955.5243328804604,149715.49098826657,257,582.550548592477,136511684238.74997,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.010971923676641801,,,,,6,No PRE,0.1,0.5923024947075771,conservative,1.0
Heuristic-TVD,3451.818190294435,111224.12671445361,260,427.7851027478985,139247165035.33093,6939024709.356657,95.01675692456932,1.053642734626222,62.70334183492676,0,0,132,128,0,0,50.76923076923077,49.23076923076923,0.0,0.0,38775.87328554683,38775.87328554683,0.0,0.015271154832309829,,,,,7,PRE,0.1,0.5923024947075771,conservative,0.839470953030522
Heuristic-TVD,4111.897115478791,149670.5285704532,258,580.1183277924542,139247165035.33093,48006134866.0227,65.5245154514692,1.021807394126055,61.38957043915382,0,0,169,0,91,0,65.0,0.0,35.0,0.0,329.4714295466986,329.4714295466986,0.0,0.01002769187415162,,,,,7,No PRE,0.1,0.5923024947075771,conservative,1.0
Heuristic-TVD,3229.144887183426,99781.97304000011,260,383.7768193846158,147675122448.8456,8071762607.482469,94.53410806530496,1.1445659766542424,68.91748123652475,0,0,122,138,0,0,46.92307692307692,53.07692307692308,0.0,0.0,50218.02695999987,50218.02695999987,0.0,0.01432961602963937,,,,,8,PRE,0.1,0.5923024947075771,conservative,0.8413641914576505
Heuristic-TVD,3837.9870690586226,149719.9602573866,257,582.567938744695,147675122448.8456,61385932170.2414,58.43177161305191,1.1445659766542424,75.53968085804092,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,280.0397426132629,280.0397426132629,0.0,0.010266538503436515,,,,,8,No PRE,0.1,0.5923024947075771,conservative,1.0
Heuristic-TVD,3557.003762182572,106888.24415786678,260,411.1086313764107,145047080871.27374,6307770496.953759,95.65122547860734,0.9832486245364028,58.702058005008,0,0,140,120,0,0,53.84615384615385,46.15384615384615,0.0,0.0,43111.75584213317,43111.75584213317,0.0,0.01441922974593651,,,,,9,PRE,0.1,0.5923024947075771,conservative,0.8830265533662874
Heuristic-TVD,4028.1956965195523,149522.0178698665,257,581.7977349022043,145047080871.27374,41111842808.23144,71.65620806618139,0.9832486245364028,70.43976702267629,0,0,172,0,88,0,66.15384615384616,0.0,33.84615384615385,0.0,477.9821301333002,477.9821301333002,0.0,0.010996153734875126,,,,,9,No PRE,0.1,0.5923024947075771,conservative,1.0
Heuristic-TVD,3470.992809897777,95957.32710693325,260,369.06664271897404,141896346105.7374,6931469672.613378,95.11511757501619,0.9832486245364028,61.49393717577033,0,0,127,133,0,0,48.84615384615385,51.15384615384615,0.0,0.0,54042.672893066454,54042.672893066454,0.0,0.015450385958851816,,,,,0,PRE,0.1,0.6923024947075771,nominal,0.8940115042630931
