policy,normalized_value_mean,normalized_value_ci95,total_value_mean,total_value_ci95,energy_j_mean,energy_j_ci95,median_latency_min_mean,median_latency_min_ci95,p95_latency_min_mean,p95_latency_min_ci95,mean_decision_ms_mean,mean_decision_ms_ci95,oom_count_mean,oom_count_ci95,energy_violation_count_mean,energy_violation_count_ci95,on_pct_mean,on_pct_ci95,pre_pct_mean,pre_pct_ci95,down_pct_mean,down_pct_ci95,drop_pct_mean,drop_pct_ci95,min_energy_j_mean,min_energy_j_ci95
ActiveInf-inspired,0.8916974434558421,0.011559398718222515,3518.8138395010637,70.50495938156355,149992.22435973314,3.6068952743969236,1.1683184197225587,0.04424566004112203,281.69089857247974,195.9693798080041,0.039795269370258145,0.0012259180735896512,0.0,0.0,0.0,0.0,59.57692307692307,0.9432286098226137,5.0769230769230775,2.1077756549744153,35.34615384615385,1.8031128755786696,0.0,0.0,7.775640266665727,3.6068952743967775
DRL-UA-inspired,0.9287044034858656,0.005012188103499895,3664.358472482483,43.826012067901814,149955.66702018658,41.65228116968651,1.1145740894697984,0.041692821396162615,281.11910744129443,196.20786688309695,0.08153688421141572,0.0015540750784248287,0.0,0.0,0.0,0.0,59.88461538461538,0.6460441502327583,3.7307692307692313,1.0117028562263304,36.38461538461539,1.2371654310348041,0.0,0.0,44.33297981333553,41.65228116967209
Deadline-Energy,0.9699591240315119,0.010487389168797186,3826.7720138921723,47.05563370100042,66667.673452016,4130.859172709681,12.91889049790974,1.3941941952452108,72.01229412018863,1.8028297362482817,0.012724230764433742,0.00038377427242233136,0.0,0.0,0.0,0.0,26.923076923076923,1.2959918993910842,0.19230769230769232,0.12564102564102564,72.88461538461537,1.2874374039282577,0.0,0.0,83332.32654798399,4130.859172709688
DelayCost-adapted,0.8947222340347034,0.011209234363794283,3530.617844012339,66.81018715740765,149990.21896227184,2.931684396691282,1.1573378828821022,0.047146297023521445,281.65495065695893,195.98596678782906,0.01945584619534202,0.0006775840109876987,0.0,0.0,0.0,0.0,59.65384615384615,0.9091411007601545,5.230769230769232,1.8608449651222712,35.11538461538462,1.569457081049707,0.0,0.0,9.78103772799948,2.9316843967109345
Energy-WSRPT,0.8744505166895458,0.011172063142729633,3450.300959797491,57.70190591314939,149886.64729377063,55.463014647065926,0.9823815285683335,0.08201907435282059,281.2299195268141,196.17941858269157,0.01610526910203939,0.000500147622916682,0.0,0.0,0.0,0.0,59.84615384615385,0.7801892924274265,8.307692307692307,1.3494571436364717,31.846153846153847,1.4814989654896413,0.0,0.0,113.35270622935641,55.4630146470213
Heuristic-TVD,1.0,0.0,3945.9184883814496,51.29811460743858,149766.0469967359,89.07655517156861,1.012963552682997,0.06608346580290783,139.99719376120296,127.23490862086517,0.018656692241515532,0.0007679409969115215,0.0,0.0,0.0,0.0,64.0,1.0672833523058158,0.07692307692307693,0.1005128205128205,35.92307692307692,1.1192634001176254,0.0,0.0,233.95300326399556,89.07655517153833
Hierarchical-RA-inspired,0.8941916118079609,0.01165954468062083,3528.547109907733,68.49629744272254,149992.22435973314,3.6068952743969236,1.1683184197225587,0.04424566004112203,281.69089857247974,195.9693798080041,0.020858460954444193,0.0005879527542794465,0.0,0.0,0.0,0.0,59.57692307692307,0.9432286098226137,5.0769230769230775,2.1077756549744153,35.34615384615385,1.8031128755786696,0.0,0.0,7.775640266665727,3.6068952743967775
LEO-DRL-inspired,0.9188454152112044,0.01147471899662154,3625.265384407867,54.369667107896156,149989.23776182387,2.5535302026602396,1.1224235950776422,0.04122134533936218,281.7778551447444,195.9246141574929,0.07773276943435822,0.001981796658345154,0.0,0.0,0.0,0.0,61.11538461538462,1.278578784466089,3.692307692307692,1.5375504994833626,35.19230769230769,2.333678475459817,0.0,0.0,10.762238175987155,2.553530202646832
PBR-adapted,0.9375495963171263,0.011038152681567876,3699.3355585036543,60.99714077441965,149909.88923107725,44.83723340292836,0.975057903102598,0.07819799015816249,281.4481420199346,196.03999630073704,6.096691884348939,0.10131732121016948,0.0,0.0,0.0,0.0,60.03846153846153,0.8292307692307687,1.6538461538461537,0.5395254446798002,38.30769230769231,0.8499130171683078,0.0,0.0,90.11076892267285,44.83723340294784
PeakMem-inspired,0.9644606621179885,0.008361859104016675,3805.742481749147,60.904643013050816,149838.1918390293,66.68317423515164,0.9466060183248913,0.06804165892490496,279.71221021286925,196.87932810187107,0.024253346055047583,0.0007264704370813966,0.0,0.0,0.0,0.0,63.230769230769226,1.2165788787868717,0.0,0.0,36.769230769230774,1.2165788787868714,0.0,0.0,161.80816097066278,66.68317423513369
QoS-Multihop-projected,0.9186646008937508,0.009404462969948508,3624.842003528471,56.64438736459118,149989.51118932787,2.889035593027194,1.0407958121313647,0.0559674817050912,281.4563944613745,196.0728865652647,0.023544268982592396,0.0011507812158058957,0.0,0.0,0.0,0.0,59.92307692307693,0.8905458586531264,4.423076923076923,1.2425128829512402,35.65384615384616,1.6364231130319624,0.0,0.0,10.488810672010104,2.8890355930386273
