seed,policy,task_count,oracle_value,policy_value,optimality_gap_pct,oom_count,energy_violation_count,mean_decision_ms
0,Deadline-Energy,8,119.08685014311666,113.42538780430976,4.754061705388164,0,0,0.0071124995884019
0,Energy-WSRPT,8,119.08685014311666,98.16796704126416,17.5660730607221,0,0,0.0101125078799668
0,ActiveInf-inspired,8,119.08685014311666,119.01250857274889,0.0624263470554774,0,0,0.0276749960903543
0,LEO-DRL-inspired,8,119.08685014311666,119.01250857274889,0.0624263470554774,0,0,0.0520999965374358
0,Hierarchical-RA-inspired,8,119.08685014311666,119.01250857274889,0.0624263470554774,0,0,0.0169500017364043
0,DRL-UA-inspired,8,119.08685014311666,119.05022430084928,0.0307555722763526,0,0,0.0539374959771521
0,QoS-Multihop-projected,8,119.08685014311666,119.05022430084928,0.0307555722763526,0,0,0.0136750022647902
0,DelayCost-adapted,8,119.08685014311666,119.01250857274889,0.0624263470554774,0,0,0.0126749982882756
0,Heuristic-TVD,8,119.08685014311666,119.01250857274889,0.0624263470554774,0,0,0.0133250068756751
1,Deadline-Energy,8,149.96570627054157,142.3449017251931,5.081698166112972,0,0,0.0071249996835831
1,Energy-WSRPT,8,149.96570627054157,138.62507103051507,7.562152389405438,0,0,0.0097875017672777
1,ActiveInf-inspired,8,149.96570627054157,149.89485478556807,0.0472451247258388,0,0,0.0283875015156809
1,LEO-DRL-inspired,8,149.96570627054157,144.32719783225508,3.75986522419632,0,0,0.0531624937138985
1,Hierarchical-RA-inspired,8,149.96570627054157,149.89485478556807,0.0472451247258388,0,0,0.0146500060509424
1,DRL-UA-inspired,8,149.96570627054157,138.62507103051507,7.562152389405438,0,0,0.0622374973318073
1,QoS-Multihop-projected,8,149.96570627054157,149.96570627054157,0.0,0,0,0.0138625073304865
1,DelayCost-adapted,8,149.96570627054157,149.89485478556807,0.0472451247258388,0,0,0.0132750028569716
1,Heuristic-TVD,8,149.96570627054157,149.89485478556807,0.0472451247258388,0,0,0.0110875043901614
2,Deadline-Energy,8,157.2385482672305,144.4518891162486,8.132012977664157,0,0,0.0082375008787494
2,Energy-WSRPT,8,157.2385482672305,131.50712236008636,16.36457865498287,0,0,0.0099124954431317
2,ActiveInf-inspired,8,157.2385482672305,156.48364237802227,0.480102301583993,0,0,0.0280000022030435
2,LEO-DRL-inspired,8,157.2385482672305,156.48364237802227,0.480102301583993,0,0,0.0549625037820078
2,Hierarchical-RA-inspired,8,157.2385482672305,156.48364237802227,0.480102301583993,0,0,0.0150124978972598
2,DRL-UA-inspired,8,157.2385482672305,156.48364237802227,0.480102301583993,0,0,0.0685624945617746
2,QoS-Multihop-projected,8,157.2385482672305,157.2385482672305,0.0,0,0,0.0143874931382015
2,DelayCost-adapted,8,157.2385482672305,156.48364237802227,0.480102301583993,0,0,0.0128249994304496
2,Heuristic-TVD,8,157.2385482672305,156.48364237802227,0.480102301583993,0,0,0.0111625049612484
