policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,variant,task_count,mpc_horizon_h,normalized_value
MPC-3,993.9831112741632,46430.77134133334,60,773.8461890222223,35926317175.289,3191726141.3264236,91.11591058511901,0.6502542858624414,1.259990357261575,0,0,54,0,6,0,90.0,0.0,10.0,0.0,103569.22865866672,103569.22865866672,0.0,64.95109999765798,,,,,3,MPC-3,60,6.0,1.0
MPC-5,993.9831112741632,46430.77134133334,60,773.8461890222223,35926317175.289,3191726141.3264236,91.11591058511901,0.6502542858624414,1.259990357261575,0,0,54,0,6,0,90.0,0.0,10.0,0.0,103569.22865866672,103569.22865866672,0.0,918.4538100031205,,,,,3,MPC-5,60,6.0,1.0
Deadline-Energy,879.3225662039935,22862.324018026662,60,381.0387336337777,37415019220.456795,23308440345.97001,37.702984438863965,7.500272345492658,67.86677863183833,0,0,25,0,35,0,41.666666666666664,0.0,58.333333333333336,0.0,127137.67598197333,127137.67598197333,0.0,0.00767833359229068,,,,,4,Deadline-Energy,60,6.0,0.9181315283724488
Priority-Aware,735.8443294447901,14981.356083413333,60,249.6892680568889,37415019220.456795,22125258853.3894,40.865301383321665,25.427892403090375,746.86616225153,0,0,15,6,39,0,25.0,10.0,65.0,0.0,135018.64391658673,135018.64391658673,0.0,0.001379998866468668,,,,,4,Priority-Aware,60,6.0,0.7683208697280407
Heuristic-TVD,957.4685120115565,59677.33090101333,60,994.6221816835555,37415019220.456795,0.0,100.0,1.0218073941260324,1.4843650412547624,0,0,60,0,0,0,100.0,0.0,0.0,0.0,90322.66909898669,90322.66909898669,0.0,0.011989999620709568,,,,,4,Heuristic-TVD,60,6.0,0.9997264508934792
MPC-3,957.7304983336634,56648.245415893325,60,944.1374235982221,37415019220.456795,1063128980.6931548,97.15855022169309,1.0025280093312177,1.4843650412547624,0,0,57,0,3,0,95.0,0.0,5.0,0.0,93351.75458410669,93351.75458410669,0.0,64.81638333546773,,,,,4,MPC-3,60,6.0,1.0
MPC-5,957.7304983336634,56648.245415893325,60,944.1374235982221,37415019220.456795,1063128980.6931548,97.15855022169309,1.0025280093312177,1.4843650412547624,0,0,57,0,3,0,95.0,0.0,5.0,0.0,93351.75458410669,93351.75458410669,0.0,932.5722883324488,,,,,4,MPC-5,60,6.0,1.0
Deadline-Energy,1005.4255454705694,19075.41671008,60,317.9236118346667,34152688542.760853,20826028526.401474,39.02082262037363,1.1121057625823791,53.19186957696918,0,0,22,0,38,0,36.666666666666664,0.0,63.333333333333336,0.0,130924.58328992003,130924.58328992003,0.0,0.0075916667507650954,,,,,5,Deadline-Energy,60,6.0,0.9324245104806173
Priority-Aware,905.5964167493232,22237.093032373337,60,370.6182172062223,34152688542.760853,12228040785.01123,64.19596433908528,1.2006721519804069,766.2153356751779,0,0,25,3,32,0,41.666666666666664,5.0,53.333333333333336,0.0,127762.90696762672,127762.90696762672,0.0,0.0013966632347243528,,,,,5,Priority-Aware,60,6.0,0.8398436854767639
Heuristic-TVD,1074.4754048357092,54438.29056021333,60,907.3048426702222,34152688542.760853,0.0,100.0,0.6332972624675222,1.3970378431981014,0,0,60,0,0,0,100.0,0.0,0.0,0.0,95561.70943978663,95561.70943978663,0.0,0.012806669110432267,,,,,5,Heuristic-TVD,60,6.0,0.9964608596735974
MPC-3,1078.291630227871,42533.81091712,60,708.8968486186666,34152688542.760853,5520670743.91243,83.83532606225049,0.5585583416595303,1.325938595821063,0,0,47,0,13,0,78.33333333333333,0.0,21.666666666666668,0.0,107466.18908288002,107466.18908288002,0.0,64.96053833592062,,,,,5,MPC-3,60,6.0,1.0
MPC-5,1078.291630227871,42533.81091712,60,708.8968486186666,34152688542.760853,5520670743.91243,83.83532606225049,0.5585583416595303,1.325938595821063,0,0,47,0,13,0,78.33333333333333,0.0,21.666666666666668,0.0,107466.18908288002,107466.18908288002,0.0,923.23790499795,,,,,5,MPC-5,60,6.0,1.0
Deadline-Energy,943.0287244134083,25729.765754133332,60,428.82942923555555,37525819828.02876,22812676706.85496,39.20805245188612,2.3796570255322878,67.15142726296413,0,0,24,0,36,0,40.0,0.0,60.0,0.0,124270.2342458667,124270.2342458667,0.0,0.007874999816219011,,,,,6,Deadline-Energy,60,6.0,0.8777845618389007
Priority-Aware,841.2841764992431,23626.327413333325,60,393.7721235555554,37525819828.02876,18837919237.64232,49.800112765099634,7.2216145136265375,774.5129585067154,0,0,23,2,35,0,38.333333333333336,3.3333333333333335,58.333333333333336,0.0,126373.67258666671,126373.67258666671,0.0,0.0016000000565933685,,,,,6,Priority-Aware,60,6.0,0.7830792881836515
Heuristic-TVD,1070.1522347173589,66882.48190645335,60,1114.7080317742225,37525819828.02876,0.0,100.0,0.6838881282346331,1.5285989604597916,0,0,60,0,0,0,100.0,0.0,0.0,0.0,83117.51809354675,83117.51809354675,0.0,0.013388333900365978,,,,,6,Heuristic-TVD,60,6.0,0.996112934986799
MPC-3,1074.3282183475924,56992.78742741335,60,949.8797904568892,37525819828.02876,3478297004.7940125,90.73092334628755,0.6212807667949316,1.5396017163866125,0,0,52,0,8,0,86.66666666666667,0.0,13.333333333333334,0.0,93007.21257258675,93007.21257258675,0.0,64.49648999841884,,,,,6,MPC-3,60,6.0,1.0
MPC-5,1074.3282183475924,56992.78742741335,60,949.8797904568892,37525819828.02876,3478297004.7940125,90.73092334628755,0.6212807667949316,1.5396017163866125,0,0,52,0,8,0,86.66666666666667,0.0,13.333333333333334,0.0,93007.21257258675,93007.21257258675,0.0,926.8980200014388,,,,,6,MPC-5,60,6.0,1.0
Deadline-Energy,925.9314361993172,25291.474491146666,60,421.52457485244446,27167029941.945847,12984134611.640026,52.206278568594854,1.3660952692787713,63.588444388835214,0,0,23,1,36,0,38.333333333333336,1.6666666666666667,60.0,0.0,124708.52550885333,124708.52550885333,0.0,0.007478331584328164,,,,,7,Deadline-Energy,60,6.0,0.8978759700235324
Priority-Aware,867.820423530445,23056.577365386664,60,384.27628942311105,27167029941.945847,9682468944.73877,64.35948660773899,1.8054408625907268,750.6140736826443,0,0,24,3,33,0,40.0,5.0,55.0,0.0,126943.42263461335,126943.42263461335,0.0,0.0014266668586060405,,,,,7,Priority-Aware,60,6.0,0.8415257049506855
Heuristic-TVD,1030.659470748361,62430.08541834666,60,1040.501423639111,27167029941.945847,0.0,100.0,0.6502542858624414,1.2567783273065896,0,0,60,0,0,0,100.0,0.0,0.0,0.0,87569.9145816533,87569.9145816533,0.0,0.011856665272110453,,,,,7,Heuristic-TVD,60,6.0,0.99943077411935
MPC-3,1031.2464829357773,57047.46839157333,60,950.7911398595555,27167029941.945847,1949715322.5761533,92.82322975039021,0.650254285862438,1.2567783273065896,0,0,53,0,7,0,88.33333333333333,0.0,11.666666666666666,0.0,92952.53160842665,92952.53160842665,0.0,64.84770000048836,,,,,7,MPC-3,60,6.0,1.0
MPC-5,1031.2464829357773,57047.46839157333,60,950.7911398595555,27167029941.945847,1949715322.5761533,92.82322975039021,0.650254285862438,1.2567783273065896,0,0,53,0,7,0,88.33333333333333,0.0,11.666666666666666,0.0,92952.53160842665,92952.53160842665,0.0,928.9382583325884,,,,,7,MPC-5,60,6.0,1.0
Deadline-Energy,860.093667188256,17548.37238613333,60,292.4728731022222,33598201924.48257,24220037125.56212,27.91269848308967,21.32563778072205,69.32180483763311,0,0,18,0,42,0,30.0,0.0,70.0,0.0,132451.62761386664,132451.62761386664,0.0,0.007996665954124182,,,,,8,Deadline-Energy,60,6.0,0.8795217212098551
Priority-Aware,829.4705685610836,18966.090256053336,59,321.45915688225995,33598201924.48257,19718865790.915344,41.309758673286424,29.07018713415454,106.3635599690469,0,0,19,3,38,0,31.666666666666668,5.0,63.333333333333336,0.0,131033.90974394669,131033.90974394669,0.0,0.0014400002934659522,,,,,8,Priority-Aware,60,6.0,0.8482068988354513
Heuristic-TVD,977.6673851928444,58216.68690474668,60,970.2781150791113,33598201924.48257,0.0,100.0,0.721079132218559,1.6464595768976018,0,0,60,0,0,0,100.0,0.0,0.0,0.0,91783.31309525338,91783.31309525338,0.0,0.011821665005603185,,,,,8,Heuristic-TVD,60,6.0,0.9997512296615245
MPC-3,977.9106603588207,51290.75029120002,60,854.845838186667,33598201924.48257,4419660661.826214,86.84554408072158,0.7175219706068294,1.6464595768976018,0,0,55,0,5,0,91.66666666666667,0.0,8.333333333333334,0.0,98709.2497088,98709.2497088,0.0,64.07792666577734,,,,,8,MPC-3,60,6.0,1.0
MPC-5,977.9106603588207,51290.75029120002,60,854.845838186667,33598201924.48257,4419660661.826214,86.84554408072158,0.7175219706068294,1.6464595768976018,0,0,55,0,5,0,91.66666666666667,0.0,8.333333333333334,0.0,98709.2497088,98709.2497088,0.0,925.4570850001377,,,,,8,MPC-5,60,6.0,1.0
Deadline-Energy,884.2633015503154,22063.669374293335,60,367.7278229048889,32991451805.699326,21596870421.610912,34.537981084300085,5.702140112571927,72.89519437592098,0,0,22,0,38,0,36.666666666666664,0.0,63.333333333333336,0.0,127936.33062570669,127936.33062570669,0.0,0.007464998149468253,,,,,9,Deadline-Energy,60,6.0,0.9106565055504389
Priority-Aware,766.0430125818358,15123.971720266663,60,252.0661953377777,32991451805.699326,18292483462.741615,44.553869376607544,14.156344085230135,762.7437508787814,0,0,17,1,42,0,28.333333333333332,1.6666666666666667,70.0,0.0,134876.02827973335,134876.02827973335,0.0,0.0014333321208444734,,,,,9,Priority-Aware,60,6.0,0.7889076157701556
Heuristic-TVD,968.5585606465114,56987.218574079976,60,949.7869762346662,32991451805.699326,0.0,100.0,0.6054091626995046,1.2567783273065893,0,0,60,0,0,0,100.0,0.0,0.0,0.0,93012.78142592001,93012.78142592001,0.0,0.011483333461607495,,,,,9,Heuristic-TVD,60,6.0,0.9974677821785946
MPC-3,971.0173881817599,50997.98741866666,60,849.9664569777776,32991451805.699326,4217834417.0762215,87.21537190325289,0.525012967509474,1.2567783273065893,0,0,53,0,7,0,88.33333333333333,0.0,11.666666666666666,0.0,99002.01258133339,99002.01258133339,0.0,63.67777000220182,,,,,9,MPC-3,60,6.0,1.0
MPC-5,971.0173881817599,50997.98741866666,60,849.9664569777776,32991451805.699326,4217834417.0762215,87.21537190325289,0.525012967509474,1.2567783273065893,0,0,53,0,7,0,88.33333333333333,0.0,11.666666666666666,0.0,99002.01258133339,99002.01258133339,0.0,913.8268766662804,,,,,9,MPC-5,60,6.0,1.0
