model,scale_b,modality,quant,image_size,context_len,prefill_tokens,decode_tokens,vision_prefill_j_per_image,prefill_j_per_tok,decode_j_per_tok,prefill_active_j_per_tok,decode_active_j_per_tok,tokens_per_sec,peak_mem_gb,gpu_power_w,idle_power_w,prefill_avg_power_w,decode_avg_power_w,prefill_active_avg_power_w,decode_active_avg_power_w,seed,sample_id,prefill_repeats,generate_repeats,run_id
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,3.696366620910354,3.696366620910354,0.1084760818700306,0.05257433154154575,0.0014117164472117994,410.8908469672536,0.45084047317504883,49.32294868991569,51.562,49.32294868991569,44.571829155266016,0.7015324298085005,2.0202154743953202,0,0,8,4,vlm_4090_1783047105
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.1196052152949851,1.1196052152949851,0.06142384747007552,0.17661228644871158,0.0,750.4635254476344,0.45168447494506836,51.36667010708266,51.562,51.36667010708266,46.09635711895063,8.102842797564438,7.271476513789939,0,1,8,4,vlm_4090_1783047105
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,3.0,1,2.0,1.5282877475651913,1.5282877475651913,0.4721621920766774,0.269369734144304,0.1928147124971729,47.60475590539277,0.45084095001220703,58.85404848958713,51.562,54.34695311028525,58.85404848958713,9.57897119452371,15.590537544516469,0,2,8,4,vlm_4090_1783047106
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,0.9310313289428596,0.9310313289428596,0.00832694062669761,0.24663178254547535,0.0022058207345660775,747.4574672578941,0.45168447494506836,52.61778855546366,51.562,51.17965642615109,52.61778855546366,13.557578034220288,13.93854168126642,0,3,8,4,vlm_4090_1783047106
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.3444955520986113,1.3444955520986113,0.07794518153890967,0.4186635119172279,0.0,804.8139828053197,0.45084095001220703,70.15124261655323,51.562,70.15124261655323,62.73137199481357,21.84444980376519,21.087600715632174,0,4,8,4,vlm_4090_1783047106
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,3.0,1,2.0,1.4025912387836725,1.4025912387836725,0.9031610589618795,0.47149110676487904,0.3309826121670194,45.6364813222937,0.45168447494506836,73.22175723411874,51.562,65.83539809505774,73.22175723411874,22.13104135675607,25.863479341915653,0,5,8,4,vlm_4090_1783047107
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,3.0,1,2.0,1.5188895325069314,1.5188895325069314,0.7227520073364723,0.5893000765475445,0.28041394988435786,47.310199916086816,0.45084095001220703,70.12302567351884,51.562,51.590676339127015,70.12302567351884,20.016195296051524,27.206392244303316,0,6,8,4,vlm_4090_1783047107
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.229522042964818,1.229522042964818,2.409508801064497e-05,0.453458686625585,8.886483187475758e-06,738.0077798812289,0.45168447494506836,69.48485019424218,51.562,69.48485019424218,60.510904578642,25.626631982520856,22.316960866021866,0,7,8,4,vlm_4090_1783047107
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,2.0,1,1.0,1.4575706960842945,1.4575706960842945,0.5932562301126307,0.5375650622062386,0.2172180875195191,32.24642674211502,0.45084095001220703,75.00714006258252,51.562,75.00714006258252,66.13184023636607,27.66330169917354,24.33905954381448,0,8,8,4,vlm_4090_1783047108
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.4326866274750794,1.4326866274750794,0.08167256716378034,0.5246973961042242,0.0,780.8891265842852,0.45168447494506836,78.18152703398744,51.562,78.18152703398744,63.777219638420796,28.63267016771172,23.357334697834094,0,9,8,4,vlm_4090_1783047108
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.2542410246033686,1.2542410246033686,0.0008101434341787043,0.4593446934423411,0.0017017046231465975,770.8931762589084,0.45084095001220703,65.08359052858056,51.562,63.90053428066961,65.08359052858056,23.40249661283257,24.918878463688007,0,10,8,4,vlm_4090_1783047108
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.7941974937885532,1.7941974937885532,0.08606172544481232,0.7152852276219054,0.0,747.5059731896428,0.45168447494506836,85.10517078242425,51.562,85.10517078242425,64.33165383300427,33.92852329002391,25.646831976155365,0,11,8,4,vlm_4090_1783047108
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,2.0,1,1.0,1.3222911987535189,1.3222911987535189,0.8502340529939394,0.5271523142559453,0.35098386362788747,32.335517388931436,0.45084095001220703,70.24972805577258,51.562,69.9171476680995,70.24972805577258,27.873577495000507,28.39498764981246,0,12,8,4,vlm_4090_1783047109
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.5466151217006845,1.5466151217006845,0.08700291514070704,0.6260835694257403,0.0,722.9020981802668,0.45168447494506836,85.29467521845982,51.562,85.29467521845982,62.89458990301682,34.528043832302146,25.460289888248976,0,13,8,4,vlm_4090_1783047109
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.3875031160241342,1.3875031160241342,0.08772196518070995,0.5620325370178907,0.0,739.3718313357728,0.45084095001220703,70.34736536576264,51.562,70.34736536576264,64.85915004403441,28.495437431764554,26.46871595262907,0,14,8,4,vlm_4090_1783047109
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,2.0,1,1.0,1.1997256490578874,1.1997256490578874,1.426500538806431,0.4896024293324444,0.5821482017927337,31.582194751002206,0.45168447494506836,82.941986925313,51.562,65.87334736874563,82.941986925313,26.882605140037047,33.848237156704904,0,15,8,4,vlm_4090_1783047109
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,3.0,1,2.0,1.1481838828204198,1.1481838828204198,1.387760333371349,0.46784259685245344,0.5623394409430911,41.54698444467123,0.45084095001220703,81.5090459430923,51.562,64.76425979523347,81.5090459430923,26.389047903547276,33.08223255247946,0,16,8,4,vlm_4090_1783047110
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.3891004735941535,1.3891004735941535,0.08714167182128876,0.5637968691019343,0.0,777.4743415221886,0.45168447494506836,73.21075139794287,51.562,73.21075139794287,67.75041391839915,29.714187855658057,27.497990227245083,0,17,8,4,vlm_4090_1783047110
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.3155433690238278,1.3155433690238278,0.08623478986602276,0.5261193623947912,0.0,743.6605178257563,0.45084095001220703,71.44193078527483,51.562,71.44193078527483,64.12940848636177,28.57145112661109,25.64698686340963,0,18,8,4,vlm_4090_1783047110
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.2029611962502824,1.2029611962502824,0.006140628811251355,0.4810948787089438,0.002455794153921309,781.5490263159418,0.45168447494506836,67.47741257675237,51.562,64.10328215426763,67.47741257675237,25.636538276531585,26.985939131200322,0,19,8,4,vlm_4090_1783047111
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.3377713595939569,1.3377713595939569,0.08659476631682678,0.538033769961563,0.0,729.7262157393623,0.45084095001220703,73.69376729224818,51.562,73.69376729224818,63.190471127212405,29.638648753067184,25.414363345722034,0,20,8,4,vlm_4090_1783047111
/root/autodl-tmp/models/blip-image-captioning-base,0.25,image_text,FP16,224,16.0,1,15.0,1.2984344490175137,1.2984344490175137,0.00011336085035775766,0.5222129900171423,4.559221966192369e-05,792.9691653946138,0.45168447494506836,68.7311237493655,51.562,67.26535972599824,68.7311237493655,27.05322910499766,27.642739814515078,0,21,8,4,vlm_4090_1783047111
