model,scale_b,quant,context_len,prefill_tokens,decode_tokens,prefill_j_per_tok,decode_j_per_tok,tokens_per_sec,peak_mem_gb,gpu_power_w,seed,run_id
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT4,1024,1024,128,0.00395781,3.26634404,24.8434,2.1294,81.147,0,remote_4090_1782890172
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT4,1024,1024,128,0.00471887,3.32209463,25.2588,2.1294,83.912,1,remote_4090_1782890177
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT4,1024,1024,128,0.00322191,3.37234104,25.5185,2.1294,86.057,2,remote_4090_1782890183
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT4,2048,2048,128,0.00241126,3.76910064,25.6366,2.9326,96.627,0,remote_4090_1782890188
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT4,2048,2048,128,0.00245081,3.80268959,25.2841,2.9326,96.148,1,remote_4090_1782890193
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT4,2048,2048,128,0.00242375,3.78972279,25.4158,2.9326,96.319,2,remote_4090_1782890198
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT4,4096,4096,128,0.00246334,4.47058173,25.4923,4.5381,113.965,0,remote_4090_1782890204
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT4,4096,4096,128,0.00256388,4.36836552,25.3593,4.5381,110.779,1,remote_4090_1782890209
/root/autodl-tmp/models/Qwen3-1.7B,1.7,INT4,4096,4096,128,0.00306903,4.29545971,25.7207,4.5381,110.482,2,remote_4090_1782890214
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT4,1024,1024,128,0.0035947,4.15964,22.4932,3.4413,93.564,0,remote_4090_1782890222
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT4,1024,1024,128,0.00338106,4.42367795,22.4926,3.4413,99.5,1,remote_4090_1782890228
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT4,1024,1024,128,0.00334113,4.29883372,22.776,3.4413,97.91,2,remote_4090_1782890234
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT4,2048,2048,128,0.00418777,4.61257127,22.8747,4.0961,105.511,0,remote_4090_1782890240
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT4,2048,2048,128,0.00557845,4.66195776,22.7174,4.0961,105.908,1,remote_4090_1782890246
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT4,2048,2048,128,0.00582867,4.73168343,22.5883,4.0961,106.881,2,remote_4090_1782890252
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT4,4096,4096,128,0.00575448,5.28411602,22.8308,5.4057,120.641,0,remote_4090_1782890258
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT4,4096,4096,128,0.00500412,5.40404314,22.3498,5.4057,120.779,1,remote_4090_1782890264
/root/autodl-tmp/models/Qwen2.5-3B-Instruct,3.0,INT4,4096,4096,128,0.0080744,5.33122858,22.0295,5.4057,134.03,2,remote_4090_1782890271
/root/autodl-tmp/models/Qwen3-8B,8.0,INT4,1024,1024,128,0.01545953,6.0577001,19.9228,6.8694,120.686,0,remote_4090_1782890282
/root/autodl-tmp/models/Qwen3-8B,8.0,INT4,1024,1024,128,0.01639094,6.19430642,20.0176,6.8694,123.995,1,remote_4090_1782890289
/root/autodl-tmp/models/Qwen3-8B,8.0,INT4,1024,1024,128,0.02205085,6.13382876,20.4147,6.8694,136.257,2,remote_4090_1782890296
/root/autodl-tmp/models/Qwen3-8B,8.0,INT4,2048,2048,128,0.01540236,7.01669895,20.2066,7.739,141.784,0,remote_4090_1782890302
/root/autodl-tmp/models/Qwen3-8B,8.0,INT4,2048,2048,128,0.01576845,7.00850969,20.2326,7.739,141.801,1,remote_4090_1782890309
/root/autodl-tmp/models/Qwen3-8B,8.0,INT4,2048,2048,128,0.0169445,7.03044665,20.0345,7.739,140.852,2,remote_4090_1782890316
/root/autodl-tmp/models/Qwen3-8B,8.0,INT4,4096,4096,128,0.04796779,7.88657737,20.1668,9.4765,307.975,0,remote_4090_1782890324
/root/autodl-tmp/models/Qwen3-8B,8.0,INT4,4096,4096,128,0.0470708,7.8570395,19.8559,9.4765,301.758,1,remote_4090_1782890332
/root/autodl-tmp/models/Qwen3-8B,8.0,INT4,4096,4096,128,0.04918695,7.99527485,19.9871,9.4765,315.229,2,remote_4090_1782890340
