policy,total_value,compute_energy_j,comm_energy_j,energy_j,useful_tasks,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,mean_decision_ms,seed,contact_model,window_count,capacity_gbit,training_seed_count,training_q_states,ua_training_seed_count,ua_training_q_states,normalized_value
ActiveInf-inspired,2720.58807226576,149966.6011849066,27.13908066813318,149993.74026557474,162,138183152908.2682,20479108.207651395,99.98517973589642,1.1894509169151812,1209.5554866509997,0,0,161,1,0,98,61.92307692307692,0.3846153846153846,0.0,37.69230769230769,6.259734425174429,0.0312569222072712,1,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9499393730230004
LEO-DRL-inspired,2837.892957807092,139120.69492170666,10875.237362315504,149995.93228402216,171,138183152908.2682,8160144851.136714,94.09468905623122,1.2231146221108853,1155.3407512069348,0,0,153,0,18,89,58.84615384615385,0.0,6.923076923076923,34.23076923076923,4.06771597785928,0.0514473078790335,1,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9908983592655832
Hierarchical-RA-inspired,2720.58807226576,149966.6011849066,27.13908066813318,149993.74026557474,162,138183152908.2682,20479108.207651395,99.98517973589642,1.1894509169151812,1209.5554866509997,0,0,161,1,0,98,61.92307692307692,0.3846153846153846,0.0,37.69230769230769,6.259734425174429,0.0188426934003543,1,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9499393730230004
DRL-UA-inspired,2618.259878982863,135661.09805999996,14332.177567886214,149993.27562788618,166,138183152908.2682,10669315704.096094,92.27885926790306,1.3221965301695795,1188.5357951702129,0,0,142,9,15,94,54.61538461538461,3.4615384615384617,5.769230769230769,36.15384615384615,6.724372113751635,0.0538276922620403,1,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9142097523719857
QoS-Multihop-projected,2862.0697987695394,145389.5844398399,4600.844907729834,149990.42934756976,173,138183152908.2682,3433633138.211525,97.51515791473444,1.0715922309970818,1128.3871415974888,0,0,159,3,11,87,61.15384615384615,1.1538461538461535,4.230769230769231,33.46153846153846,9.570652430163868,0.0203557695315864,1,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.999340112495214
DelayCost-adapted,2725.979203360826,149634.43551727993,362.28564330282927,149996.72116058276,163,138183152908.2682,272668264.41469896,99.80267618832254,1.1894509169151812,1193.3892509763366,0,0,161,1,1,97,61.92307692307692,0.3846153846153846,0.3846153846153846,37.30769230769231,3.2788394171521844,0.0170250005724553,1,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.951821777692983
Heuristic-TVD,2823.716818250111,147815.87612255992,2175.2665580082767,149991.14268056818,175,138183152908.2682,1643065259.7563832,98.81095109991656,1.167008446784712,1116.6538854091802,0,0,161,8,6,85,61.92307692307692,3.076923076923077,2.3076923076923075,32.69230769230769,8.857319431696148,0.0171165377161322,1,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9859485201995648
Deadline-Energy,2903.561251656072,41657.16816810667,108273.33909069306,149930.50725879974,203,143551818802.25815,80905961019.96896,43.639891368136205,41.55167289000795,965.7298160071392,0,68,46,0,157,57,17.692307692307693,0.0,60.38461538461539,21.923076923076923,69.49274120025711,0.0142561543795566,2,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,1.0
Energy-WSRPT,2642.881614146464,146262.91683717322,3652.7943196380775,149915.7111568113,170,143551818802.25815,2735693329.757165,98.09428166596372,1.050726471318285,1168.2302091744657,0,99,153,13,4,90,58.84615384615385,5.0,1.5384615384615383,34.61538461538461,84.2888431885442,0.0175684606522106,2,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9102207203788358
ActiveInf-inspired,2617.6915159892656,149620.70362005325,361.2459539037436,149981.94957395698,160,143551818802.25815,273049641.54846346,99.80979019017197,1.1445659766542424,1222.839658654862,0,0,158,0,2,100,60.76923076923077,0.0,0.7692307692307693,38.46153846153846,18.05042604294852,0.0336957673425786,2,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9015451334103052
LEO-DRL-inspired,2607.955381357438,136542.82278757324,13411.362623756551,149954.1854113298,166,143551818802.25815,10096909999.227251,92.96636567653964,1.2645403243952729,1193.4157767972831,0,0,144,3,19,94,55.38461538461539,1.1538461538461535,7.3076923076923075,36.15384615384615,45.81458867013522,0.0506007695758643,2,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.8981919633587779
Hierarchical-RA-inspired,2617.6915159892656,149620.70362005325,361.2459539037436,149981.94957395698,160,143551818802.25815,273049641.54846346,99.80979019017197,1.1445659766542424,1222.839658654862,0,0,158,0,2,100,60.76923076923077,0.0,0.7692307692307693,38.46153846153846,18.05042604294852,0.0183596152615231,2,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9015451334103052
DRL-UA-inspired,2693.271836760829,131600.22762533327,18398.06672508688,149998.29435042015,178,143551818802.25815,13672292644.08606,90.47570921903848,1.2567783273065891,1137.4879965769485,0,0,141,13,24,82,54.23076923076923,5.0,9.23076923076923,31.53846153846154,1.7056495798134392,0.0544057688854921,2,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9275753474202404
QoS-Multihop-projected,2682.449043782181,145761.02295487988,4223.000246990015,149984.0232018699,166,143551818802.25815,3149153940.946368,97.80625981111092,1.0955850374738778,1193.4157767972831,0,0,153,2,11,94,58.84615384615385,0.7692307692307693,4.230769230769231,36.15384615384615,15.976798130027872,0.0214915404705187,2,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.923847927179846
DelayCost-adapted,2617.6915159892656,149620.70362005325,361.2459539037436,149981.94957395698,160,143551818802.25815,273049641.54846346,99.80979019017197,1.1445659766542424,1222.839658654862,0,0,158,0,2,100,60.76923076923077,0.0,0.7692307692307693,38.46153846153846,18.05042604294852,0.01653769409481,2,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9015451334103052
Heuristic-TVD,2781.847364192366,147040.0248853865,2957.820990991277,149997.84587637777,178,143551818802.25815,2232530847.9992847,98.44479097051736,1.1347646411730086,1137.4879965769485,0,0,160,15,3,82,61.53846153846154,5.769230769230769,1.1538461538461535,31.53846153846154,2.1541236220687594,0.0163599987550137,2,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9580811710466638
Deadline-Energy,2581.781982495995,42554.34514384,107437.62150596044,149991.96664980042,178,145714942829.99643,80343381846.2159,44.86263365593782,51.35318699661105,1142.470450519618,0,89,44,1,133,82,16.923076923076923,0.3846153846153846,51.15384615384615,31.53846153846154,8.033350199524733,0.0125319236898436,3,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9128918581895696
Energy-WSRPT,2828.135621251062,144946.59645434673,5024.3127992526925,149970.9092535994,182,145714942829.99643,3730962562.680802,97.43954704286324,0.9832486245364028,1120.1829462536498,0,82,158,21,3,78,60.76923076923077,8.076923076923077,1.1538461538461535,30.0,29.0907464006753,0.0173573078847346,3,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,1.0
ActiveInf-inspired,2629.271972292304,149729.75681999995,267.16542470024234,149996.9222447002,161,145714942829.99643,201811023.67262417,99.86150286322516,1.1894509169151812,1197.9814820683875,0,0,158,3,0,99,60.76923076923077,1.1538461538461535,0.0,38.07692307692308,3.0777552997754185,0.032254615619492,3,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9296838357169066
LEO-DRL-inspired,2733.631469690262,136507.7969948266,13473.295777325337,149981.09277215195,167,145714942829.99643,10067909781.6361,93.09068130824292,1.2567783273065891,1195.8791365502805,0,0,147,1,19,93,56.53846153846154,0.3846153846153846,7.3076923076923075,35.76923076923077,18.90722784801641,0.0529061549549134,3,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9665842928992936
Hierarchical-RA-inspired,2633.681594508608,149711.89551999996,281.34027276030474,149993.23579276027,161,145714942829.99643,212661599.4026015,99.8540564232656,1.1894509169151812,1200.4914056812363,0,0,158,2,1,99,60.76923076923077,0.7692307692307693,0.3846153846153846,38.07692307692308,6.764207239713016,0.0191657695373018,3,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.931243033296814
DRL-UA-inspired,2719.5154870254264,135251.13712837335,14738.081687787297,149989.21881616063,173,145714942829.99643,11006581816.98103,92.44649752234248,1.23524090363018,1155.848463758835,0,0,145,9,19,87,55.76923076923077,3.4615384615384617,7.3076923076923075,33.46153846153846,10.781183839317798,0.0560323074191378,3,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9615930249562834
QoS-Multihop-projected,2823.105969420636,143006.85363381327,6991.038048827501,149997.89168264077,170,145714942829.99643,5178460357.498522,96.44617068302998,1.054626480898245,1175.7401052514845,0,0,157,2,11,90,60.38461538461539,0.7692307692307693,4.230769230769231,34.61538461538461,2.108317359203504,0.0213773060330333,3,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9982215662528232
DelayCost-adapted,2625.4798945112248,148646.83188895998,1318.4044223826118,149965.2363113426,158,145714942829.99643,986344254.3935536,99.32310013287773,1.182931235870395,1204.443529893687,0,0,157,0,1,102,60.38461538461539,0.0,0.3846153846153846,39.23076923076923,34.7636886574187,0.0180884606939238,3,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9283429955702795
Heuristic-TVD,2821.804453513349,147422.29698015982,2561.83880874036,149984.1357889002,178,145714942829.99643,1934473850.55602,98.67242589333274,1.1445659766542424,1140.3564668126485,0,0,161,14,3,82,61.92307692307692,5.384615384615385,1.1538461538461535,31.53846153846154,15.86421109967,0.0162084622738453,3,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.997761363461448
Deadline-Energy,2770.568062751385,50209.82014431999,99788.37956766828,149998.19971198827,194,143751290598.0329,74620211451.44052,48.09075373097094,40.124460588796566,958.1077605278472,0,66,54,2,138,66,20.76923076923077,0.7692307692307693,53.07692307692308,25.384615384615383,1.800288011711757,0.011985000813953,4,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.986983299966986
Energy-WSRPT,2603.904799930005,147631.39571909333,2313.9366229409648,149945.3323420343,165,143751290598.0329,1732830657.1203668,98.79456340884909,1.1894509169151812,1095.1602975364308,0,108,152,11,2,95,58.46153846153846,4.230769230769231,0.7692307692307693,36.53846153846154,54.66765796573032,0.017197307673856,4,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9276114118209298
ActiveInf-inspired,2537.62821749033,149687.43930047995,305.88495688654154,149993.3242573665,155,143751290598.0329,230857610.88243097,99.83940484296036,1.2723023214839486,1151.9774666621788,0,0,153,2,0,105,58.84615384615385,0.7692307692307693,0.0,40.38461538461539,6.675742633500448,0.0326926917366038,4,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.904001134590677
LEO-DRL-inspired,2673.930977218504,135324.6642938666,14673.655254770209,149998.31954863682,166,143751290598.0329,10994201666.01784,92.35192837554372,1.322196530169625,1086.082644483732,0,0,140,4,22,94,53.84615384615385,1.5384615384615383,8.461538461538462,36.15384615384615,1.6804513631844529,0.049533077981323,4,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9525574394870538
Hierarchical-RA-inspired,2537.62821749033,149687.43930047995,305.88495688654154,149993.3242573665,155,143751290598.0329,230857610.88243097,99.83940484296036,1.2723023214839486,1151.9774666621788,0,0,153,2,0,105,58.84615384615385,0.7692307692307693,0.0,40.38461538461539,6.675742633500448,0.0185019232538672,4,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.904001134590677
DRL-UA-inspired,2657.336115796123,140676.69414058657,9310.677829822404,149987.37197040897,170,143751290598.0329,6969342779.512117,95.15180507213653,1.2567783273066198,1069.4949094133729,0,0,147,14,9,90,56.53846153846154,5.384615384615385,3.4615384615384617,34.61538461538461,12.628029590951089,0.0556457687008122,4,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9466457092143492
QoS-Multihop-projected,2573.9731601573926,145590.49842757336,4406.263019370037,149996.7614469434,159,143751290598.0329,3285385845.1254745,97.71453471377012,1.2567783273066502,1142.0716864664444,0,0,149,1,9,101,57.30769230769231,0.3846153846153846,3.4615384615384617,38.84615384615385,3.2385530566616296,0.0214453852654864,4,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9169486062420412
DelayCost-adapted,2537.62821749033,149687.43930047995,305.88495688654154,149993.3242573665,155,143751290598.0329,230857610.88243097,99.83940484296036,1.2723023214839486,1151.9774666621788,0,0,153,2,0,105,58.84615384615385,0.7692307692307693,0.0,40.38461538461539,6.675742633500448,0.0176123079234877,4,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.904001134590677
Heuristic-TVD,2807.1073369165,144699.3400812265,5292.393684458492,149991.73376568497,181,143751290598.0329,3988812060.2878,97.22519913129577,1.1894509169151812,1014.9867539137068,0,0,155,19,7,79,59.61538461538461,7.3076923076923075,2.6923076923076925,30.384615384615383,8.266234314875561,0.0164726919208008,4,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,1.0
Deadline-Energy,2487.513265974845,47381.96536069333,102533.87922268684,149915.84458338015,184,145966253614.7567,76601375387.66095,47.52117459297674,64.35999824486541,1092.6375326410557,0,101,50,1,133,76,19.23076923076923,0.3846153846153846,51.15384615384615,29.23076923076923,84.15541661984642,0.0131142320102438,5,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9520555128982026
Energy-WSRPT,2550.681072713767,146077.16471589336,3900.350500276455,149977.51521616982,164,145966253614.7567,2935377535.1000686,97.9890026205322,1.1312448205597776,1189.0230191092965,0,97,152,5,7,96,58.46153846153846,1.9230769230769231,2.6923076923076925,36.92307692307692,22.48478383020964,0.0172823077613989,5,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9762319703531585
ActiveInf-inspired,2459.009195591816,149946.16069221337,43.71592121549493,149989.87661342887,154,145966253614.7567,33005080.82476913,99.97738855385585,1.1894509169151812,1278.044386814982,0,0,153,1,0,106,58.84615384615385,0.3846153846153846,0.0,40.76923076923077,10.12338657118086,0.0332757685100659,5,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9411460404867796
LEO-DRL-inspired,2501.2407956099937,138058.51159253335,11897.703515717272,149956.21510825062,159,145966253614.7567,8894359235.00404,93.90656469235788,1.2723023214839486,1237.4460368614352,0,0,141,2,16,101,54.23076923076923,0.7692307692307693,6.153846153846154,38.84615384615385,43.78489174937813,0.0503830766179957,5,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9573095030764196
Hierarchical-RA-inspired,2459.009195591816,149946.16069221337,43.71592121549493,149989.87661342887,154,145966253614.7567,33005080.82476913,99.97738855385585,1.1894509169151812,1278.044386814982,0,0,153,1,0,106,58.84615384615385,0.3846153846153846,0.0,40.76923076923077,10.12338657118086,0.0193961521010631,5,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9411460404867796
DRL-UA-inspired,2471.0445081605994,137530.69005717334,12459.307800236043,149989.99785740938,159,145966253614.7567,9311139106.068644,93.62103302956368,1.2567783273065891,1237.4460368614352,0,0,142,4,13,101,54.61538461538461,1.5384615384615383,5.0,38.84615384615385,10.002142590620622,0.053365000796755,5,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9457523619232496
QoS-Multihop-projected,2584.348644884726,148086.77179178668,1890.7142581141388,149977.48604990082,162,145966253614.7567,1417083871.2384114,99.0291702115076,1.1312448205597776,1192.1513332558911,0,0,154,2,6,98,59.23076923076923,0.7692307692307693,2.3076923076923075,37.69230769230769,22.51395009920779,0.020533460617746,5,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9891176896494926
DelayCost-adapted,2490.8356325025698,149403.70081280003,545.7861393908752,149949.4869521909,156,145966253614.7567,411465768.534969,99.71810897495462,1.1894509169151812,1259.71624436304,0,0,153,2,1,104,58.84615384615385,0.7692307692307693,0.3846153846153846,40.0,50.51304780913748,0.016293460122632,5,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9533270950086798
Heuristic-TVD,2612.7817467307914,147347.1353971733,2651.7334632798465,149998.86886045313,173,145966253614.7567,2001692857.5508168,98.62866052393603,1.1534971625462276,1156.2351523587322,0,0,156,15,2,87,60.0,5.769230769230769,0.7692307692307693,33.46153846153846,1.131139546829786,0.0166500000677143,5,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,1.0
Deadline-Energy,3046.945421105828,50731.14752448002,99217.28860130876,149948.43612578878,206,136511684238.74995,74196004058.9793,45.64860548550895,32.43248772732338,909.24076003929,0,67,52,2,152,54,20.0,0.7692307692307693,58.46153846153846,20.76923076923077,51.56387421125552,0.0139642310946678,6,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,1.0
Energy-WSRPT,2609.426096124581,147222.32595151992,2743.341662225041,149965.66761374497,161,136511684238.74995,2025801010.549805,98.51602372218424,1.1894509169151812,1156.409678953666,0,104,146,13,2,99,56.15384615384615,5.0,0.7692307692307693,38.07692307692308,34.33238625491316,0.0164073079269236,6,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.8564072326499179
ActiveInf-inspired,2562.18529849745,148255.0004552533,1696.1727215863764,149951.17317683966,152,136511684238.74995,1282061013.0815427,99.0608415534312,1.2723023214839486,1196.1916795279335,0,0,148,2,2,108,56.92307692307692,0.7692307692307693,0.7692307692307693,41.53846153846154,48.826823160292975,0.032120383828162,6,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.8409029189526985
LEO-DRL-inspired,2662.769607121161,136824.03577930664,13152.867123426176,149976.9029027328,159,136511684238.74995,9854644309.9147,92.78109828849551,1.32219653016964,1161.7023301834097,0,0,138,2,19,101,53.07692307692308,0.7692307692307693,7.3076923076923075,38.84615384615385,23.09709726715788,0.0509507696663674,6,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.8739144418788972
Hierarchical-RA-inspired,2562.18529849745,148255.0004552533,1696.1727215863764,149951.17317683966,152,136511684238.74995,1282061013.0815427,99.0608415534312,1.2723023214839486,1196.1916795279335,0,0,148,2,2,108,56.92307692307692,0.7692307692307693,0.7692307692307693,41.53846153846154,48.826823160292975,0.0197123071232524,6,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.8409029189526985
DRL-UA-inspired,2571.705709527072,144219.8425925866,5779.13349346116,149998.97608604774,156,136511684238.74995,4330794811.036411,96.82752810853748,1.2723023214839486,1176.3352012359733,0,0,143,7,6,104,55.0,2.6923076923076925,2.3076923076923075,40.0,1.0239139521713412,0.052497306807289,6,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.8440274944582772
QoS-Multihop-projected,2616.929163328449,146092.8718463999,3902.317289678835,149995.18913607876,155,136511684238.74995,2873996864.582206,97.8946880037347,1.2567783273066502,1181.321316531294,0,0,146,2,7,105,56.15384615384615,0.7692307692307693,2.6923076923076925,40.38461538461539,4.810863921167879,0.0197973081062977,6,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.8588697208690685
DelayCost-adapted,2562.18529849745,148255.0004552533,1696.1727215863764,149951.17317683966,152,136511684238.74995,1282061013.0815427,99.0608415534312,1.2723023214839486,1196.1916795279335,0,0,148,2,2,108,56.92307692307692,0.7692307692307693,0.7692307692307693,41.53846153846154,48.826823160292975,0.0164076920974856,6,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.8409029189526985
Heuristic-TVD,2846.5225204461417,145473.7001985598,4483.3687830605695,149957.06898162037,178,136511684238.74995,3383611254.473733,97.52137608341567,1.1894509169151812,1031.1814921633395,0,0,156,17,5,82,60.0,6.538461538461538,1.9230769230769231,31.53846153846154,42.93101837942811,0.016682693184031,6,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.934221696499261
Deadline-Energy,2794.209796535708,60580.89357221332,89382.8580613783,149963.7516335916,196,139247165035.33093,66866606102.876175,51.97991565148904,40.49985340630485,991.3905012596032,0,85,60,3,133,64,23.07692307692308,1.1538461538461535,51.15384615384615,24.615384615384617,36.24836640833669,0.0139973071502306,7,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9866048324745398
Energy-WSRPT,2749.543169230333,147009.6083932265,2884.183715355264,149893.79210858175,170,139247165035.33093,2161208844.970721,98.447933324587,1.1445659766542424,1183.9628402800215,0,98,155,13,2,90,59.61538461538461,5.0,0.7692307692307693,34.61538461538461,106.20789141807325,0.0158876920557724,7,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.97083353627321
ActiveInf-inspired,2698.786756261994,149668.00462789318,331.36223720395884,149999.36686509714,159,139247165035.33093,250478615.46428496,99.82011941471072,1.2567783273065891,1236.2702712357843,0,0,156,3,0,101,60.0,1.1538461538461535,0.0,38.84615384615385,0.6331349027408848,0.032339230864846,7,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9529120035465972
LEO-DRL-inspired,2667.1522007200847,140082.9280384532,9879.589306567485,149962.51734502066,158,139247165035.33093,7374503325.870926,94.7040190556125,1.362633859441136,1236.2702712357843,0,0,144,3,11,102,55.38461538461539,1.1538461538461535,4.230769230769231,39.23076923076923,37.48265497926016,0.047243077670618,7,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9417421889501674
Hierarchical-RA-inspired,2698.786756261994,149668.00462789318,331.36223720395884,149999.36686509714,159,139247165035.33093,250478615.46428496,99.82011941471072,1.2567783273065891,1236.2702712357843,0,0,156,3,0,101,60.0,1.1538461538461535,0.0,38.84615384615385,0.6331349027408848,0.0181738461833447,7,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9529120035465972
DRL-UA-inspired,2725.267470115793,140781.06681914648,9180.426341732553,149961.49316087904,165,139247165035.33093,6788461995.365441,95.1248831574826,1.2567783273065891,1206.484452759919,0,0,150,7,8,95,57.69230769230769,2.6923076923076925,3.076923076923077,36.53846153846154,38.506839120822406,0.0517096149941118,7,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.962262053169902
QoS-Multihop-projected,2759.7293449895424,146416.8906315732,3573.101636887769,149989.99226846095,162,139247165035.33093,2671159354.103492,98.08171365397224,1.1894509169151812,1212.8617595518194,0,0,155,2,5,98,59.61538461538461,0.7692307692307693,1.9230769230769231,37.69230769230769,10.007731538898916,0.0207173082834252,7,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,10,694,0.9744301632125796
