policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,hardware_profile,throughput_scale,energy_scale,profile_source,normalized_value
All-On-Board,824.2465637510132,149762.26206403202,58,2582.1079666212418,143551818802.25815,0.0,100.0,1154.2191784824902,1789.9992768593409,0,202,58,0,0,202,22.307692307692307,0.0,0.0,77.6923076923077,237.7379359680067,237.7379359680067,0.0,0.0004346152239192,,,,,2,OrinAGX-literature,0.2,2.7,literature-derived,0.2470121382652625
Fixed-Threshold,2597.5777313318376,149995.87533471998,253,592.869072469249,143551818802.25815,76307708443.1583,46.84309186756335,25.841711931575645,754.0107986472566,0,0,59,59,142,0,22.692307692307693,22.692307692307693,54.61538461538461,0.0,4.124665280076272,4.124665280076272,0.0,0.0013680755868195,,,,,2,OrinAGX-literature,0.2,2.7,literature-derived,0.7784481706621106
Deadline-Energy,3336.866639589458,149765.14808278385,253,591.9571070465765,143551818802.25815,100349432288.78314,30.09532507072311,21.432776717232688,738.0032198858066,0,0,56,16,188,0,21.53846153846154,6.153846153846154,72.3076923076923,0.0,234.85191721597045,234.85191721597045,0.0,0.0104169228087322,,,,,2,OrinAGX-literature,0.2,2.7,literature-derived,1.0
Priority-Aware,3119.211672466509,149572.1979695679,253,591.1944583777388,143551818802.25815,83809330074.2382,41.61736801838428,27.203475593986774,753.8664932918881,0,0,60,29,171,0,23.07692307692308,11.153846153846152,65.76923076923077,0.0,427.802030431989,427.802030431989,0.0,0.00167615261699,,,,,2,OrinAGX-literature,0.2,2.7,literature-derived,0.9347726503239197
Heuristic-TVD,3073.950406791305,149811.58058224004,253,592.1406347124113,143551818802.25815,91442202025.35844,36.3002135477506,19.307995678393677,754.0107986472566,0,0,66,5,189,0,25.384615384615383,1.9230769230769231,72.6923076923077,0.0,188.41941775996384,188.41941775996384,0.0,0.0144219214025025,,,,,2,OrinAGX-literature,0.2,2.7,literature-derived,0.9212086483532648
All-Downlink,2523.31517969433,0.0,255,0.0,145714942829.99643,141823142641.82233,2.670831221966452,40.63458383971189,79.65998313243796,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003653833678422,,,,,3,OrinAGX-literature,0.2,2.7,literature-derived,0.7562834061797975
All-On-Board,770.3543271741439,149459.306157216,55,2717.4419301312,145714942829.99643,0.0,100.0,1156.6065958285865,1730.7463326566024,0,205,55,0,0,205,21.153846153846157,0.0,0.0,78.84615384615384,540.6938427839682,540.6938427839682,0.0,0.0004484614831968,,,,,3,OrinAGX-literature,0.2,2.7,literature-derived,0.2308891886392026
Fixed-Threshold,2604.924505597199,149992.1137973757,255,588.2043678328458,145714942829.99643,88304702827.88208,39.39900664072186,26.921611133598525,79.65047961672413,0,0,49,66,145,0,18.846153846153847,25.384615384615383,55.76923076923077,0.0,7.886202623937095,7.886202623937095,0.0,0.0013911549243717,,,,,3,OrinAGX-literature,0.2,2.7,literature-derived,0.7807432039357544
Deadline-Energy,3336.4677303186013,149999.14584595192,255,588.2319444939291,145714942829.99643,110981222456.24066,23.83675942849533,21.056641569365155,79.38816423033008,0,0,56,6,198,0,21.53846153846154,2.3076923076923075,76.15384615384616,0.0,0.8541540479423588,0.8541540479423588,0.0,0.0111596162941378,,,,,3,OrinAGX-literature,0.2,2.7,literature-derived,1.0
Priority-Aware,3079.525201438201,149714.74027577575,255,587.1166285324539,145714942829.99643,99173908996.2753,31.93978114380479,23.861407537092266,79.38816423033008,0,0,56,37,167,0,21.53846153846154,14.23076923076923,64.23076923076923,0.0,285.2597242239267,285.2597242239267,0.0,0.0022407689427312,,,,,3,OrinAGX-literature,0.2,2.7,literature-derived,0.9229896556332452
Heuristic-TVD,3143.967280018152,148649.49519110407,255,582.9391968278591,145714942829.99643,103310293923.51273,29.10109840687829,20.560191933457887,78.9210614943185,0,0,66,6,188,0,25.384615384615383,2.3076923076923075,72.3076923076923,0.0,1350.504808895947,1350.504808895947,0.0,0.0148976928008218,,,,,3,OrinAGX-literature,0.2,2.7,literature-derived,0.9423041174499632
All-Downlink,2449.820990927939,0.0,259,0.0,143751290598.0329,136549823818.19585,5.009671043562514,36.22262312100996,726.9090733329451,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003819230746907,,,,,4,OrinAGX-literature,0.2,2.7,literature-derived,0.7265646097792657
All-On-Board,804.6765890512554,149899.54894272,55,2725.44634441309,143751290598.0329,0.0,100.0,1050.1966237831866,1689.1629226988257,0,205,55,0,0,205,21.153846153846157,0.0,0.0,78.84615384615384,100.45105727997316,100.45105727997316,0.0,0.000406152573235,,,,,4,OrinAGX-literature,0.2,2.7,literature-derived,0.2386498989467322
Fixed-Threshold,2156.406847175569,149988.1816532153,259,579.1049484680127,143751290598.0329,63502042217.29506,55.82506288944301,24.93594509410405,726.9090733329451,0,0,56,108,96,0,21.53846153846154,41.53846153846154,36.92307692307692,0.0,11.818346783854338,11.818346783854338,0.0,0.0013696150675129,,,,,4,OrinAGX-literature,0.2,2.7,literature-derived,0.6395442382302374
Deadline-Energy,3371.7868417403483,149376.88895119986,259,576.7447449853277,143751290598.0329,97334725231.4237,32.28949470540917,16.95631204424277,726.8310659363178,0,0,61,19,180,0,23.46153846153846,7.3076923076923075,69.23076923076923,0.0,623.1110487999249,623.1110487999249,0.0,0.0102257701935461,,,,,4,OrinAGX-literature,0.2,2.7,literature-derived,1.0
Priority-Aware,3021.959357160965,149993.3360013759,259,579.1248494261617,143751290598.0329,90206925232.46498,37.24791975279881,23.08749731121897,726.9090733329451,0,0,60,26,174,0,23.07692307692308,10.0,66.92307692307692,0.0,6.663998623908725,6.663998623908725,0.0,0.0015561528226289,,,,,4,OrinAGX-literature,0.2,2.7,literature-derived,0.8962486358126898
Heuristic-TVD,3088.621669126095,149018.07892560007,259,575.35937809112,143751290598.0329,89267946356.51161,37.90111658466518,16.33958672847657,726.9090733329451,0,0,75,3,182,0,28.846153846153847,1.1538461538461535,70.0,0.0,981.9210743999148,981.9210743999148,0.0,0.0142092313930893,,,,,4,OrinAGX-literature,0.2,2.7,literature-derived,0.9160192545065816
All-Downlink,2624.331765094832,0.0,259,0.0,145966253614.7567,142154292336.35153,2.611536011923654,32.73609921005294,77.76358537846562,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.000348845787812,,,,,5,OrinAGX-literature,0.2,2.7,literature-derived,0.748864215573725
All-On-Board,846.1339172568303,149834.71287964805,60,2497.2452146608007,145966253614.7567,0.0,100.0,1137.322202469303,1784.3139256615812,0,200,60,0,0,200,23.07692307692308,0.0,0.0,76.92307692307692,165.2871203519926,165.2871203519926,0.0,0.0004276919823426,,,,,5,OrinAGX-literature,0.2,2.7,literature-derived,0.2414479070994906
Fixed-Threshold,2521.088540549596,149999.0160304319,259,579.1467800402776,145966253614.7567,79903049810.82887,45.25923093038065,22.099438246179098,77.03007526323344,0,0,59,75,126,0,22.692307692307693,28.846153846153847,48.46153846153846,0.0,0.9839695680461488,0.9839695680461488,0.0,0.0012784627660249,,,,,5,OrinAGX-literature,0.2,2.7,literature-derived,0.7194033229416624
Deadline-Energy,3504.416035000765,146991.59098691202,260,565.3522730265847,145966253614.7567,115042162606.88376,21.185781125471483,16.206098970559488,71.52175526324095,0,0,58,2,200,0,22.307692307692307,0.7692307692307693,76.92307692307692,0.0,3008.40901308794,3008.40901308794,0.0,0.0107015390172958,,,,,5,OrinAGX-literature,0.2,2.7,literature-derived,1.0
Priority-Aware,2987.345133843095,149795.88815974374,259,578.3625025472732,145966253614.7567,101279501165.09184,30.61444090193953,22.585919844560884,75.64213874690826,0,0,57,37,166,0,21.923076923076923,14.23076923076923,63.84615384615385,0.0,204.1118402559758,204.1118402559758,0.0,0.0015688451150288,,,,,5,OrinAGX-literature,0.2,2.7,literature-derived,0.8524516221837349
Heuristic-TVD,3209.6216503670703,149900.0134325121,259,578.7645306274597,145966253614.7567,100052773728.87672,31.45485942734252,14.768463473285616,71.68310765675585,0,0,71,10,179,0,27.307692307692307,3.8461538461538463,68.84615384615384,0.0,99.98656748797156,99.98656748797156,0.0,0.0148692313814535,,,,,5,OrinAGX-literature,0.2,2.7,literature-derived,0.9158791702556428
All-Downlink,2656.6870243738504,0.0,257,0.0,136511684238.74995,125544697380.47523,8.033734928575198,35.892371621477345,112.48918967135168,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003557697010154,,,,,6,OrinAGX-literature,0.2,2.7,literature-derived,0.7576928752892955
All-On-Board,782.8526942688609,149361.00074352,55,2715.6545589730918,136511684238.74995,0.0,100.0,1057.269044962327,1786.1673172425587,0,205,55,0,0,205,21.153846153846157,0.0,0.0,78.84615384615384,638.999256479975,638.999256479975,0.0,0.0005869236282216,,,,,6,OrinAGX-literature,0.2,2.7,literature-derived,0.2232712786288201
Fixed-Threshold,2300.112182671599,149982.39442790343,257,583.5890833770561,136511684238.74995,56068149294.96831,58.92794847003074,23.21569529746981,112.35174409505872,0,0,58,114,88,0,22.307692307692307,43.84615384615385,33.84615384615385,0.0,17.60557209598295,17.60557209598295,0.0,0.0011853842387119,,,,,6,OrinAGX-literature,0.2,2.7,literature-derived,0.6559969605705186
Deadline-Energy,3506.2848167332945,149183.64674630403,258,578.231188939163,136511684238.74995,94917012113.92496,30.46967910239732,16.20934339687495,76.09460045137142,0,0,61,6,193,0,23.46153846153846,2.3076923076923075,74.23076923076923,0.0,816.3532536959656,816.3532536959656,0.0,0.010221923114911,,,,,6,OrinAGX-literature,0.2,2.7,literature-derived,1.0
Priority-Aware,3073.347622973227,149507.17168550377,257,581.7399676478746,136511684238.74995,82787529499.12334,39.35498638026223,25.933230020658264,112.48918967135168,0,0,58,36,166,0,22.307692307692307,13.846153846153848,63.84615384615385,0.0,492.8283144959171,492.8283144959171,0.0,0.0015338455201484,,,,,6,OrinAGX-literature,0.2,2.7,literature-derived,0.8765253776036874
Heuristic-TVD,3193.075136076504,149048.17868985602,257,579.9540026842647,136511684238.74995,85167819458.37755,37.61133346694,15.496189356869944,77.97047621988175,0,0,69,6,185,0,26.53846153846154,2.3076923076923075,71.15384615384616,0.0,951.821310143916,951.821310143916,0.0,0.0147434617527044,,,,,6,OrinAGX-literature,0.2,2.7,literature-derived,0.9106719228392292
All-Downlink,2565.0205224621127,0.0,254,0.0,139247165035.33093,133818130750.98093,3.8988472641238494,34.17696786011753,78.97394509599184,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003534609836956,,,,,7,OrinAGX-literature,0.2,2.7,literature-derived,0.7571549145384107
All-On-Board,906.9703157248128,149912.76067257603,61,2457.586240534033,139247165035.33093,0.0,100.0,1091.1323767846343,1727.7945633933275,0,199,61,0,0,199,23.46153846153846,0.0,0.0,76.53846153846153,87.23932742391435,87.23932742391435,0.0,0.0004119231911877,,,,,7,OrinAGX-literature,0.2,2.7,literature-derived,0.2677237963119023
Fixed-Threshold,2263.389072554884,149998.33226121523,254,590.5446152016348,139247165035.33093,63252404208.85724,54.57544561657085,19.68429965422701,77.49006868188853,0,0,55,123,82,0,21.153846153846157,47.30769230769231,31.53846153846154,0.0,1.6677387839062874,1.6677387839062874,0.0,0.0012757688707027,,,,,7,OrinAGX-literature,0.2,2.7,literature-derived,0.6681179135956713
Deadline-Energy,3387.7090053966604,149986.804727776,254,590.4992312117165,139247165035.33093,101877437286.58598,26.83697563197297,15.435247326070629,78.97394509599184,0,0,55,5,200,0,21.153846153846157,1.9230769230769231,76.92307692307692,0.0,13.195272223965162,13.195272223965162,0.0,0.0093907690965212,,,,,7,OrinAGX-literature,0.2,2.7,literature-derived,1.0
Priority-Aware,3051.182889229955,149987.4839763199,254,590.5019054185823,139247165035.33093,98960063857.1495,28.9320799945618,21.02659528829636,78.97394509599184,0,0,54,19,187,0,20.76923076923077,7.3076923076923075,71.92307692307692,0.0,12.51602367996719,12.51602367996719,0.0,0.0015746158449194,,,,,7,OrinAGX-literature,0.2,2.7,literature-derived,0.9006626260901939
Heuristic-TVD,3110.928292830808,149447.33303971204,255,586.0679727047531,139247165035.33093,104310654669.0642,25.08956671211393,16.332523612474503,77.0454867734833,0,0,64,3,193,0,24.615384615384617,1.1538461538461535,74.23076923076923,0.0,552.6669602879456,552.6669602879456,0.0,0.0138619230710901,,,,,7,OrinAGX-literature,0.2,2.7,literature-derived,0.918298557483852
All-Downlink,2533.5936614346742,0.0,256,0.0,147675122448.8456,136992547483.91032,7.233835183468839,31.06743035179552,79.44232709372092,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0003438463094286,,,,,8,OrinAGX-literature,0.2,2.7,literature-derived,0.7694018215778448
All-On-Board,743.448886649423,149184.52838438406,57,2617.272427796212,147675122448.8456,0.0,100.0,1127.0364380994165,1780.889852833476,0,203,57,0,0,203,21.923076923076923,0.0,0.0,78.07692307692308,815.4716156159242,815.4716156159242,0.0,0.0004126918681252,,,,,8,OrinAGX-literature,0.2,2.7,literature-derived,0.2257705867933769
Fixed-Threshold,2474.118904021785,149985.85483881593,256,585.8822454641247,147675122448.8456,78161862493.72777,47.07174695534592,21.570088240247443,79.4157147396965,0,0,55,84,121,0,21.153846153846157,32.30769230769231,46.53846153846154,0.0,14.145161184137066,14.145161184137066,0.0,0.0013711537646416,,,,,8,OrinAGX-literature,0.2,2.7,literature-derived,0.7513405249350891
Deadline-Energy,3292.939515322341,149948.1459188798,256,585.7349449956242,147675122448.8456,109058357948.78745,26.14981038084797,18.735129061470683,79.33171732849058,0,0,53,20,187,0,20.384615384615383,7.6923076923076925,71.92307692307692,0.0,51.85408111996264,51.85408111996264,0.0,0.010118076730018,,,,,8,OrinAGX-literature,0.2,2.7,literature-derived,1.0
Priority-Aware,2988.683696392272,149888.7641432957,256,585.5029849347488,147675122448.8456,95475229829.91356,35.347790307073545,22.076987439100776,79.33171732849058,0,0,56,37,167,0,21.53846153846154,14.23076923076923,64.23076923076923,0.0,111.23585670393804,111.23585670393804,0.0,0.0015799998296782,,,,,8,OrinAGX-literature,0.2,2.7,literature-derived,0.9076035810817844
Heuristic-TVD,3083.9864444439977,149529.5600008,256,584.099843753125,147675122448.8456,99908569546.75024,32.345700555380695,16.631873519340722,79.33171732849058,0,0,64,5,191,0,24.615384615384617,1.9230769230769231,73.46153846153847,0.0,470.4399991999394,470.4399991999394,0.0,0.0153738451235067,,,,,8,OrinAGX-literature,0.2,2.7,literature-derived,0.9365451233142712
All-Downlink,2555.748586379738,0.0,256,0.0,145047080871.27374,138274748222.04004,4.669058217892719,37.4960716972247,80.08159020947357,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0004157697101338,,,,,9,OrinAGX-literature,0.2,2.7,literature-derived,0.705985851949116
All-On-Board,1012.0848195156592,149913.13168310412,65,2306.355872047756,145047080871.27374,0.0,100.0,1037.6574751683438,1694.664208835611,0,195,65,0,0,195,25.0,0.0,0.0,75.0,86.86831689593282,86.86831689593282,0.0,0.000439230307865,,,,,9,OrinAGX-literature,0.2,2.7,literature-derived,0.2795727120258947
Fixed-Threshold,2397.036233448363,149990.97830908737,256,585.9022590198725,145047080871.27374,60469652107.83552,58.31032810546455,20.854876856856198,80.06785752733217,0,0,64,105,91,0,24.615384615384617,40.38461538461539,35.0,0.0,9.02169091192576,9.02169091192576,0.0,0.0012473075632722,,,,,9,OrinAGX-literature,0.2,2.7,literature-derived,0.6621440295193814
Deadline-Energy,3620.113036718396,149570.52809846392,258,579.7307290638137,145047080871.27374,102072848551.6437,29.62778158753072,15.116348021824038,77.33863677693337,0,0,63,9,188,0,24.23076923076923,3.4615384615384617,72.3076923076923,0.0,429.4719015359069,429.4719015359069,0.0,0.0096069223498209,,,,,9,OrinAGX-literature,0.2,2.7,literature-derived,1.0
Priority-Aware,3170.0815252136795,149858.09939251174,256,585.383200751999,145047080871.27374,93039620145.1932,35.85557214504447,21.204891082356184,80.06785752733217,0,0,61,33,166,0,23.46153846153846,12.692307692307692,63.84615384615385,0.0,141.90060748792686,141.90060748792686,0.0,0.0014680753408286,,,,,9,OrinAGX-literature,0.2,2.7,literature-derived,0.8756857846868047
Heuristic-TVD,3238.1564592866434,149120.35550377605,256,582.5013886866252,145047080871.27374,92720810693.35088,36.07536936531756,17.544904609645954,79.80025844459772,0,0,73,5,182,0,28.07692307692308,1.9230769230769231,70.0,0.0,879.6444962238579,879.6444962238579,0.0,0.014199615711382,,,,,9,OrinAGX-literature,0.2,2.7,literature-derived,0.8944904279071925
