policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,hardware_profile,throughput_scale,energy_scale,profile_source,normalized_value
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258743,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.0148346157332595,,,,,2,RTX4090-measured,1.0,1.0,measured,1.0
All-Downlink,2523.31517969433,0.0,255,0.0,145714942829.99643,141823142641.82233,2.670831221966452,40.63458383971189,79.65998313243796,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0004230766745212,,,,,3,RTX4090-measured,1.0,1.0,measured,0.6330957870596586
All-On-Board,2622.849838318015,149676.17291999998,158,947.3175501265822,145714942829.99643,0.0,100.0,1.1894509169151812,1204.443529893687,0,102,158,0,0,102,60.76923076923077,0.0,0.0,39.23076923076923,323.82708000001776,323.82708000001776,0.0,0.0004476919107568,,,,,3,RTX4090-measured,1.0,1.0,measured,0.6580688754586711
Fixed-Threshold,3266.09456742782,110267.08696949344,257,429.0548131108695,145714942829.99643,53173078967.439766,63.50883585805194,4.809570752939726,78.33749969722065,0,0,109,78,73,0,41.92307692307692,30.0,28.07692307692308,0.0,39732.91303050664,39732.91303050664,0.0,0.0013365371090073,,,,,3,RTX4090-measured,1.0,1.0,measured,0.8194579604706674
Deadline-Energy,3844.9481927810575,71697.5270752,260,275.75971952000003,145714942829.99643,109056964346.36604,25.15732276435008,15.42668608128982,77.05464053457004,0,0,73,0,187,0,28.07692307692308,0.0,71.92307692307692,0.0,78302.47292479995,78302.47292479995,0.0,0.0107561543700285,,,,,3,RTX4090-measured,1.0,1.0,measured,0.9646914194077068
Priority-Aware,3776.5955203922576,77461.86944597335,260,297.9302670998975,145714942829.99643,96411603040.62616,33.83547276060204,16.769847643845956,78.1803292091174,0,0,81,12,167,0,31.153846153846157,4.615384615384615,64.23076923076923,0.0,72538.1305540266,72538.1305540266,0.0,0.0016199999103824,,,,,3,RTX4090-measured,1.0,1.0,measured,0.9475418420295608
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.0159042315387453,,,,,3,RTX4090-measured,1.0,1.0,measured,1.0
All-Downlink,2449.820990927939,0.0,259,0.0,143751290598.0329,136549823818.19585,5.009671043562514,36.22262312100996,726.9090733329451,0,0,0,0,260,0,0.0,0.0,100.0,0.0,150000.0,150000.0,0.0,0.0004065387586776,,,,,4,RTX4090-measured,1.0,1.0,measured,0.6203201779026885
All-On-Board,2530.153665705577,149651.71670047997,153,978.1157954279736,143751290598.0329,0.0,100.0,1.2723023214839486,1154.2811964640389,0,107,153,0,0,107,58.84615384615385,0.0,0.0,41.15384615384615,348.283299520042,348.283299520042,0.0,0.0004580769410285,,,,,4,RTX4090-measured,1.0,1.0,measured,0.6406612474314413
Fixed-Threshold,3255.128278524884,109474.61568725343,260,421.05621418174405,143751290598.0329,48784444087.37444,66.06330010365696,7.165397066344303,78.25919961500782,0,0,110,78,72,0,42.30769230769231,30.0,27.692307692307693,0.0,40525.38431274676,40525.38431274676,0.0,0.0012803840665863,,,,,4,RTX4090-measured,1.0,1.0,measured,0.8242323664904962
