policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,variant,allow_pre,split_energy,normalized_value
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.014232307036693852,,,,,0,Full profile,True,True,0.9034164970637761
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.01344769284164963,,,,,1,Full profile,True,True,0.9115964198533839
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076924,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.014801922952756286,,,,,2,Full profile,True,True,0.896550364849148
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846153,0.0,78.66936704002819,78.66936704002819,0.0,0.01452000131114171,,,,,3,Full profile,True,True,0.9143687121422718
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.8285196627825,0,0,167,0,93,0,64.23076923076924,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.015085769476942144,,,,,4,Full profile,True,True,0.9032589567688271
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615384,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.01429038473781055,,,,,5,Full profile,True,True,0.9223894510994385
Heuristic-TVD,3955.5243328804604,149715.49098826657,257,582.550548592477,136511684238.74997,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615384,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.014850768918852108,,,,,6,Full profile,True,True,0.9144901114907444
Heuristic-TVD,4106.0933977159775,149688.3898704532,258,580.1875576374155,139247165035.33093,47359515028.27628,65.98888385536623,1.0218073941260437,59.41933453479224,0,0,169,1,90,0,65.0,0.38461538461538464,34.61538461538461,0.0,311.6101295466981,311.6101295466981,0.0,0.013520385031230174,,,,,7,Full profile,True,True,0.925635420158274
Heuristic-TVD,3837.9870690586226,149719.9602573866,257,582.567938744695,147675122448.8456,61385932170.2414,58.43177161305191,1.1445659766542424,75.53968085804092,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,280.0397426132629,280.0397426132629,0.0,0.013660768924567562,,,,,8,Full profile,True,True,0.8962884037903756
Heuristic-TVD,4021.416388909796,149539.87916986653,257,581.8672341239943,145047080871.27374,40555041023.97266,72.04008465364124,0.9832486245364028,70.43976702267629,0,0,172,1,87,0,66.15384615384615,0.38461538461538464,33.46153846153846,0.0,460.12083013330334,460.12083013330334,0.0,0.013315767976634491,,,,,9,Full profile,True,True,0.9062291112083256
Heuristic-TVD,3707.687173587154,149988.27086005345,255,588.1892974904057,141896346105.7374,46748126961.900055,67.05473520293145,1.144565976654216,727.6005784624597,0,1,158,0,102,0,60.76923076923077,0.0,39.23076923076923,0.0,11.729139946674024,11.729139946674024,0.0,0.013174616525737712,,,,,0,Merged prefill/decode cost,True,False,0.8627411137639172
