policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,variant,charge_power_w,normalized_value
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.01403230741673794,,,,,0,static-budget,0.0,0.9030680605312503
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.014699998987802805,,,,,1,static-budget,0.0,0.9113023397857092
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.013960000852910945,,,,,2,static-budget,0.0,0.8963588160206394
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.01416923131238526,,,,,3,static-budget,0.0,0.9135757410486849
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.01639499946927222,,,,,4,static-budget,0.0,0.9027511018689804
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.013855769625829103,,,,,5,static-budget,0.0,0.9218373205774553
Heuristic-TVD,3955.5243328804604,149715.49098826657,257,582.550548592477,136511684238.74997,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.014344999530854134,,,,,6,static-budget,0.0,0.9138565446602256
Heuristic-TVD,4106.0933977159775,149688.3898704532,258,580.1875576374155,139247165035.33093,47359515028.27628,65.98888385536623,1.0218073941260437,59.41933453479224,0,0,169,1,90,0,65.0,0.38461538461538464,34.61538461538461,0.0,311.6101295466981,311.6101295466981,0.0,0.013926538388029886,,,,,7,static-budget,0.0,0.9250870405254099
Heuristic-TVD,3837.9870690586226,149719.9602573866,257,582.567938744695,147675122448.8456,61385932170.2414,58.43177161305191,1.1445659766542424,75.53968085804092,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,280.0397426132629,280.0397426132629,0.0,0.014044615090824664,,,,,8,static-budget,0.0,0.8948984149685529
Heuristic-TVD,4021.416388909796,149539.87916986653,257,581.8672341239943,145047080871.27374,40555041023.97266,72.04008465364124,0.9832486245364028,70.43976702267629,0,0,172,1,87,0,66.15384615384616,0.38461538461538464,33.46153846153846,0.0,460.12083013330334,460.12083013330334,0.0,0.013783461494872777,,,,,9,static-budget,0.0,0.9054683446416483
Heuristic-TVD,4299.224500950605,242843.89985429312,260,934.0149994395889,141896346105.7374,0.0,100.0,0.6502542858624414,1.3970378431981467,0,0,260,0,0,0,100.0,0.0,0.0,0.0,141820.88005536006,139220.95632373335,92843.89985429312,0.014809613528016668,,,,,0,soc-low,20.0,1.0
Heuristic-TVD,4335.435880122071,245780.7974722132,260,945.3107595085123,138183152908.2682,0.0,100.0,0.6502542858623201,1.3752468809696377,0,0,260,0,0,0,100.0,0.0,0.0,0.0,146065.85577098667,141722.3121908267,95780.79747221319,0.014415768964681774,,,,,1,soc-low,20.0,1.0
Heuristic-TVD,4275.7636355041495,244366.35939743978,260,939.8706130670761,143551818802.25815,0.0,100.0,0.6163402390725726,1.3518660118525316,0,0,260,0,0,0,100.0,0.0,0.0,0.0,147014.01825781332,138700.80848309334,94366.35939743978,0.014244613703340292,,,,,2,soc-low,20.0,1.0
Heuristic-TVD,4362.721779479303,242886.9144479998,260,934.1804401846146,145714942829.99643,0.0,100.0,0.6502542858624414,1.3990153227836708,0,0,260,0,0,0,100.0,0.0,0.0,0.0,149206.87579744,137394.60448544,92886.91444799979,0.014593077671284286,,,,,3,soc-low,20.0,1.0
Heuristic-TVD,4374.721556184982,251147.50405343986,260,965.9519386670763,143751290598.0329,0.0,100.0,0.6713495368931035,1.3970378431981467,0,0,260,0,0,0,100.0,0.0,0.0,0.0,145014.1993982933,138591.7097135007,101147.50405343986,0.014167306205938356,,,,,4,soc-low,20.0,1.0
Heuristic-TVD,4271.034049237268,249994.23150570656,260,961.5162750219483,145966253614.7567,0.0,100.0,0.6713495368931566,1.3238063144324037,0,0,260,0,0,0,100.0,0.0,0.0,0.0,144897.42808416003,136246.04678314668,99994.23150570656,0.013670384942088276,,,,,5,soc-low,20.0,1.0
Heuristic-TVD,4328.38650222846,255724.9798171731,260,983.557614681435,136511684238.74997,0.0,100.0,0.719300551412698,1.3970378431980892,0,0,260,0,0,0,100.0,0.0,0.0,0.0,144403.38821696,140586.77108437332,105724.9798171731,0.014136922590506192,,,,,6,soc-low,20.0,1.0
Heuristic-TVD,4438.60222642822,250247.36082229303,260,962.4898493165117,139247165035.33093,0.0,100.0,0.7175219706068068,1.4816931001610218,0,0,260,0,0,0,100.0,0.0,0.0,0.0,146885.99673664,137115.0156673067,100247.36082229303,0.013321922205460187,,,,,7,soc-low,20.0,1.0
Heuristic-TVD,4288.740492621714,256892.2567851731,260,988.0471414814349,147675122448.8456,0.0,100.0,0.7143318597364062,1.397248076702805,0,0,260,0,0,0,100.0,0.0,0.0,0.0,147393.29889856002,140713.37535264,106892.25678517309,0.013717308264369002,,,,,8,soc-low,20.0,1.0
Heuristic-TVD,4441.2556360557555,237291.8097017598,260,912.66080654523,145047080871.27374,0.0,100.0,0.6713495368931566,1.4888558564640535,0,0,260,0,0,0,100.0,0.0,0.0,0.0,142475.08308469335,140136.90168181332,87291.8097017598,0.01408423133678018,,,,,9,soc-low,20.0,1.0
Heuristic-TVD,4299.224500950605,242843.89985429312,260,934.0149994395889,141896346105.7374,0.0,100.0,0.6502542858624414,1.3970378431981467,0,0,260,0,0,0,100.0,0.0,0.0,0.0,141820.88005536006,139220.95632373335,92843.89985429312,0.014186538800668832,,,,,0,soc-nominal,35.0,1.0
Heuristic-TVD,4335.435880122071,245780.7974722132,260,945.3107595085123,138183152908.2682,0.0,100.0,0.6502542858623201,1.3752468809696377,0,0,260,0,0,0,100.0,0.0,0.0,0.0,146065.85577098667,141722.3121908267,95780.79747221319,0.013678075853162087,,,,,1,soc-nominal,35.0,1.0
Heuristic-TVD,4275.7636355041495,244366.35939743978,260,939.8706130670761,143551818802.25815,0.0,100.0,0.6163402390725726,1.3518660118525316,0,0,260,0,0,0,100.0,0.0,0.0,0.0,147014.01825781332,138700.80848309334,94366.35939743978,0.014539616061553646,,,,,2,soc-nominal,35.0,1.0
Heuristic-TVD,4362.721779479303,242886.9144479998,260,934.1804401846146,145714942829.99643,0.0,100.0,0.6502542858624414,1.3990153227836708,0,0,260,0,0,0,100.0,0.0,0.0,0.0,149206.87579744,137394.60448544,92886.91444799979,0.014331923403705541,,,,,3,soc-nominal,35.0,1.0
Heuristic-TVD,4374.721556184982,251147.50405343986,260,965.9519386670763,143751290598.0329,0.0,100.0,0.6713495368931035,1.3970378431981467,0,0,260,0,0,0,100.0,0.0,0.0,0.0,145014.1993982933,138725.87515358618,101147.50405343986,0.01401499925682751,,,,,4,soc-nominal,35.0,1.0
Heuristic-TVD,4271.034049237268,249994.23150570656,260,961.5162750219483,145966253614.7567,0.0,100.0,0.6713495368931566,1.3238063144324037,0,0,260,0,0,0,100.0,0.0,0.0,0.0,144897.42808416003,136246.04678314668,99994.23150570656,0.0149230778333731,,,,,5,soc-nominal,35.0,1.0
Heuristic-TVD,4328.38650222846,255724.9798171731,260,983.557614681435,136511684238.74997,0.0,100.0,0.719300551412698,1.3970378431980892,0,0,260,0,0,0,100.0,0.0,0.0,0.0,144403.38821696,140586.77108437332,105724.9798171731,0.0147623070426142,,,,,6,soc-nominal,35.0,1.0
Heuristic-TVD,4438.60222642822,250247.36082229303,260,962.4898493165117,139247165035.33093,0.0,100.0,0.7175219706068068,1.4816931001610218,0,0,260,0,0,0,100.0,0.0,0.0,0.0,146885.99673664,137115.0156673067,100247.36082229303,0.014979999552731616,,,,,7,soc-nominal,35.0,1.0
Heuristic-TVD,4288.740492621714,256892.2567851731,260,988.0471414814349,147675122448.8456,0.0,100.0,0.7143318597364062,1.397248076702805,0,0,260,0,0,0,100.0,0.0,0.0,0.0,147393.29889856002,140713.37535264,106892.25678517309,0.013443846658516962,,,,,8,soc-nominal,35.0,1.0
Heuristic-TVD,4441.2556360557555,237291.8097017598,260,912.66080654523,145047080871.27374,0.0,100.0,0.6713495368931566,1.4888558564640535,0,0,260,0,0,0,100.0,0.0,0.0,0.0,142475.08308469335,140136.90168181332,87291.8097017598,0.013901153579354286,,,,,9,soc-nominal,35.0,1.0
Heuristic-TVD,4299.224500950605,242843.89985429312,260,934.0149994395889,141896346105.7374,0.0,100.0,0.6502542858624414,1.3970378431981467,0,0,260,0,0,0,100.0,0.0,0.0,0.0,141820.88005536006,139220.95632373335,92843.89985429312,0.013528077733308937,,,,,0,soc-high,55.0,1.0
Heuristic-TVD,4335.435880122071,245780.7974722132,260,945.3107595085123,138183152908.2682,0.0,100.0,0.6502542858623201,1.3752468809696377,0,0,260,0,0,0,100.0,0.0,0.0,0.0,146065.85577098667,141722.3121908267,95780.79747221319,0.013603846533582188,,,,,1,soc-high,55.0,1.0
Heuristic-TVD,4275.7636355041495,244366.35939743978,260,939.8706130670761,143551818802.25815,0.0,100.0,0.6163402390725726,1.3518660118525316,0,0,260,0,0,0,100.0,0.0,0.0,0.0,147014.01825781332,138700.80848309334,94366.35939743978,0.01689077079600583,,,,,2,soc-high,55.0,1.0
Heuristic-TVD,4362.721779479303,242886.9144479998,260,934.1804401846146,145714942829.99643,0.0,100.0,0.6502542858624414,1.3990153227836708,0,0,260,0,0,0,100.0,0.0,0.0,0.0,149206.87579744,137394.60448544,92886.91444799979,0.013643460764657132,,,,,3,soc-high,55.0,1.0
Heuristic-TVD,4374.721556184982,251147.50405343986,260,965.9519386670763,143751290598.0329,0.0,100.0,0.6713495368931035,1.3970378431981467,0,0,260,0,0,0,100.0,0.0,0.0,0.0,145014.1993982933,138780.94570965337,101147.50405343986,0.014055385299098607,,,,,4,soc-high,55.0,1.0
Heuristic-TVD,4271.034049237268,249994.23150570656,260,961.5162750219483,145966253614.7567,0.0,100.0,0.6713495368931566,1.3238063144324037,0,0,260,0,0,0,100.0,0.0,0.0,0.0,144897.42808416003,136246.04678314668,99994.23150570656,0.013913845983692087,,,,,5,soc-high,55.0,1.0
Heuristic-TVD,4328.38650222846,255724.9798171731,260,983.557614681435,136511684238.74997,0.0,100.0,0.719300551412698,1.3970378431980892,0,0,260,0,0,0,100.0,0.0,0.0,0.0,144403.38821696,140586.77108437332,105724.9798171731,0.0138526906644424,,,,,6,soc-high,55.0,1.0
Heuristic-TVD,4438.60222642822,250247.36082229303,260,962.4898493165117,139247165035.33093,0.0,100.0,0.7175219706068068,1.4816931001610218,0,0,260,0,0,0,100.0,0.0,0.0,0.0,146885.99673664,137115.0156673067,100247.36082229303,0.013998076610732824,,,,,7,soc-high,55.0,1.0
Heuristic-TVD,4288.740492621714,256892.2567851731,260,988.0471414814349,147675122448.8456,0.0,100.0,0.7143318597364062,1.397248076702805,0,0,260,0,0,0,100.0,0.0,0.0,0.0,147393.29889856002,140713.37535264,106892.25678517309,0.013860000763088465,,,,,8,soc-high,55.0,1.0
Heuristic-TVD,4441.2556360557555,237291.8097017598,260,912.66080654523,145047080871.27374,0.0,100.0,0.6713495368931566,1.4888558564640535,0,0,260,0,0,0,100.0,0.0,0.0,0.0,142475.08308469335,140136.90168181332,87291.8097017598,0.013106538524600463,,,,,9,soc-high,55.0,1.0
