policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,dpp_energy_queue_final,dpp_bandwidth_queue_final,seed,memory_gb,normalized_value
PBR-adapted,3787.4159042555234,149818.63940042653,254,589.8371629938052,143551818802.25815,41837655427.14461,70.85536374514645,0.6502542858623808,73.63578717455745,0,0,177,4,79,0,68.07692307692308,1.5384615384615385,30.384615384615383,0.0,181.36059957329326,181.36059957329326,0.0,5.860495001700026,,,,,,,2,6.0,0.9886378533939547
Heuristic-TVD,3827.812031656154,149640.38508559996,258,580.0014925798448,143551818802.25815,41294813465.76511,71.23351427358193,0.6502542858624414,62.06696302154933,0,0,181,9,70,0,69.61538461538461,3.4615384615384617,26.923076923076923,0.0,359.61491439997053,359.61491439997053,0.0,0.017801153948172353,,,,,,,2,6.0,0.9991825471081874
ActiveInf-inspired,3663.5746389734177,149989.16263551993,255,588.1927946490978,145714942829.99643,33376990214.9619,77.09432569732923,0.9832486245364028,67.99200720503896,0,0,177,24,59,0,68.07692307692308,9.23076923076923,22.692307692307693,0.0,10.837364479963924,10.837364479963924,0.0,0.043834615140580215,,,,,,,3,6.0,0.9454571970883314
PeakMem-inspired,3874.923846638337,103746.25681898672,259,400.56469814280587,145714942829.99643,69209386386.41469,52.5035764745416,1.050726471318285,58.15118512448601,0,0,130,0,130,0,50.0,0.0,50.0,0.0,46253.74318101325,46253.74318101325,0.0,0.023658845188597646,,,,,,,3,6.0,1.0
PBR-adapted,3812.659082897166,149726.65470949336,255,587.1633518019347,145714942829.99643,38266619631.2197,73.73871279909513,0.7110448987126194,68.00056765093566,0,0,177,3,80,0,68.07692307692308,1.1538461538461537,30.76923076923077,0.0,273.3452905065499,273.3452905065499,0.0,6.0139669240855325,,,,,,,3,6.0,0.9839313580845754
Heuristic-TVD,3833.237451111968,143129.73929776004,259,552.6244760531275,145714942829.99643,33972482773.701496,76.6856561764316,0.8868006957718535,57.566896848325335,0,0,178,21,61,0,68.46153846153847,8.076923076923077,23.46153846153846,0.0,6870.260702239993,6870.260702239993,0.0,0.019350768371413533,,,,,,,3,6.0,0.9892420090881182
ActiveInf-inspired,3771.0674158677784,149996.77527525334,259,579.1381284758817,143751290598.0329,31929642952.894756,77.78827388605603,1.02180739412604,726.9090733329451,0,0,176,9,75,0,67.6923076923077,3.4615384615384617,28.846153846153847,0.0,3.2247247466839326,3.2247247466839326,0.0,0.03917346139832471,,,,,,,4,6.0,0.9501977523935241
PeakMem-inspired,3968.7185181911395,100022.4085361067,260,384.7015712927181,143751290598.0329,69121444135.9213,51.915948824972034,1.250004412350457,62.18119766164437,0,0,123,0,137,0,47.30769230769231,0.0,52.69230769230769,0.0,49977.59146389333,49977.59146389333,0.0,0.02510115569188761,,,,,,,4,6.0,1.0
PBR-adapted,3873.035367120867,149645.18136592003,259,577.7806230344403,143751290598.0329,32272966866.113686,77.5494420037191,0.9832486245364028,726.9090733329451,0,0,176,1,83,0,67.6923076923077,0.38461538461538464,31.923076923076923,0.0,354.8186340799607,354.8186340799607,0.0,5.842223460786045,,,,,,,4,6.0,0.9758906683273967
Heuristic-TVD,3876.4836244271164,146222.19843728,260,562.3930709126154,143751290598.0329,31970538907.44038,77.75982478179027,0.9832486245364028,56.02101427844444,0,0,180,17,63,0,69.23076923076923,6.538461538461538,24.23076923076923,0.0,3777.801562720044,3777.801562720044,0.0,0.01993000030499668,,,,,,,4,6.0,0.9767595274542016
ActiveInf-inspired,3644.3251998725714,149899.2686873599,259,578.7616551635517,145966253614.7567,35430475575.58065,75.72694050976263,0.9832486245364028,68.92642159246112,0,0,172,26,62,0,66.15384615384616,10.0,23.846153846153847,0.0,100.73131263995359,100.73131263995359,0.0,0.04435769302430204,,,,,,,5,6.0,0.9377591634586513
PeakMem-inspired,3886.205906462743,89768.84221397337,260,345.26477774605144,145966253614.7567,80377762867.91858,44.93400982938385,1.1894509169151812,60.784637979146204,0,0,115,0,145,0,44.23076923076923,0.0,55.76923076923077,0.0,60231.15778602662,60231.15778602662,0.0,0.023690384785787992,,,,,,,5,6.0,1.0
PBR-adapted,3847.149681152543,149917.3693627201,259,578.8315419410043,145966253614.7567,38430823100.66752,73.67143284906348,0.8611369303831446,68.92642159246112,0,0,175,1,84,0,67.3076923076923,0.38461538461538464,32.30769230769231,0.0,82.63063727997931,82.63063727997931,0.0,6.068274998576201,,,,,,,5,6.0,0.9899500370669373
Heuristic-TVD,3827.9998049199557,145855.64954554674,260,560.9832674828721,145966253614.7567,41535097590.47777,71.54472587883238,0.9832486245364028,60.69033196491226,0,0,172,15,73,0,66.15384615384616,5.769230769230769,28.076923076923077,0.0,4144.350454453274,4144.350454453274,0.0,0.02070192299120558,,,,,,,5,6.0,0.985022383542264
ActiveInf-inspired,3662.3046176999087,149995.80554965322,257,583.6412667301681,136511684238.74997,30615977993.63871,77.57263184879224,1.0507264713183,110.72537450054526,0,0,173,16,71,0,66.53846153846153,6.153846153846154,27.307692307692307,0.0,4.194450346566981,4.194450346566981,0.0,0.038698845981763534,,,,,,,6,6.0,0.9565578684303715
PeakMem-inspired,3775.360980559295,77370.87792810671,260,297.58029972348737,136511684238.74997,76334299658.819,44.08222264307038,2.6598777332042722,71.22385670095451,0,0,101,0,159,0,38.84615384615385,0.0,61.15384615384615,0.0,72629.1220718933,72629.1220718933,0.0,0.02550038435191919,,,,,,,6,6.0,0.9860870760628008
PBR-adapted,3828.628396219701,149876.42446485325,258,580.91637389478,136511684238.74997,39314260500.3174,71.20080913252866,0.9832486245364028,73.96891953281003,0,0,173,2,85,0,66.53846153846153,0.7692307692307693,32.69230769230769,0.0,123.57553514660665,123.57553514660665,0.0,6.034601153805852,,,,,,,6,6.0,1.0
Heuristic-TVD,3792.2117356019317,144204.70534336,260,554.6334820898461,136511684238.74997,36394638631.538216,73.33954317940552,1.0218073941260475,71.39748651206246,0,0,174,14,72,0,66.92307692307692,5.384615384615385,27.692307692307693,0.0,5795.294656639939,5795.294656639939,0.0,0.01853000016686005,,,,,,,6,6.0,0.9904883271895162
ActiveInf-inspired,3701.74614925757,149988.56493365328,254,590.5061611561152,139247165035.33093,36461528150.34319,73.8152456166042,1.0218073941260437,76.36772434496662,0,0,170,16,74,0,65.38461538461539,6.153846153846154,28.46153846153846,0.0,11.435066346616736,11.435066346616736,0.0,0.04060000031201456,,,,,,,7,6.0,0.9357851621419425
PeakMem-inspired,3955.764954409566,102343.82543157335,260,393.63009781374365,139247165035.33093,73557308828.53949,47.17500438168639,1.1445659766542424,67.55283747270384,0,0,119,0,141,0,45.76923076923077,0.0,54.23076923076923,0.0,47656.17456842667,47656.17456842667,0.0,0.0230519243184692,,,,,,,7,6.0,1.0
PBR-adapted,3880.921176094819,149987.17126853336,254,590.5006742855644,139247165035.33093,40211804242.21962,71.12199430989008,0.7743475743500312,75.86100389380805,0,0,171,1,88,0,65.76923076923077,0.38461538461538464,33.84615384615385,0.0,12.828731466668756,12.828731466668756,0.0,6.104361922636879,,,,,,,7,6.0,0.9810798216837132
Heuristic-TVD,3890.4541506150294,144058.76318943995,260,554.0721661132305,139247165035.33093,39584619669.32874,71.5724053274011,0.9832486245364028,66.95700116824274,0,0,172,18,70,0,66.15384615384616,6.923076923076923,26.923076923076923,0.0,5941.236810559977,5941.236810559977,0.0,0.019710769657439623,,,,,,,7,6.0,0.9834897157573194
ActiveInf-inspired,3469.085124814932,149991.87513872,256,585.905762260625,147675122448.8456,42108659138.99048,71.48561081872349,1.1445659766542349,78.44808184755358,0,0,161,15,84,0,61.92307692307692,5.769230769230769,32.30769230769231,0.0,8.124861279920566,8.124861279920566,0.0,0.03897038427217362,,,,,,,8,6.0,0.8928751246311303
PeakMem-inspired,3885.297091514449,101153.17764959997,260,389.0506832676922,147675122448.8456,76428284351.26096,48.245660417355964,1.2301416365112043,58.264909917132144,0,0,119,0,141,0,45.76923076923077,0.0,54.23076923076923,0.0,48846.82235040005,48846.82235040005,0.0,0.026609229770166658,,,,,,,8,6.0,1.0
PBR-adapted,3660.927347065813,149827.85217589335,256,585.2650475620834,147675122448.8456,39484583200.731995,73.26253566208527,1.0218073941260324,78.44808184755358,0,0,162,4,94,0,62.30769230769231,1.5384615384615385,36.15384615384615,0.0,172.14782410665157,172.14782410665157,0.0,6.393352692136362,,,,,,,8,6.0,0.9422515861300123
Heuristic-TVD,3799.953213546692,149815.2732175467,260,576.2125892982565,147675122448.8456,46633157352.85182,68.42179198530513,1.0573372370179641,66.27635457420654,0,0,170,13,77,0,65.38461538461539,5.0,29.615384615384617,0.0,184.72678245330536,184.72678245330536,0.0,0.02061346178659453,,,,,,,8,6.0,0.9780341436040633
ActiveInf-inspired,3802.3442778915455,149986.5708857064,256,585.8850425222906,145047080871.27374,28273778360.50401,80.5071717468093,1.0218073941260324,75.38937386535822,0,0,181,27,52,0,69.61538461538461,10.384615384615385,20.0,0.0,13.429114293249256,13.429114293249256,0.0,0.044040384594924174,,,,,,,9,6.0,0.938109925805095
PeakMem-inspired,4053.1969370522725,98383.3517221334,260,378.39750662359,145047080871.27374,71712609790.42828,50.55908098276605,1.0507264713183304,60.35760730708011,0,0,124,0,136,0,47.69230769230769,0.0,52.30769230769231,0.0,51616.64827786662,51616.64827786662,0.0,0.022933845600793853,,,,,,,9,6.0,1.0
PBR-adapted,4003.996554277909,149663.60006720002,257,582.3486383937744,145047080871.27374,37764685780.878136,73.96384294393796,0.8738295298975345,67.51840144299013,0,0,182,2,76,0,70.0,0.7692307692307693,29.23076923076923,0.0,336.39993279995747,336.39993279995747,0.0,6.045741152439195,,,,,,,9,6.0,0.9878613392000279
Heuristic-TVD,3981.587248668967,147757.76344378668,260,568.2990901684103,145047080871.27374,35213573001.11497,75.72265998764478,0.9832486245364028,64.11583317919906,0,0,182,13,65,0,70.0,5.0,25.0,0.0,2242.236556213241,2242.236556213241,0.0,0.02006423052919742,,,,,,,9,6.0,0.9823325415726322
ActiveInf-inspired,3449.199255200105,149983.1139211732,254,590.4847004770598,141896346105.7374,40953261768.87854,71.13860723491692,1.1894509169151737,736.9298172144859,0,0,153,14,93,0,58.84615384615385,5.384615384615385,35.76923076923077,0.0,16.886078826671735,16.886078826671735,0.0,0.03906499959367256,,,,,,,0,8.0,0.829434315383423
