variant,normalized_value_mean,normalized_value_ci95,energy_j_mean,energy_j_ci95,median_latency_min_mean,median_latency_min_ci95,mean_decision_ms_mean,mean_decision_ms_ci95,on_pct_mean,on_pct_ci95,pre_pct_mean,pre_pct_ci95,down_pct_mean,down_pct_ci95
Active-only energy profile,1.0,0.0,127098.24374691214,1745.6421054401746,0.6764923511448424,0.01771743356624281,0.014719961249144172,0.0002654820119377985,99.03846153846155,0.4667356950919634,0.0,0.0,0.9615384615384617,0.46673569509196344
Full profile,0.9094223448424564,0.0062266733377283785,149766.0469967359,89.07655517156861,1.012963552682997,0.06608346580290783,0.01417257692082785,0.0004014132165886243,64.00000000000001,1.067283352305815,0.07692307692307693,0.1005128205128205,35.92307692307692,1.1192634001176254
Merged prefill/decode cost,0.8747290912423115,0.00906768404325495,149833.3351637173,84.46012902118372,1.0884556505152267,0.044567234631574186,0.013991115276719656,0.0003876503366784436,61.11538461538462,0.7981914138863184,0.038461538461538464,0.07538461538461538,38.84615384615385,0.8025305145752765
No PRE action,0.9097059500709058,0.006348559239661153,149762.47473673592,91.75888341998137,1.012963552682998,0.0660834658029079,0.010715192251014881,0.00025183681973907314,64.00000000000001,1.067283352305815,0.0,0.0,36.00000000000001,1.0672833523058152
