seed,policy,task_count,oracle_value,policy_value,optimality_gap_pct,oom_count,energy_violation_count,mean_decision_ms
0,Deadline-Energy,8,119.08685014311666,113.42538780430976,4.754061705388164,0,0,0.0080374957178719
0,Energy-WSRPT,8,119.08685014311666,98.16796704126416,17.5660730607221,0,0,0.010812498658197
0,ActiveInf-inspired,8,119.08685014311666,119.01250857274889,0.0624263470554774,0,0,0.0293625016638543
0,LEO-DRL-inspired,8,119.08685014311666,119.01250857274889,0.0624263470554774,0,0,0.0711500069883186
0,Heuristic-TVD,8,119.08685014311666,119.01250857274889,0.0624263470554774,0,0,0.0121374978334642
1,Deadline-Energy,8,149.96570627054157,142.3449017251931,5.081698166112972,0,0,0.0074250019679311
1,Energy-WSRPT,8,149.96570627054157,138.62507103051507,7.562152389405438,0,0,0.0110250039142556
1,ActiveInf-inspired,8,149.96570627054157,149.89485478556807,0.0472451247258388,0,0,0.029987499146955
1,LEO-DRL-inspired,8,149.96570627054157,144.32719783225508,3.75986522419632,0,0,0.0579500010644551
1,Heuristic-TVD,8,149.96570627054157,149.89485478556807,0.0472451247258388,0,0,0.0116375013021752
2,Deadline-Energy,8,157.2385482672305,144.4518891162486,8.132012977664157,0,0,0.0074625022534746
2,Energy-WSRPT,8,157.2385482672305,131.50712236008636,16.36457865498287,0,0,0.0104124956123996
2,ActiveInf-inspired,8,157.2385482672305,156.48364237802227,0.480102301583993,0,0,0.0374500050384085
2,LEO-DRL-inspired,8,157.2385482672305,156.48364237802227,0.480102301583993,0,0,0.063037503423402
2,Heuristic-TVD,8,157.2385482672305,156.48364237802227,0.480102301583993,0,0,0.0132999994093552
3,Deadline-Energy,8,154.3275484362003,142.83611639921284,7.44613139613117,0,0,0.0070624992076773
3,Energy-WSRPT,8,154.3275484362003,141.98147997752346,7.999912254020381,0,0,0.0113250025606248
3,ActiveInf-inspired,8,154.3275484362003,154.29061319541927,0.0239330185409437,0,0,0.0290125062747392
3,LEO-DRL-inspired,8,154.3275484362003,154.29061319541927,0.0239330185409437,0,0,0.0568750001548323
3,Heuristic-TVD,8,154.3275484362003,154.29061319541927,0.0239330185409437,0,0,0.0116249975690152
4,Deadline-Energy,8,144.71106631289024,138.27431992316068,4.447998728592193,0,0,0.0137999959406442
4,Energy-WSRPT,8,144.71106631289024,128.89426588887167,10.92991768149916,0,0,0.0137875031214207
4,ActiveInf-inspired,8,144.71106631289024,144.51392139663167,0.1362334763205354,0,0,0.029562503186753
4,LEO-DRL-inspired,8,144.71106631289024,144.51392139663167,0.1362334763205354,0,0,0.0762125055189244
4,Heuristic-TVD,8,144.71106631289024,144.51392139663167,0.1362334763205354,0,0,0.0110375040094368
5,Deadline-Energy,8,111.60434455610452,94.99666680144315,14.880852372474196,0,0,0.0069499983510468
5,Energy-WSRPT,8,111.60434455610452,111.60434455610452,0.0,0,0,0.0111999979708343
5,ActiveInf-inspired,8,111.60434455610452,111.60434455610452,0.0,0,0,0.027737500204239
5,LEO-DRL-inspired,8,111.60434455610452,111.60434455610452,0.0,0,0,0.0519750064995605
5,Heuristic-TVD,8,111.60434455610452,111.60434455610452,0.0,0,0,0.01146249633166
6,Deadline-Energy,8,115.41943822928948,105.72988013206846,8.395083398319759,0,0,0.0251874989771749
6,Energy-WSRPT,8,115.41943822928948,108.53403628927823,5.965547957643722,0,0,0.0114499998744577
6,ActiveInf-inspired,8,115.41943822928948,115.41391884078044,0.004782026835085,0,0,0.028174999897601
6,LEO-DRL-inspired,8,115.41943822928948,115.41391884078044,0.004782026835085,0,0,0.0569750081922393
6,Heuristic-TVD,8,115.41943822928948,115.41391884078044,0.004782026835085,0,0,0.0116749943117611
7,Deadline-Energy,8,134.3325267783899,124.9690337131486,6.970384083289365,0,0,0.0069000016083009
7,Energy-WSRPT,8,134.3325267783899,128.507344395177,4.3363900932369,0,0,0.0100500001281034
7,ActiveInf-inspired,8,134.3325267783899,134.32367622438406,0.0065885412997904,0,0,0.0285249989246949
7,LEO-DRL-inspired,8,134.3325267783899,134.32367622438406,0.0065885412997904,0,0,0.0556625054741743
7,Heuristic-TVD,8,134.3325267783899,134.32367622438406,0.0065885412997904,0,0,0.0111250010377261
8,Deadline-Energy,8,138.87694296270948,131.68999654553795,5.175046529574984,0,0,0.0066499924287199
8,Energy-WSRPT,8,138.87694296270948,138.87694296270948,0.0,0,0,0.0096000003395602
8,ActiveInf-inspired,8,138.87694296270948,138.87694296270948,0.0,0,0,0.0270749987976159
8,LEO-DRL-inspired,8,138.87694296270948,138.87694296270948,0.0,0,0,0.0537999949301593
8,Heuristic-TVD,8,138.87694296270948,138.87694296270948,0.0,0,0,0.0114374997792765
9,Deadline-Energy,8,116.94182359005327,114.49752269624342,2.090185374890777,0,0,0.0080374993558507
9,Energy-WSRPT,8,116.94182359005327,110.29889953667823,5.6805374240290885,0,0,0.0106250008684583
9,ActiveInf-inspired,8,116.94182359005327,116.88864992356054,0.0454701875345788,0,0,0.0305624998873099
9,LEO-DRL-inspired,8,116.94182359005327,116.88864992356054,0.0454701875345788,0,0,0.0572999997530132
9,Heuristic-TVD,8,116.94182359005327,116.88864992356054,0.0454701875345788,0,0,0.0102875019365455
