policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,task_count,allow_pre,contact_model,training_seed_count,training_q_states,ua_training_seed_count,ua_training_q_states,normalized_value,scenario
Deadline-Energy,3747.037656026518,58049.70900277334,260,223.26811154912824,141896346105.7374,105779966974.30736,25.452649150329123,15.415767963420148,71.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,91950.2909972267,91950.2909972267,0.0,0.0093246129556344,,,,,0,24,260,0,fixed-window,10,283,10,646,0.9651114118825784,no-pre
Energy-WSRPT,3416.572951720937,149979.35837264013,254,590.4699148529139,141896346105.7374,37373304106.81187,73.66154581671731,1.0218073941260324,736.9298172144859,0,0,156,17,87,0,60.0,6.538461538461538,33.46153846153846,0.0,20.641627360083703,20.641627360083703,0.0,0.0116838454582298,,,,,0,24,260,0,fixed-window,10,283,10,646,0.8799947713180618,no-pre
ActiveInf-inspired,3421.80832607899,149948.95533034668,254,590.3502178360105,141896346105.7374,45964940281.98785,67.60667801288133,1.1894509169151812,736.9298172144859,0,0,152,0,108,0,58.46153846153846,0.0,41.53846153846154,0.0,51.04466965333791,51.04466965333791,0.0,0.0251596158844991,,,,,0,24,260,0,fixed-window,10,283,10,646,0.8813432284199828,no-pre
LEO-DRL-inspired,3558.447019761486,149842.4962700801,254,589.9310876774807,141896346105.7374,48102695179.10066,66.1001170930393,1.1894509169151812,736.9298172144859,0,0,153,0,107,0,58.84615384615385,0.0,41.15384615384615,0.0,157.50372992000302,157.50372992000302,0.0,0.054900000955408,,,,,0,24,260,0,fixed-window,10,283,10,646,0.9165367798820584,no-pre
Hierarchical-RA-inspired,3421.80832607899,149948.95533034668,254,590.3502178360105,141896346105.7374,45964940281.98785,67.60667801288133,1.1894509169151812,736.9298172144859,0,0,152,0,108,0,58.46153846153846,0.0,41.53846153846154,0.0,51.04466965333791,51.04466965333791,0.0,0.0129092307850861,,,,,0,24,260,0,fixed-window,10,283,10,646,0.8813432284199828,no-pre
DRL-UA-inspired,3649.080356290253,149827.02988672006,254,589.8701964044097,141896346105.7374,46373420265.08682,67.31880591870168,1.1445659766542235,736.9298172144859,0,0,158,0,102,0,60.76923076923077,0.0,39.23076923076923,0.0,172.97011328001213,172.97011328001213,0.0,0.057476539894616,,,,,0,24,260,0,fixed-window,10,283,10,646,0.9398808920609748,no-pre
QoS-Multihop-projected,3524.269704797154,149866.77917141342,254,590.0266896512339,141896346105.7374,43138638326.71692,69.59848543628378,1.144565976654216,736.9298172144859,0,0,153,0,107,0,58.84615384615385,0.0,41.15384615384615,0.0,133.22082858669563,133.22082858669563,0.0,0.01387038579336,,,,,0,24,260,0,fixed-window,10,283,10,646,0.9077338481456958,no-pre
DelayCost-adapted,3421.829949606231,149648.5736161067,254,589.1676126618374,141896346105.7374,45878263947.81834,67.66776227371558,1.1894509169151812,736.9298172144859,0,0,152,0,108,0,58.46153846153846,0.0,41.53846153846154,0.0,351.4263838933448,351.4263838933448,0.0,0.0108576927092284,,,,,0,24,260,0,fixed-window,10,283,10,646,0.8813487979164281,no-pre
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.0100765377283096,,,,,0,24,260,0,fixed-window,10,283,10,646,1.0,no-pre
Deadline-Energy,3857.038359997837,69168.98741205335,260,266.034566969436,138183152908.2682,97623791629.69405,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,80831.01258794659,80831.01258794659,0.0,0.0094026911448544,,,,,1,24,260,0,fixed-window,10,283,10,646,0.9762447363577478,no-pre
Energy-WSRPT,3545.68728302179,149958.24434954658,257,583.4951142005704,138183152908.2682,35534348773.2781,74.28460125174065,0.7956735252066817,111.78914483510076,0,0,161,22,77,0,61.92307692307692,8.461538461538462,29.615384615384617,0.0,41.75565045332473,41.75565045332473,0.0,0.0121999993168104,,,,,1,24,260,0,fixed-window,10,283,10,646,0.897439492103617,no-pre
ActiveInf-inspired,3631.2729708214993,149948.73988490662,257,583.4581318478857,138183152908.2682,43288467486.07565,68.67312217516678,1.1121057625823898,111.78914483510076,0,0,161,0,99,0,61.92307692307692,0.0,38.07692307692308,0.0,51.2601150933076,51.2601150933076,0.0,0.0248946152099121,,,,,1,24,260,0,fixed-window,10,283,10,646,0.9191018582570276,no-pre
LEO-DRL-inspired,3705.3140581781527,149983.43954794665,257,583.5931499920104,138183152908.2682,44363978494.57557,67.89479935804746,1.1445659766542424,111.78914483510076,0,0,160,0,100,0,61.53846153846154,0.0,38.46153846153846,0.0,16.560452053315657,16.560452053315657,0.0,0.0538669228822422,,,,,1,24,260,0,fixed-window,10,283,10,646,0.9378422012507068,no-pre
Hierarchical-RA-inspired,3631.2729708214993,149948.73988490662,257,583.4581318478857,138183152908.2682,43288467486.07565,68.67312217516678,1.1121057625823898,111.78914483510076,0,0,161,0,99,0,61.92307692307692,0.0,38.07692307692308,0.0,51.2601150933076,51.2601150933076,0.0,0.0127773070394491,,,,,1,24,260,0,fixed-window,10,283,10,646,0.9191018582570276,no-pre
DRL-UA-inspired,3727.189016861887,149777.52202047998,257,582.7919144765758,138183152908.2682,44084966619.22353,68.09671389645524,1.1445659766542424,111.89255143557872,0,0,158,0,102,0,60.76923076923077,0.0,39.23076923076923,0.0,222.47797951998348,222.47797951998348,0.0,0.0566376929502719,,,,,1,24,260,0,fixed-window,10,283,10,646,0.9433789139509275,no-pre
QoS-Multihop-projected,3669.931931137701,149710.1303933866,257,582.5296902466405,138183152908.2682,39942773203.78173,71.09432491361851,1.0031271825265018,111.78914483510076,0,0,162,0,98,0,62.30769230769231,0.0,37.69230769230769,0.0,289.8696066133423,289.8696066133423,0.0,0.0137200005925618,,,,,1,24,260,0,fixed-window,10,283,10,646,0.9288867250380196,no-pre
DelayCost-adapted,3631.2729708214993,149948.73988490662,257,583.4581318478857,138183152908.2682,43288467486.07565,68.67312217516678,1.1121057625823898,111.78914483510076,0,0,161,0,99,0,61.92307692307692,0.0,38.07692307692308,0.0,51.2601150933076,51.2601150933076,0.0,0.0108496149410851,,,,,1,24,260,0,fixed-window,10,283,10,646,0.9191018582570276,no-pre
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.0101823074286445,,,,,1,24,260,0,fixed-window,10,283,10,646,1.0,no-pre
Deadline-Energy,3772.396708012707,71163.84858981332,260,273.70710996082045,143551818802.25815,100349432288.78314,30.09532507072311,12.860969370166428,71.43436513271442,0,0,71,1,188,0,27.307692307692307,0.3846153846153846,72.3076923076923,0.0,78836.15141018668,78836.15141018668,0.0,0.0093880762086393,,,,,2,24,260,0,fixed-window,10,283,10,646,0.9842870551834726,no-pre
Energy-WSRPT,3321.5130395923347,149908.74235413317,253,592.5246733364947,143551818802.25815,37769024481.34253,73.68962316432288,0.721079132218559,754.0107986472566,0,0,156,26,78,0,60.0,10.0,30.0,0.0,91.25764586669428,91.25764586669428,0.0,0.0119119229986189,,,,,2,24,260,0,fixed-window,10,283,10,646,0.866643288482806,no-pre
ActiveInf-inspired,3503.876401087591,149988.82686965325,253,592.8412129235306,143551818802.25815,46598836653.9086,67.53866510176493,1.0218073941260324,754.0107986472566,0,0,159,0,101,0,61.15384615384615,0.0,38.84615384615385,0.0,11.17313034669212,11.17313034669212,0.0,0.025074615349205,,,,,2,24,260,0,fixed-window,10,283,10,646,0.914225213172292,no-pre
