policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,dpp_energy_queue_final,dpp_bandwidth_queue_final,seed,charge_power_w,normalized_value
Adaptive-TVD,4080.2350133894856,151955.13890442665,260,584.4428419401025,145966253614.7567,53440258066.54291,63.388621175696,1.009698643954107,46.261475331952866,0,0,163,0,97,0,62.69230769230769,0.0,37.30769230769231,0.0,26796.931980690355,26796.931980690355,1955.1389044266543,0.015151539320448557,0.04963926033854249,0.0,1.1754828299722366,0.018035502958579884,,,5,2.0,0.9797468898636298
Heuristic-TVD,4164.580725494735,153954.29589055997,260,592.1319072713845,145966253614.7567,48758476058.81065,66.59606254778787,0.7175219706068247,47.78413444960126,0,0,188,0,72,0,72.3076923076923,0.0,27.692307692307693,0.0,24797.77499455703,24421.33503206369,3954.295890559966,0.014748847192654816,,,,,,,5,2.0,1.0
Deadline-Energy,3774.4549894033107,59623.26823472,260,229.32026244123077,136511684238.74997,94917012113.92496,30.46967910239732,14.60893868356937,73.92129724806482,0,0,66,1,193,0,25.384615384615383,0.38461538461538464,74.23076923076923,0.0,119195.76010652445,67500.0,0.0,0.009687691859793492,,,,,,,6,2.0,0.8933574139929239
EH-DORA-adapted,3876.487824485724,178798.73637215965,258,693.0183580316266,136511684238.74997,30376119936.94188,77.74833699669543,1.0218073941260475,70.34803134834169,0,0,189,14,57,0,72.6923076923077,5.384615384615385,21.923076923076923,0.0,20.29196908443501,20.29196908443501,28798.73637215965,0.026243845618759785,,,,,,,6,2.0,0.9175070700220719
Adaptive-TVD,4086.9560033872463,153140.1059218133,260,589.0004073915895,136511684238.74997,52111895167.1248,61.82605506794238,1.0218073941260513,62.14669272260932,0,0,162,0,98,0,62.30769230769231,0.0,37.69230769230769,0.0,25678.92241943106,25678.92241943106,3140.105921813287,0.013908846617246477,0.3900603224639323,0.0,1.3878532523431053,0.01805350648507593,,,6,2.0,0.9673217607679239
Heuristic-TVD,4225.0222926265515,162029.0397176532,260,623.1886142986662,136511684238.74997,29490260117.170074,78.39726300234231,0.9832486245364028,46.113691482720064,0,0,195,0,65,0,75.0,0.0,25.0,0.0,16789.988623591104,16789.988623591104,12029.039717653213,0.014690769939289357,,,,,,,6,2.0,1.0
Deadline-Energy,3883.0840761585364,71262.57109365333,260,274.08681189866667,139247165035.33093,99881808965.40207,28.270131072284855,11.838968943251544,68.4461327724551,0,0,71,0,189,0,27.307692307692307,0.0,72.6923076923077,0.0,107863.66737898595,67500.0,0.0,0.009818847040430857,,,,,,,7,2.0,0.9090379455107012
EH-DORA-adapted,3965.4102952530566,179112.34201226634,258,694.2338837684741,139247165035.33093,24704378655.712402,82.25861284181677,0.9832486245363877,52.59439406180888,0,0,195,12,53,0,75.0,4.615384615384615,20.384615384615383,0.0,13.896460372634692,5.192539975251549,29112.342012266337,0.027071537736516733,,,,,,,7,2.0,0.9283106822322253
Adaptive-TVD,4167.973202435872,150362.0886434133,260,578.3157255515896,139247165035.33093,54075836707.25954,61.16557439891939,0.9832486245364028,51.56501982836755,0,0,153,0,107,0,58.84615384615385,0.0,41.15384615384615,0.0,28764.149829225924,28764.149829225924,362.088643413299,0.01610269369288849,0.0649691929792422,0.0,1.2793586000259043,0.018035502958579884,,,7,2.0,0.9757310742120727
Heuristic-TVD,4271.641349335538,157458.0343645865,260,605.6078244791788,139247165035.33093,39028768238.64247,71.97158862893922,0.9059067600527594,48.84701334202163,0,0,187,2,71,0,71.92307692307692,0.7692307692307693,27.307692307692307,0.0,21668.20410805262,21668.20410805262,7458.034364586492,0.01576576771465345,,,,,,,7,2.0,1.0
Deadline-Energy,3807.586330320566,73051.95887727995,260,280.96907260492287,147675122448.8456,107986139264.03853,26.87587626585871,10.647973555536677,74.23923498141562,0,0,72,1,187,0,27.692307692307693,0.38461538461538464,71.92307692307692,0.0,106094.27757951274,67500.0,0.0,0.010261923195615124,,,,,,,8,2.0,0.9172923195202699
EH-DORA-adapted,3777.701034151494,179028.74482442645,259,691.2306749977855,147675122448.8456,33329429552.49539,77.43057259760144,1.0218073941260324,61.44963308983187,0,0,190,12,58,0,73.07692307692308,4.615384615384615,22.307692307692307,0.0,117.491632366012,2.3985823524526495,29028.744824426452,0.02490384560167933,,,,,,,8,2.0,0.9100926002587054
Adaptive-TVD,4118.144369217282,150433.28713183996,260,578.5895658916921,147675122448.8456,63962903180.28249,56.68674444306683,1.079645548510598,61.95174412391229,0,0,152,0,108,0,58.46153846153846,0.0,41.53846153846154,0.0,28712.949324952682,28712.949324952682,433.2871318399557,0.014418847030566003,0.057803639506814,0.0,1.2869987597273096,0.018035502958579884,,,8,2.0,0.9921094028721924
Heuristic-TVD,4150.897428544781,155444.93932234653,260,597.8651512397944,147675122448.8456,44709164840.39494,69.72464684708008,0.9832486245364028,54.03877892720394,0,0,180,0,80,0,69.23076923076923,0.0,30.76923076923077,0.0,23701.297134446013,22389.97154865966,5444.93932234653,0.0145626926006606,,,,,,,8,2.0,1.0
Deadline-Energy,3987.9015633096137,64223.37783562667,260,247.0129916754872,145047080871.27374,102072848551.6437,29.62778158753072,10.752650312716167,66.8191582745461,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,115111.9997377418,67500.0,0.0,0.009647691219400328,,,,,,,9,2.0,0.9155378152193805
EH-DORA-adapted,3956.5176792040465,179332.21017514644,258,695.08608595018,145047080871.27374,24668039870.372395,82.99308078301502,0.9832486245364028,58.807603473511,0,0,199,14,47,0,76.53846153846153,5.384615384615385,18.076923076923077,0.0,3.1673982217824914,3.1673982217824914,29332.210175146436,0.0258388464527133,,,,,,,9,2.0,0.9083327395095219
Adaptive-TVD,4274.788062210842,152030.79222784,260,584.733816260923,145047080871.27374,48992999430.31399,66.22269187630584,0.9778220972673524,47.961857913136434,0,0,172,0,88,0,66.15384615384616,0.0,33.84615384615385,0.0,27304.585345528398,27304.585345528398,2030.7922278399928,0.013882692348068723,0.10331709334077255,0.0,0.7908562044826041,0.018038460960589798,,,9,2.0,0.98140088486897
Heuristic-TVD,4355.8021274675975,164183.16945087988,260,631.4737286572304,145047080871.27374,30217889170.22984,79.16684087076004,0.719300551412698,38.32214696557534,0,0,204,0,56,0,78.46153846153847,0.0,21.53846153846154,0.0,15152.208122488453,15152.208122488453,14183.169450879883,0.014154999651229726,,,,,,,9,2.0,1.0
Deadline-Energy,3747.037656026518,58049.70900277334,260,223.26811154912824,141896346105.7374,105779966974.30736,25.452649150329123,15.415767963420148,71.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,141795.33019616007,67500.0,0.0,0.009618845405594375,,,,,,,0,5.0,0.8715612909253768
