policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,task_count,allow_pre,contact_model,training_seed_count,training_q_states,ua_training_seed_count,ua_training_q_states,normalized_value
Deadline-Energy,3747.037656026518,58049.70900277334,260,223.26811154912824,141896346105.7374,105779966974.30736,25.452649150329123,15.415767963420148,71.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,91950.2909972267,91950.2909972267,0.0,0.0103403854434593,,,,,0,24,260,1,fixed-window,10,283,10,646,0.9651114118825784
Energy-WSRPT,3416.572951720937,149979.35837264013,254,590.4699148529139,141896346105.7374,37373304106.81187,73.66154581671731,1.0218073941260324,736.9298172144859,0,0,156,17,87,0,60.0,6.538461538461538,33.46153846153846,0.0,20.641627360083703,20.641627360083703,0.0,0.0121653841163676,,,,,0,24,260,1,fixed-window,10,283,10,646,0.8799947713180618
ActiveInf-inspired,3403.2745696990687,149991.64198074644,254,590.5182755147498,141896346105.7374,40556110134.20161,71.41849579130088,1.1894509169151812,736.9298172144859,0,0,151,23,86,0,58.07692307692308,8.846153846153847,33.07692307692308,0.0,8.358019253337659,8.358019253337659,0.0,0.0304000002170841,,,,,0,24,260,1,fixed-window,10,283,10,646,0.876569553472109
LEO-DRL-inspired,3503.710098795605,149994.69378191998,254,590.53029048,141896346105.7374,44907788086.34669,68.3516952206207,1.1894509169151737,736.9298172144859,0,0,153,11,96,0,58.84615384615385,4.230769230769231,36.92307692307692,0.0,5.306218079991993,5.306218079991993,0.0,0.0584888456684823,,,,,0,24,260,1,fixed-window,10,283,10,646,0.9024383821810048
Hierarchical-RA-inspired,3412.7017576714625,149991.64198074644,254,590.5182755147498,141896346105.7374,41340366358.11575,70.8657992311444,1.1894509169151812,736.9298172144859,0,0,151,23,86,0,58.07692307692308,8.846153846153847,33.07692307692308,0.0,8.358019253337659,8.358019253337659,0.0,0.0159800017942101,,,,,0,24,260,1,fixed-window,10,283,10,646,0.8789976813772252
DRL-UA-inspired,3583.417814499353,149916.36029157328,254,590.2218909117058,141896346105.7374,43284213807.93165,69.49589260340967,1.1445659766542235,736.8176803410713,0,0,157,15,88,0,60.38461538461539,5.769230769230769,33.84615384615385,0.0,83.639708426666,83.639708426666,0.0,0.0613046150717239,,,,,0,24,260,1,fixed-window,10,283,10,646,0.9229684203344924
QoS-Multihop-projected,3531.0732273266312,149991.80827141335,254,590.5189302024147,141896346105.7374,40882198271.1451,71.18868850880715,1.1445659766542122,736.9298172144859,0,0,153,7,100,0,58.84615384615385,2.6923076923076925,38.46153846153846,0.0,8.191728586695632,8.191728586695632,0.0,0.0171588470738452,,,,,0,24,260,1,fixed-window,10,283,10,646,0.9094862076992856
DelayCost-adapted,3421.0878045251325,149987.9383161065,254,590.5036941578996,141896346105.7374,40269704035.73892,71.62033756265225,1.1894509169151812,736.9298172144859,0,0,152,19,89,0,58.46153846153846,7.3076923076923075,34.23076923076923,0.0,12.06168389334465,12.06168389334465,0.0,0.0142511542295463,,,,,0,24,260,1,fixed-window,10,283,10,646,0.8811576461979795
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.0142303832735006,,,,,0,24,260,1,fixed-window,10,283,10,646,1.0
Deadline-Energy,3857.038359997837,69168.98741205335,260,266.034566969436,138183152908.2682,97623791629.69405,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,80831.01258794659,80831.01258794659,0.0,0.0095915389605439,,,,,1,24,260,1,fixed-window,10,283,10,646,0.9762447363577478
