policy,total_value,compute_energy_j,comm_energy_j,energy_j,useful_tasks,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,mean_decision_ms,seed,contact_model,window_count,capacity_gbit,training_seed_count,training_q_states,normalized_value
Deadline-Energy,2903.561251656072,41657.16816810667,108273.33909069306,149930.50725879974,203,143551818802.25815,80905961019.96896,43.639891368136205,41.55167289000795,965.7298160071392,0,68,46,0,157,57,17.692307692307693,0.0,60.38461538461539,21.923076923076923,69.49274120025711,0.0143726930568496,2,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,1.0
Energy-WSRPT,2642.881614146464,146262.91683717322,3652.7943196380775,149915.7111568113,170,143551818802.25815,2735693329.757165,98.09428166596372,1.050726471318285,1168.2302091744657,0,99,153,13,4,90,58.84615384615385,5.0,1.5384615384615383,34.61538461538461,84.2888431885442,0.0161307693745654,2,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9102207203788358
ActiveInf-inspired,2617.6915159892656,149620.70362005325,361.2459539037436,149981.94957395698,160,143551818802.25815,273049641.54846346,99.80979019017197,1.1445659766542424,1222.839658654862,0,0,158,0,2,100,60.76923076923077,0.0,0.7692307692307693,38.46153846153846,18.05042604294852,0.0318192311589462,2,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9015451334103052
LEO-DRL-inspired,2607.955381357438,136542.82278757324,13411.362623756551,149954.1854113298,166,143551818802.25815,10096909999.227251,92.96636567653964,1.2645403243952729,1193.4157767972831,0,0,144,3,19,94,55.38461538461539,1.1538461538461535,7.3076923076923075,36.15384615384615,45.81458867013522,0.0495315393961321,2,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.8981919633587779
Heuristic-TVD,2781.847364192366,147040.0248853865,2957.820990991277,149997.84587637777,178,143551818802.25815,2232530847.9992847,98.44479097051736,1.1347646411730086,1137.4879965769485,0,0,160,15,3,82,61.53846153846154,5.769230769230769,1.1538461538461535,31.53846153846154,2.1541236220687594,0.0155126913271557,2,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9580811710466638
Deadline-Energy,2581.781982495995,42554.34514384,107437.62150596044,149991.96664980042,178,145714942829.99643,80343381846.2159,44.86263365593782,51.35318699661105,1142.470450519618,0,89,44,1,133,82,16.923076923076923,0.3846153846153846,51.15384615384615,31.53846153846154,8.033350199524733,0.0133565381894676,3,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9128918581895696
Energy-WSRPT,2828.135621251062,144946.59645434673,5024.3127992526925,149970.9092535994,182,145714942829.99643,3730962562.680802,97.43954704286324,0.9832486245364028,1120.1829462536498,0,82,158,21,3,78,60.76923076923077,8.076923076923077,1.1538461538461535,30.0,29.0907464006753,0.0158061527494842,3,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,1.0
ActiveInf-inspired,2629.271972292304,149729.75681999995,267.16542470024234,149996.9222447002,161,145714942829.99643,201811023.67262417,99.86150286322516,1.1894509169151812,1197.9814820683875,0,0,158,3,0,99,60.76923076923077,1.1538461538461535,0.0,38.07692307692308,3.0777552997754185,0.0339049993691822,3,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9296838357169066
LEO-DRL-inspired,2733.631469690262,136507.7969948266,13473.295777325337,149981.09277215195,167,145714942829.99643,10067909781.6361,93.09068130824292,1.2567783273065891,1195.8791365502805,0,0,147,1,19,93,56.53846153846154,0.3846153846153846,7.3076923076923075,35.76923076923077,18.90722784801641,0.0511626921182211,3,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.9665842928992936
Heuristic-TVD,2821.804453513349,147422.29698015982,2561.83880874036,149984.1357889002,178,145714942829.99643,1934473850.55602,98.67242589333274,1.1445659766542424,1140.3564668126485,0,0,161,14,3,82,61.92307692307692,5.384615384615385,1.1538461538461535,31.53846153846154,15.86421109967,0.0156469228946102,3,tle-elevation-dynamic-rf-energy,25,188.74183308892847,10,295,0.997761363461448
