policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,workload,contact_model,task_count,training_seed_count,training_q_states,ua_training_seed_count,ua_training_q_states,normalized_value
DelayCost-adapted,214.1956650195919,14981.414949676564,260,57.62082672952525,7049544.0,2463576.0,65.05339919858646,0.0140707677437603,111.06506723864028,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0142738454787132,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9421218372659276
Heuristic-TVD,227.354527351999,14979.990065508971,260,57.61534640580374,7049544.0,2513000.0,64.35230420577558,0.0140707677437603,54.6135367730592,0,0,150,18,92,0,57.69230769230769,6.923076923076923,35.38461538461539,0.0,20.009934491023955,20.009934491023955,0.0,0.0147003833822404,,,,,1,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,1.0
Deadline-Energy,197.6981210358657,5844.9263433968335,260,22.48048593614167,7065848.0,5416544.0,23.341911685617923,13.81437912464142,54.72492526292298,0,0,61,0,199,0,23.46153846153846,0.0,76.53846153846153,0.0,9155.07365660313,9155.07365660313,0.0,0.0104253859787534,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.8908865074678939
Energy-WSRPT,217.36479832751365,14947.680484752593,260,57.49107878750997,7065848.0,2472912.0,65.00190776818296,0.0140707677437603,76.94310433501418,0,0,156,0,104,0,60.0,0.0,40.0,0.0,52.31951524740708,52.31951524740708,0.0,0.0129353850542639,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.979510402090928
ActiveInf-inspired,210.65023599013588,14981.414949676564,260,57.62082672952525,7065848.0,2437968.0,65.4964556271236,0.0140707677437603,78.19128549882528,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0317492314094964,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9492525880126812
LEO-DRL-inspired,210.65023599013588,14981.414949676564,260,57.62082672952525,7065848.0,2437968.0,65.4964556271236,0.0140707677437603,78.19128549882528,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0568088456370437,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9492525880126812
Hierarchical-RA-inspired,210.65023599013588,14981.414949676564,260,57.62082672952525,7065848.0,2437968.0,65.4964556271236,0.0140707677437603,78.19128549882528,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0161411551884017,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9492525880126812
DRL-UA-inspired,215.77060074850863,14992.18480992869,260,57.6622492689565,7065848.0,2407432.0,65.92861890037827,0.0140707677437603,72.68890310385399,0,0,154,7,99,0,59.23076923076923,2.6923076923076925,38.07692307692308,0.0,7.815190071307711,7.815190071307711,0.0,0.0621869222064001,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.97232647385766
QoS-Multihop-projected,217.36480004051447,14981.414949676564,260,57.62082672952525,7065848.0,2446712.0,65.37270544172475,0.0140707677437603,76.94310433501418,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0178492307895794,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9795104098102188
DelayCost-adapted,210.65023599013588,14981.414949676564,260,57.62082672952525,7065848.0,2437968.0,65.4964556271236,0.0140707677437603,78.19128549882528,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0145707685777989,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9492525880126812
Heuristic-TVD,221.91167940995047,14997.569740054754,260,57.68296053867213,7065848.0,2560384.0,63.76395303153988,0.0140707677437603,59.75310352352376,0,0,153,10,97,0,58.84615384615385,3.8461538461538463,37.30769230769231,0.0,2.4302599452447566,2.4302599452447566,0.0,0.0141673081088811,,,,,2,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,1.0
Deadline-Energy,197.98209703568065,6228.200201980231,260,23.95461616146243,7146288.0,5310152.0,25.6935628678833,12.840688160891418,54.6426569020511,0,0,65,0,195,0,25.0,0.0,75.0,0.0,8771.799798019729,8771.799798019729,0.0,0.0096265391151134,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.8940145338273064
Energy-WSRPT,221.45288285128595,14947.680484752593,260,57.49107878750997,7146288.0,2666096.0,62.69257550213481,0.0140707677437603,70.0298930738143,0,0,156,0,104,0,60.0,0.0,40.0,0.0,52.31951524740708,52.31951524740708,0.0,0.0125384608579154,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.999999993895028
ActiveInf-inspired,215.08775489286435,14981.414949676564,260,57.62082672952525,7146288.0,2623048.0,63.294958165693856,0.0140707677437603,72.47584022576972,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0311188461357512,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9712574106528984
LEO-DRL-inspired,214.5580859176367,14981.414949676564,260,57.62082672952525,7146288.0,2617824.0,63.36805905387524,0.0140707677437603,72.47584022576972,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0584219227536008,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9688656198341276
Hierarchical-RA-inspired,215.08775489286435,14981.414949676564,260,57.62082672952525,7146288.0,2623048.0,63.294958165693856,0.0140707677437603,72.47584022576972,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0160696149508182,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9712574106528984
DRL-UA-inspired,218.2741841241676,14992.18480992869,260,57.6622492689565,7146288.0,2561192.0,64.16052641595189,0.0140707677437603,70.0298930738143,0,0,154,7,99,0,59.23076923076923,2.6923076923076925,38.07692307692308,0.0,7.815190071307256,7.815190071307256,0.0,0.0605319247160178,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9856461563347056
QoS-Multihop-projected,221.4528842032496,14981.414949676564,260,57.62082672952525,7146288.0,2639736.0,63.06143832994135,0.0140707677437603,70.0298930738143,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0173403842311997,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,1.0
DelayCost-adapted,215.08775489286435,14981.414949676564,260,57.62082672952525,7146288.0,2623048.0,63.294958165693856,0.0140707677437603,72.47584022576972,0,0,156,1,103,0,60.0,0.3846153846153846,39.61538461538461,0.0,18.585050323435794,18.585050323435794,0.0,0.0139711557914359,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9712574106528984
Heuristic-TVD,221.4138454510314,14518.477416825504,260,55.84029775702116,7146288.0,2801920.0,60.79195240941871,0.0140707677437603,62.7546559588545,0,0,148,10,102,0,56.92307692307692,3.8461538461538463,39.23076923076923,0.0,481.5225831744938,481.5225831744938,0.0,0.0140126921066369,,,,,3,EuroSAT-image-bytes+MobileSAM-encoded-bytes+per-image-eta,fixed-window,260,10,12,10,36,0.9998237153137172
